"Time","Average Response Rate","edge-server-cv-74d975f7cd-pvhxn Response","edge-server-cv-74d975f7cd-v2ct9 Response","edge-server-cv-74d975f7cd-v8hnl Response"
2022-04-19 16:49:14,448 ms,566 ms,415 ms,362 ms
2022-04-19 16:49:16,405 ms,394 ms,405 ms,417 ms
2022-04-19 16:49:18,491 ms,451 ms,372 ms,649 ms
2022-04-19 16:49:20,628 ms,457 ms,384 ms,1.04 s
2022-04-19 16:49:22,612 ms,434 ms,289 ms,1.11 s
2022-04-19 16:49:24,629 ms,450 ms,336 ms,1.10 s
2022-04-19 16:49:26,606 ms,298 ms,347 ms,1.17 s
2022-04-19 16:49:28,501 ms,302 ms,342 ms,858 ms
2022-04-19 16:49:30,313 ms,307 ms,346 ms,286 ms
2022-04-19 16:49:32,365 ms,307 ms,492 ms,295 ms
2022-04-19 16:49:34,425 ms,402 ms,534 ms,340 ms
2022-04-19 16:49:36,405 ms,380 ms,511 ms,325 ms
2022-04-19 16:49:38,427 ms,397 ms,509 ms,375 ms
2022-04-19 16:49:40,409 ms,441 ms,399 ms,387 ms
2022-04-19 16:49:42,408 ms,432 ms,412 ms,382 ms
2022-04-19 16:49:44,458 ms,550 ms,385 ms,438 ms
2022-04-19 16:49:46,451 ms,558 ms,321 ms,473 ms
2022-04-19 16:49:48,604 ms,560 ms,497 ms,754 ms
2022-04-19 16:49:50,595 ms,546 ms,519 ms,720 ms
2022-04-19 16:49:52,582 ms,558 ms,522 ms,666 ms
2022-04-19 16:49:54,683 ms,870 ms,592 ms,588 ms
2022-04-19 16:49:56,694 ms,966 ms,575 ms,542 ms
2022-04-19 16:49:58,611 ms,984 ms,497 ms,352 ms
2022-04-19 16:50:00,715 ms,1.08 s,503 ms,563 ms
2022-04-19 16:50:02,723 ms,874 ms,491 ms,804 ms
2022-04-19 16:50:04,602 ms,514 ms,493 ms,798 ms
2022-04-19 16:50:06,619 ms,707 ms,407 ms,744 ms
2022-04-19 16:50:08,601 ms,744 ms,397 ms,660 ms
2022-04-19 16:50:10,553 ms,695 ms,376 ms,589 ms
2022-04-19 16:50:12,486 ms,593 ms,407 ms,459 ms
2022-04-19 16:50:14,458 ms,600 ms,354 ms,421 ms
2022-04-19 16:50:16,425 ms,382 ms,331 ms,563 ms
2022-04-19 16:50:18,558 ms,348 ms,347 ms,979 ms
2022-04-19 16:50:20,688 ms,329 ms,289 ms,1.44 s
2022-04-19 16:50:22,817 ms,311 ms,354 ms,1.79 s
2022-04-19 16:50:24,1.14 s,311 ms,376 ms,2.73 s
2022-04-19 16:50:26,1.09 s,321 ms,367 ms,2.57 s
2022-04-19 16:50:28,909 ms,328 ms,356 ms,2.04 s
2022-04-19 16:50:30,918 ms,603 ms,242 ms,1.91 s
2022-04-19 16:50:32,827 ms,615 ms,232 ms,1.63 s
2022-04-19 16:50:34,594 ms,628 ms,324 ms,830 ms
2022-04-19 16:50:36,510 ms,816 ms,396 ms,316 ms
2022-04-19 16:50:38,586 ms,870 ms,442 ms,447 ms
2022-04-19 16:50:40,616 ms,882 ms,565 ms,401 ms
2022-04-19 16:50:42,639 ms,943 ms,575 ms,399 ms
2022-04-19 16:50:44,631 ms,915 ms,538 ms,439 ms
2022-04-19 16:50:46,553 ms,697 ms,541 ms,422 ms
2022-04-19 16:50:48,372 ms,335 ms,414 ms,368 ms
2022-04-19 16:50:50,384 ms,336 ms,397 ms,418 ms
2022-04-19 16:50:52,367 ms,338 ms,326 ms,437 ms
2022-04-19 16:50:54,362 ms,370 ms,394 ms,322 ms
2022-04-19 16:50:56,397 ms,380 ms,370 ms,441 ms
2022-04-19 16:50:58,475 ms,459 ms,405 ms,561 ms
2022-04-19 16:51:00,483 ms,452 ms,440 ms,556 ms
2022-04-19 16:51:02,459 ms,453 ms,349 ms,575 ms
2022-04-19 16:51:04,477 ms,430 ms,353 ms,647 ms
2022-04-19 16:51:06,355 ms,423 ms,345 ms,297 ms
2022-04-19 16:51:08,457 ms,715 ms,349 ms,306 ms
2022-04-19 16:51:10,449 ms,731 ms,305 ms,310 ms
2022-04-19 16:51:12,492 ms,841 ms,333 ms,301 ms
2022-04-19 16:51:14,582 ms,1.01 s,350 ms,386 ms
2022-04-19 16:51:16,643 ms,1.15 s,357 ms,426 ms
2022-04-19 16:51:18,888 ms,1.38 s,434 ms,851 ms
2022-04-19 16:51:20,979 ms,1.09 s,448 ms,1.40 s
2022-04-19 16:51:22,899 ms,783 ms,411 ms,1.50 s
2022-04-19 16:51:24,827 ms,318 ms,394 ms,1.77 s
2022-04-19 16:51:26,856 ms,467 ms,366 ms,1.73 s
2022-04-19 16:51:28,694 ms,549 ms,407 ms,1.13 s
2022-04-19 16:51:30,522 ms,601 ms,390 ms,575 ms
2022-04-19 16:51:32,885 ms,1.59 s,409 ms,660 ms
2022-04-19 16:51:34,1.27 s,2.52 s,479 ms,823 ms
2022-04-19 16:51:36,1.42 s,2.73 s,650 ms,889 ms
2022-04-19 16:51:38,1.18 s,1.94 s,669 ms,921 ms
2022-04-19 16:51:40,1.05 s,1.56 s,807 ms,779 ms
2022-04-19 16:51:42,791 ms,785 ms,878 ms,709 ms
2022-04-19 16:51:44,491 ms,445 ms,476 ms,553 ms
2022-04-19 16:51:46,501 ms,405 ms,615 ms,483 ms
2022-04-19 16:51:48,558 ms,343 ms,858 ms,474 ms
2022-04-19 16:51:50,552 ms,402 ms,814 ms,439 ms
2022-04-19 16:51:52,504 ms,393 ms,762 ms,356 ms
2022-04-19 16:51:54,569 ms,599 ms,784 ms,323 ms
2022-04-19 16:51:56,423 ms,608 ms,333 ms,327 ms
2022-04-19 16:51:58,455 ms,622 ms,405 ms,339 ms
2022-04-19 16:52:00,541 ms,636 ms,651 ms,338 ms
2022-04-19 16:52:02,850 ms,587 ms,1.31 s,655 ms
2022-04-19 16:52:04,781 ms,488 ms,1.23 s,628 ms
2022-04-19 16:52:06,795 ms,497 ms,1.31 s,576 ms
2022-04-19 16:52:08,746 ms,556 ms,1.06 s,624 ms
2022-04-19 16:52:10,719 ms,643 ms,556 ms,959 ms
2022-04-19 16:52:12,715 ms,985 ms,289 ms,871 ms
2022-04-19 16:52:14,725 ms,912 ms,285 ms,976 ms
2022-04-19 16:52:16,690 ms,760 ms,357 ms,952 ms
2022-04-19 16:52:18,654 ms,671 ms,693 ms,598 ms
2022-04-19 16:52:20,658 ms,395 ms,1.21 s,371 ms
2022-04-19 16:52:22,661 ms,378 ms,1.25 s,352 ms
2022-04-19 16:52:24,648 ms,387 ms,1.24 s,321 ms
2022-04-19 16:52:26,595 ms,378 ms,1.08 s,325 ms
2022-04-19 16:52:28,536 ms,464 ms,822 ms,322 ms
2022-04-19 16:52:30,553 ms,667 ms,634 ms,358 ms
2022-04-19 16:52:32,478 ms,667 ms,377 ms,392 ms
2022-04-19 16:52:34,502 ms,751 ms,373 ms,382 ms
2022-04-19 16:52:36,550 ms,854 ms,399 ms,398 ms
2022-04-19 16:52:38,647 ms,878 ms,417 ms,645 ms
2022-04-19 16:52:40,724 ms,899 ms,401 ms,872 ms
2022-04-19 16:52:42,713 ms,899 ms,329 ms,912 ms
2022-04-19 16:52:44,740 ms,951 ms,353 ms,915 ms
2022-04-19 16:52:46,555 ms,643 ms,337 ms,685 ms
2022-04-19 16:52:48,396 ms,458 ms,327 ms,402 ms
2022-04-19 16:52:50,383 ms,457 ms,397 ms,295 ms
2022-04-19 16:52:52,487 ms,420 ms,769 ms,273 ms
2022-04-19 16:52:54,534 ms,485 ms,842 ms,274 ms
2022-04-19 16:52:56,713 ms,806 ms,856 ms,477 ms
2022-04-19 16:52:58,773 ms,946 ms,901 ms,473 ms
2022-04-19 16:53:00,736 ms,1.21 s,517 ms,484 ms
2022-04-19 16:53:02,743 ms,1.34 s,411 ms,482 ms
2022-04-19 16:53:04,629 ms,1.17 s,277 ms,436 ms
2022-04-19 16:53:06,627 ms,1.20 s,281 ms,396 ms
2022-04-19 16:53:08,735 ms,841 ms,915 ms,448 ms
2022-04-19 16:53:10,728 ms,421 ms,1.26 s,502 ms
2022-04-19 16:53:12,925 ms,478 ms,1.77 s,529 ms
2022-04-19 16:53:14,884 ms,510 ms,1.51 s,628 ms
2022-04-19 16:53:16,852 ms,445 ms,1.53 s,584 ms
2022-04-19 16:53:18,725 ms,402 ms,1.16 s,610 ms
2022-04-19 16:53:20,589 ms,380 ms,829 ms,559 ms
2022-04-19 16:53:22,400 ms,329 ms,425 ms,445 ms
2022-04-19 16:53:24,414 ms,406 ms,274 ms,564 ms
2022-04-19 16:53:26,607 ms,474 ms,712 ms,634 ms
2022-04-19 16:53:28,660 ms,456 ms,869 ms,656 ms
2022-04-19 16:53:30,617 ms,463 ms,890 ms,498 ms
2022-04-19 16:53:32,580 ms,563 ms,790 ms,386 ms
2022-04-19 16:53:34,750 ms,574 ms,695 ms,980 ms
2022-04-19 16:53:36,764 ms,671 ms,408 ms,1.22 s
2022-04-19 16:53:38,756 ms,708 ms,324 ms,1.23 s
2022-04-19 16:53:40,722 ms,673 ms,384 ms,1.11 s
2022-04-19 16:53:42,661 ms,601 ms,417 ms,966 ms
2022-04-19 16:53:44,503 ms,604 ms,352 ms,553 ms
2022-04-19 16:53:46,371 ms,354 ms,332 ms,427 ms
2022-04-19 16:53:48,412 ms,548 ms,376 ms,311 ms
2022-04-19 16:53:50,440 ms,585 ms,410 ms,323 ms
2022-04-19 16:53:52,487 ms,634 ms,492 ms,336 ms
2022-04-19 16:53:54,483 ms,619 ms,582 ms,250 ms
2022-04-19 16:53:56,427 ms,375 ms,649 ms,258 ms
2022-04-19 16:53:58,372 ms,368 ms,491 ms,257 ms
2022-04-19 16:54:00,366 ms,418 ms,424 ms,257 ms
2022-04-19 16:54:02,351 ms,402 ms,401 ms,249 ms
2022-04-19 16:54:04,369 ms,440 ms,392 ms,275 ms
2022-04-19 16:54:06,392 ms,467 ms,409 ms,300 ms
2022-04-19 16:54:08,449 ms,732 ms,268 ms,348 ms
2022-04-19 16:54:10,489 ms,751 ms,302 ms,413 ms
2022-04-19 16:54:12,496 ms,768 ms,306 ms,413 ms
2022-04-19 16:54:14,502 ms,652 ms,307 ms,546 ms
2022-04-19 16:54:16,453 ms,542 ms,300 ms,518 ms
2022-04-19 16:54:18,470 ms,595 ms,336 ms,480 ms
2022-04-19 16:54:20,590 ms,976 ms,344 ms,451 ms
2022-04-19 16:54:22,818 ms,1.44 s,369 ms,642 ms
2022-04-19 16:54:24,1.08 s,1.72 s,330 ms,1.19 s
2022-04-19 16:54:26,1.10 s,1.81 s,299 ms,1.20 s
2022-04-19 16:54:28,1.16 s,1.57 s,490 ms,1.41 s
2022-04-19 16:54:30,954 ms,1.11 s,484 ms,1.26 s
2022-04-19 16:54:32,422 ms,379 ms,464 ms,423 ms
2022-04-19 16:54:34,425 ms,300 ms,508 ms,465 ms
2022-04-19 16:54:36,461 ms,440 ms,270 ms,673 ms
2022-04-19 16:54:38,632 ms,823 ms,431 ms,643 ms
2022-04-19 16:54:40,769 ms,1.23 s,441 ms,638 ms
2022-04-19 16:54:42,838 ms,1.30 s,546 ms,671 ms
2022-04-19 16:54:44,767 ms,1.35 s,594 ms,354 ms
2022-04-19 16:54:46,686 ms,1.27 s,429 ms,354 ms
2022-04-19 16:54:48,604 ms,999 ms,428 ms,386 ms
2022-04-19 16:54:50,447 ms,651 ms,384 ms,305 ms
2022-04-19 16:54:52,392 ms,603 ms,266 ms,306 ms
2022-04-19 16:54:54,366 ms,572 ms,260 ms,267 ms
2022-04-19 16:54:56,334 ms,416 ms,315 ms,271 ms
2022-04-19 16:54:58,427 ms,359 ms,598 ms,325 ms
2022-04-19 16:55:00,562 ms,418 ms,959 ms,309 ms
2022-04-19 16:55:02,612 ms,477 ms,1.04 s,321 ms
2022-04-19 16:55:04,624 ms,446 ms,1.04 s,383 ms
2022-04-19 16:55:06,603 ms,438 ms,1.00 s,370 ms
2022-04-19 16:55:08,563 ms,699 ms,608 ms,380 ms
2022-04-19 16:55:10,463 ms,685 ms,289 ms,414 ms
2022-04-19 16:55:12,427 ms,598 ms,263 ms,419 ms
2022-04-19 16:55:14,405 ms,578 ms,281 ms,355 ms
2022-04-19 16:55:16,438 ms,587 ms,301 ms,427 ms
2022-04-19 16:55:18,390 ms,281 ms,321 ms,569 ms
2022-04-19 16:55:20,518 ms,277 ms,298 ms,980 ms
2022-04-19 16:55:22,510 ms,279 ms,288 ms,964 ms
2022-04-19 16:55:24,580 ms,411 ms,261 ms,1.07 s
2022-04-19 16:55:26,554 ms,468 ms,275 ms,918 ms
2022-04-19 16:55:28,361 ms,470 ms,269 ms,344 ms
2022-04-19 16:55:30,390 ms,510 ms,267 ms,395 ms
2022-04-19 16:55:32,462 ms,554 ms,262 ms,569 ms
2022-04-19 16:55:34,638 ms,508 ms,848 ms,557 ms
2022-04-19 16:55:36,776 ms,533 ms,1.18 s,615 ms
2022-04-19 16:55:38,876 ms,569 ms,1.38 s,681 ms
2022-04-19 16:55:40,1.12 s,554 ms,2.32 s,477 ms
2022-04-19 16:55:42,1.28 s,442 ms,2.90 s,491 ms
2022-04-19 16:55:44,1.22 s,395 ms,2.77 s,483 ms
2022-04-19 16:55:46,1.11 s,1.06 s,1.86 s,405 ms
2022-04-19 16:55:48,1.04 s,1.06 s,1.65 s,391 ms
2022-04-19 16:55:50,1.06 s,1.28 s,1.45 s,440 ms
2022-04-19 16:55:52,817 ms,1.23 s,797 ms,421 ms
2022-04-19 16:55:54,920 ms,1.18 s,1.03 s,544 ms
2022-04-19 16:55:56,966 ms,916 ms,1.08 s,903 ms
2022-04-19 16:55:58,901 ms,515 ms,1.15 s,1.04 s
2022-04-19 16:56:00,944 ms,625 ms,1.10 s,1.11 s
2022-04-19 16:56:02,874 ms,654 ms,891 ms,1.08 s
2022-04-19 16:56:04,699 ms,711 ms,607 ms,778 ms
2022-04-19 16:56:06,603 ms,648 ms,510 ms,651 ms
2022-04-19 16:56:08,524 ms,503 ms,622 ms,447 ms
2022-04-19 16:56:10,492 ms,406 ms,647 ms,424 ms
2022-04-19 16:56:12,545 ms,516 ms,675 ms,445 ms
2022-04-19 16:56:14,532 ms,485 ms,645 ms,466 ms
2022-04-19 16:56:16,526 ms,638 ms,483 ms,456 ms
2022-04-19 16:56:18,580 ms,517 ms,516 ms,708 ms
2022-04-19 16:56:20,660 ms,459 ms,460 ms,1.06 s
2022-04-19 16:56:22,611 ms,446 ms,542 ms,845 ms
2022-04-19 16:56:24,595 ms,346 ms,571 ms,868 ms
2022-04-19 16:56:26,576 ms,381 ms,553 ms,793 ms
2022-04-19 16:56:28,447 ms,368 ms,513 ms,459 ms
2022-04-19 16:56:30,370 ms,304 ms,382 ms,423 ms
2022-04-19 16:56:32,361 ms,344 ms,301 ms,437 ms
2022-04-19 16:56:34,400 ms,440 ms,273 ms,487 ms
2022-04-19 16:56:36,401 ms,440 ms,275 ms,488 ms
2022-04-19 16:56:38,478 ms,480 ms,456 ms,498 ms
2022-04-19 16:56:40,491 ms,515 ms,475 ms,484 ms
2022-04-19 16:56:42,467 ms,448 ms,570 ms,384 ms
2022-04-19 16:56:44,478 ms,507 ms,588 ms,339 ms
2022-04-19 16:56:46,549 ms,931 ms,447 ms,271 ms
2022-04-19 16:56:48,765 ms,1.10 s,540 ms,653 ms
2022-04-19 16:56:50,1.02 s,956 ms,618 ms,1.48 s
2022-04-19 16:56:52,1.34 s,1.00 s,1.53 s,1.48 s
2022-04-19 16:56:54,1.20 s,948 ms,1.41 s,1.23 s
2022-04-19 16:56:56,941 ms,322 ms,1.33 s,1.17 s
2022-04-19 16:56:58,664 ms,286 ms,1.14 s,568 ms
2022-04-19 16:57:00,531 ms,281 ms,910 ms,401 ms
2022-04-19 16:57:02,482 ms,338 ms,407 ms,702 ms
2022-04-19 16:57:04,755 ms,409 ms,346 ms,1.51 s
2022-04-19 16:57:06,813 ms,407 ms,736 ms,1.29 s
2022-04-19 16:57:08,822 ms,459 ms,774 ms,1.23 s
2022-04-19 16:57:10,884 ms,585 ms,837 ms,1.23 s
2022-04-19 16:57:12,775 ms,534 ms,907 ms,884 ms
2022-04-19 16:57:14,612 ms,589 ms,793 ms,454 ms
2022-04-19 16:57:16,624 ms,591 ms,641 ms,639 ms
2022-04-19 16:57:18,673 ms,647 ms,660 ms,713 ms
2022-04-19 16:57:20,775 ms,462 ms,1.13 s,738 ms
2022-04-19 16:57:22,858 ms,424 ms,1.36 s,790 ms
2022-04-19 16:57:24,849 ms,422 ms,1.43 s,694 ms
2022-04-19 16:57:26,934 ms,431 ms,1.79 s,578 ms
2022-04-19 16:57:28,1.39 s,561 ms,3.07 s,540 ms
2022-04-19 16:57:30,1.29 s,567 ms,2.81 s,488 ms
2022-04-19 16:57:32,761 ms,586 ms,1.40 s,299 ms
2022-04-19 16:57:34,803 ms,650 ms,1.40 s,359 ms
2022-04-19 16:57:36,973 ms,1.38 s,1.18 s,354 ms
2022-04-19 16:57:38,930 ms,1.86 s,549 ms,376 ms
2022-04-19 16:57:40,925 ms,2.07 s,330 ms,373 ms
2022-04-19 16:57:42,973 ms,1.97 s,610 ms,337 ms
2022-04-19 16:57:44,800 ms,1.49 s,566 ms,350 ms
2022-04-19 16:57:46,421 ms,376 ms,524 ms,362 ms
2022-04-19 16:57:48,398 ms,331 ms,552 ms,312 ms
2022-04-19 16:57:50,436 ms,320 ms,674 ms,313 ms
2022-04-19 16:57:52,426 ms,334 ms,670 ms,274 ms
2022-04-19 16:57:54,568 ms,446 ms,796 ms,463 ms
2022-04-19 16:57:56,626 ms,542 ms,759 ms,577 ms
2022-04-19 16:57:58,618 ms,536 ms,716 ms,603 ms
2022-04-19 16:58:00,585 ms,562 ms,595 ms,599 ms
2022-04-19 16:58:02,586 ms,651 ms,517 ms,590 ms
2022-04-19 16:58:04,539 ms,580 ms,489 ms,548 ms
2022-04-19 16:58:06,432 ms,498 ms,283 ms,514 ms
2022-04-19 16:58:08,455 ms,454 ms,381 ms,530 ms
2022-04-19 16:58:10,376 ms,279 ms,415 ms,433 ms
2022-04-19 16:58:12,380 ms,258 ms,445 ms,436 ms
2022-04-19 16:58:14,496 ms,550 ms,442 ms,495 ms
2022-04-19 16:58:16,727 ms,684 ms,440 ms,1.06 s
2022-04-19 16:58:18,689 ms,650 ms,419 ms,999 ms
2022-04-19 16:58:20,756 ms,633 ms,453 ms,1.18 s
2022-04-19 16:58:22,553 ms,653 ms,519 ms,487 ms
2022-04-19 16:58:24,537 ms,607 ms,516 ms,487 ms
2022-04-19 16:58:26,544 ms,538 ms,769 ms,325 ms
2022-04-19 16:58:28,739 ms,515 ms,763 ms,938 ms
2022-04-19 16:58:30,778 ms,576 ms,737 ms,1.02 s
2022-04-19 16:58:32,793 ms,607 ms,753 ms,1.02 s
2022-04-19 16:58:34,831 ms,576 ms,760 ms,1.16 s
2022-04-19 16:58:36,826 ms,673 ms,594 ms,1.21 s
2022-04-19 16:58:38,988 ms,625 ms,554 ms,1.79 s
2022-04-19 16:58:40,968 ms,258 ms,485 ms,2.16 s
2022-04-19 16:58:42,1.07 s,893 ms,289 ms,2.04 s
2022-04-19 16:58:44,1.13 s,820 ms,474 ms,2.10 s
2022-04-19 16:58:46,983 ms,829 ms,476 ms,1.64 s
2022-04-19 16:58:48,813 ms,802 ms,498 ms,1.14 s
2022-04-19 16:58:50,549 ms,708 ms,642 ms,298 ms
2022-04-19 16:58:52,450 ms,467 ms,547 ms,335 ms
2022-04-19 16:58:54,450 ms,489 ms,478 ms,383 ms
2022-04-19 16:58:56,492 ms,651 ms,455 ms,371 ms
2022-04-19 16:58:58,465 ms,684 ms,348 ms,364 ms
2022-04-19 16:59:00,536 ms,830 ms,302 ms,477 ms
2022-04-19 16:59:02,537 ms,920 ms,268 ms,423 ms
2022-04-19 16:59:04,531 ms,869 ms,294 ms,430 ms
2022-04-19 16:59:06,570 ms,864 ms,366 ms,482 ms
2022-04-19 16:59:08,597 ms,464 ms,876 ms,450 ms
2022-04-19 16:59:10,658 ms,433 ms,1.04 s,504 ms
2022-04-19 16:59:12,1.28 s,463 ms,1.53 s,1.85 s
2022-04-19 16:59:14,1.40 s,431 ms,1.80 s,1.97 s
2022-04-19 16:59:16,1.44 s,420 ms,1.66 s,2.24 s
2022-04-19 16:59:18,1.43 s,499 ms,1.46 s,2.32 s
2022-04-19 16:59:20,1.26 s,461 ms,1.29 s,2.03 s
2022-04-19 16:59:22,850 ms,474 ms,823 ms,1.25 s
2022-04-19 16:59:24,392 ms,464 ms,415 ms,297 ms
2022-04-19 16:59:26,350 ms,360 ms,386 ms,303 ms
2022-04-19 16:59:28,417 ms,381 ms,396 ms,474 ms
2022-04-19 16:59:30,645 ms,363 ms,333 ms,1.24 s
2022-04-19 16:59:32,789 ms,389 ms,327 ms,1.65 s
2022-04-19 16:59:34,874 ms,501 ms,280 ms,1.84 s
2022-04-19 16:59:36,828 ms,531 ms,293 ms,1.66 s
2022-04-19 16:59:38,816 ms,616 ms,357 ms,1.47 s
2022-04-19 16:59:40,643 ms,641 ms,433 ms,857 ms
2022-04-19 16:59:42,558 ms,575 ms,552 ms,547 ms
2022-04-19 16:59:44,440 ms,536 ms,510 ms,275 ms
2022-04-19 16:59:46,363 ms,306 ms,486 ms,298 ms
2022-04-19 16:59:48,385 ms,296 ms,534 ms,324 ms
2022-04-19 16:59:50,403 ms,347 ms,564 ms,299 ms
2022-04-19 16:59:52,434 ms,444 ms,547 ms,310 ms
2022-04-19 16:59:54,464 ms,491 ms,544 ms,356 ms
2022-04-19 16:59:56,744 ms,775 ms,1.03 s,423 ms
2022-04-19 16:59:58,845 ms,897 ms,1.16 s,477 ms
2022-04-19 17:00:00,1.06 s,1.44 s,1.23 s,496 ms
2022-04-19 17:00:02,1.39 s,2.05 s,1.56 s,565 ms
2022-04-19 17:00:04,1.60 s,2.60 s,1.75 s,444 ms
2022-04-19 17:00:06,1.47 s,2.48 s,1.59 s,347 ms
2022-04-19 17:00:08,1.39 s,2.36 s,1.47 s,343 ms
2022-04-19 17:00:10,1.25 s,2.23 s,1.25 s,277 ms
2022-04-19 17:00:12,1.15 s,2.10 s,1.06 s,300 ms
2022-04-19 17:00:14,622 ms,1.16 s,362 ms,343 ms
2022-04-19 17:00:16,613 ms,1.12 s,337 ms,381 ms
2022-04-19 17:00:18,595 ms,1.08 s,336 ms,374 ms
2022-04-19 17:00:20,471 ms,584 ms,422 ms,405 ms
2022-04-19 17:00:22,594 ms,308 ms,425 ms,1.05 s
2022-04-19 17:00:24,605 ms,316 ms,403 ms,1.10 s
2022-04-19 17:00:26,689 ms,423 ms,399 ms,1.25 s
2022-04-19 17:00:28,722 ms,407 ms,454 ms,1.31 s
2022-04-19 17:00:30,641 ms,408 ms,287 ms,1.23 s
2022-04-19 17:00:32,522 ms,430 ms,448 ms,688 ms
2022-04-19 17:00:34,640 ms,726 ms,465 ms,728 ms
2022-04-19 17:00:36,596 ms,766 ms,479 ms,542 ms
2022-04-19 17:00:38,563 ms,665 ms,434 ms,591 ms
2022-04-19 17:00:40,581 ms,669 ms,454 ms,622 ms
2022-04-19 17:00:42,549 ms,670 ms,385 ms,591 ms
2022-04-19 17:00:44,407 ms,409 ms,385 ms,428 ms
2022-04-19 17:00:46,400 ms,366 ms,400 ms,436 ms
2022-04-19 17:00:48,343 ms,357 ms,388 ms,284 ms
2022-04-19 17:00:50,336 ms,349 ms,378 ms,281 ms
2022-04-19 17:00:52,394 ms,383 ms,342 ms,456 ms
2022-04-19 17:00:54,533 ms,802 ms,332 ms,466 ms
2022-04-19 17:00:56,577 ms,951 ms,331 ms,451 ms
2022-04-19 17:00:58,558 ms,921 ms,301 ms,453 ms
2022-04-19 17:01:00,546 ms,949 ms,318 ms,369 ms
2022-04-19 17:01:02,470 ms,723 ms,333 ms,355 ms
2022-04-19 17:01:04,402 ms,469 ms,336 ms,401 ms
2022-04-19 17:01:06,379 ms,431 ms,367 ms,340 ms
2022-04-19 17:01:08,384 ms,427 ms,377 ms,348 ms
2022-04-19 17:01:10,429 ms,403 ms,513 ms,370 ms
2022-04-19 17:01:12,456 ms,381 ms,715 ms,272 ms
2022-04-19 17:01:14,472 ms,410 ms,732 ms,275 ms
2022-04-19 17:01:16,495 ms,424 ms,782 ms,278 ms
2022-04-19 17:01:18,447 ms,385 ms,685 ms,272 ms
2022-04-19 17:01:20,345 ms,374 ms,389 ms,272 ms
2022-04-19 17:01:22,481 ms,387 ms,347 ms,710 ms
2022-04-19 17:01:24,474 ms,401 ms,282 ms,738 ms
2022-04-19 17:01:26,451 ms,402 ms,286 ms,664 ms
2022-04-19 17:01:28,513 ms,409 ms,485 ms,646 ms
2022-04-19 17:01:30,563 ms,404 ms,705 ms,580 ms
2022-04-19 17:01:32,571 ms,399 ms,925 ms,389 ms
2022-04-19 17:01:34,612 ms,473 ms,970 ms,393 ms
2022-04-19 17:01:36,609 ms,465 ms,969 ms,393 ms
2022-04-19 17:01:38,616 ms,424 ms,1.08 s,341 ms
2022-04-19 17:01:40,576 ms,394 ms,984 ms,351 ms
2022-04-19 17:01:42,625 ms,328 ms,918 ms,628 ms
2022-04-19 17:01:44,680 ms,324 ms,953 ms,762 ms
2022-04-19 17:01:46,658 ms,325 ms,846 ms,803 ms
2022-04-19 17:01:48,707 ms,324 ms,1.01 s,786 ms
2022-04-19 17:01:50,820 ms,439 ms,1.18 s,841 ms
2022-04-19 17:01:52,826 ms,488 ms,1.17 s,824 ms
2022-04-19 17:01:54,954 ms,468 ms,1.26 s,1.14 s
2022-04-19 17:01:56,849 ms,448 ms,1.10 s,996 ms
2022-04-19 17:01:58,722 ms,399 ms,723 ms,1.04 s
2022-04-19 17:02:00,800 ms,600 ms,830 ms,969 ms
2022-04-19 17:02:02,651 ms,597 ms,804 ms,551 ms
2022-04-19 17:02:04,723 ms,740 ms,853 ms,575 ms
2022-04-19 17:02:06,796 ms,779 ms,968 ms,641 ms
2022-04-19 17:02:08,663 ms,662 ms,762 ms,566 ms
2022-04-19 17:02:10,431 ms,617 ms,297 ms,379 ms
2022-04-19 17:02:12,555 ms,723 ms,498 ms,444 ms
2022-04-19 17:02:14,524 ms,612 ms,518 ms,441 ms
2022-04-19 17:02:16,526 ms,629 ms,536 ms,413 ms
2022-04-19 17:02:18,549 ms,631 ms,599 ms,417 ms
2022-04-19 17:02:20,876 ms,633 ms,558 ms,1.44 s
2022-04-19 17:02:22,714 ms,290 ms,434 ms,1.42 s
2022-04-19 17:02:24,778 ms,274 ms,409 ms,1.65 s
2022-04-19 17:02:26,811 ms,314 ms,395 ms,1.72 s
2022-04-19 17:02:28,823 ms,309 ms,437 ms,1.72 s
2022-04-19 17:02:30,1.27 s,353 ms,444 ms,3.01 s
2022-04-19 17:02:32,1.54 s,665 ms,385 ms,3.56 s
2022-04-19 17:02:34,1.68 s,738 ms,356 ms,3.94 s
2022-04-19 17:02:36,561 ms,747 ms,375 ms,
2022-04-19 17:02:38,1.55 s,747 ms,360 ms,3.55 s
2022-04-19 17:02:40,1.65 s,715 ms,306 ms,3.94 s
2022-04-19 17:02:42,1.60 s,521 ms,343 ms,3.94 s
2022-04-19 17:02:44,1.55 s,509 ms,312 ms,3.82 s
2022-04-19 17:02:46,1.50 s,502 ms,361 ms,3.64 s
2022-04-19 17:02:48,1.36 s,465 ms,400 ms,3.20 s
2022-04-19 17:02:50,1.21 s,535 ms,403 ms,2.69 s
2022-04-19 17:02:52,1.33 s,620 ms,734 ms,2.64 s
2022-04-19 17:02:54,1.41 s,685 ms,973 ms,2.58 s
2022-04-19 17:02:56,1.51 s,757 ms,1.09 s,2.69 s
2022-04-19 17:02:58,1.53 s,593 ms,1.26 s,2.75 s
2022-04-19 17:03:00,1.47 s,658 ms,1.11 s,2.64 s
