"Time","Average Response Rate","edge-server-cv-74d975f7cd-pvhxn Response","edge-server-cv-74d975f7cd-v2ct9 Response","edge-server-cv-74d975f7cd-v8hnl Response"
2022-04-19 16:41:08,708 ms,346 ms,1.44 s,335 ms
2022-04-19 16:41:10,692 ms,347 ms,1.39 s,340 ms
2022-04-19 16:41:12,749 ms,338 ms,1.56 s,352 ms
2022-04-19 16:41:14,757 ms,591 ms,1.31 s,367 ms
2022-04-19 16:41:16,585 ms,529 ms,854 ms,372 ms
2022-04-19 16:41:18,513 ms,512 ms,665 ms,361 ms
2022-04-19 16:41:20,474 ms,447 ms,599 ms,374 ms
2022-04-19 16:41:22,441 ms,446 ms,605 ms,270 ms
2022-04-19 16:41:24,402 ms,284 ms,328 ms,594 ms
2022-04-19 16:41:26,403 ms,283 ms,332 ms,595 ms
2022-04-19 16:41:28,403 ms,309 ms,334 ms,565 ms
2022-04-19 16:41:30,426 ms,343 ms,340 ms,596 ms
2022-04-19 16:41:32,416 ms,362 ms,288 ms,600 ms
2022-04-19 16:41:34,537 ms,869 ms,303 ms,438 ms
2022-04-19 16:41:36,559 ms,939 ms,310 ms,429 ms
2022-04-19 16:41:38,589 ms,939 ms,341 ms,486 ms
2022-04-19 16:41:40,542 ms,892 ms,340 ms,395 ms
2022-04-19 16:41:42,418 ms,350 ms,487 ms,418 ms
2022-04-19 16:41:44,583 ms,312 ms,1.03 s,403 ms
2022-04-19 16:41:46,726 ms,277 ms,1.17 s,732 ms
2022-04-19 16:41:48,796 ms,441 ms,1.17 s,781 ms
2022-04-19 16:41:50,761 ms,406 ms,1.01 s,862 ms
2022-04-19 16:41:52,660 ms,436 ms,769 ms,775 ms
2022-04-19 16:41:54,523 ms,474 ms,296 ms,800 ms
2022-04-19 16:41:56,373 ms,442 ms,366 ms,311 ms
2022-04-19 16:41:58,440 ms,580 ms,425 ms,316 ms
2022-04-19 16:42:00,420 ms,500 ms,423 ms,338 ms
2022-04-19 16:42:02,419 ms,490 ms,437 ms,330 ms
2022-04-19 16:42:04,392 ms,456 ms,453 ms,266 ms
2022-04-19 16:42:06,385 ms,439 ms,447 ms,268 ms
2022-04-19 16:42:08,349 ms,464 ms,319 ms,264 ms
2022-04-19 16:42:10,378 ms,484 ms,379 ms,271 ms
2022-04-19 16:42:12,506 ms,517 ms,654 ms,346 ms
2022-04-19 16:42:14,515 ms,455 ms,730 ms,361 ms
2022-04-19 16:42:16,530 ms,373 ms,772 ms,444 ms
2022-04-19 16:42:18,523 ms,341 ms,775 ms,454 ms
2022-04-19 16:42:20,443 ms,249 ms,670 ms,408 ms
2022-04-19 16:42:22,389 ms,377 ms,411 ms,380 ms
2022-04-19 16:42:24,357 ms,392 ms,384 ms,295 ms
2022-04-19 16:42:26,353 ms,476 ms,296 ms,285 ms
2022-04-19 16:42:28,346 ms,482 ms,264 ms,293 ms
2022-04-19 16:42:30,525 ms,956 ms,265 ms,352 ms
2022-04-19 16:42:32,623 ms,1.22 s,309 ms,338 ms
2022-04-19 16:42:34,868 ms,1.98 s,298 ms,328 ms
2022-04-19 16:42:36,932 ms,2.15 s,322 ms,330 ms
2022-04-19 16:42:38,908 ms,2.01 s,363 ms,350 ms
2022-04-19 16:42:40,860 ms,1.89 s,332 ms,358 ms
2022-04-19 16:42:42,763 ms,1.49 s,424 ms,370 ms
2022-04-19 16:42:44,533 ms,576 ms,643 ms,379 ms
2022-04-19 16:42:46,460 ms,370 ms,643 ms,368 ms
2022-04-19 16:42:48,505 ms,452 ms,700 ms,363 ms
2022-04-19 16:42:50,564 ms,468 ms,809 ms,414 ms
2022-04-19 16:42:52,493 ms,484 ms,557 ms,438 ms
2022-04-19 16:42:54,546 ms,637 ms,257 ms,744 ms
2022-04-19 16:42:56,749 ms,691 ms,258 ms,1.30 s
2022-04-19 16:42:58,789 ms,637 ms,375 ms,1.36 s
2022-04-19 16:43:00,761 ms,616 ms,390 ms,1.28 s
2022-04-19 16:43:02,583 ms,295 ms,392 ms,1.06 s
2022-04-19 16:43:04,543 ms,292 ms,371 ms,967 ms
2022-04-19 16:43:06,415 ms,281 ms,417 ms,548 ms
2022-04-19 16:43:08,381 ms,266 ms,352 ms,525 ms
2022-04-19 16:43:10,420 ms,255 ms,428 ms,578 ms
2022-04-19 16:43:12,461 ms,342 ms,462 ms,580 ms
2022-04-19 16:43:14,396 ms,365 ms,481 ms,342 ms
2022-04-19 16:43:16,360 ms,336 ms,397 ms,346 ms
2022-04-19 16:43:18,408 ms,368 ms,486 ms,371 ms
2022-04-19 16:43:20,370 ms,339 ms,413 ms,357 ms
2022-04-19 16:43:22,381 ms,315 ms,460 ms,367 ms
2022-04-19 16:43:24,395 ms,364 ms,480 ms,339 ms
2022-04-19 16:43:26,433 ms,418 ms,515 ms,365 ms
2022-04-19 16:43:28,398 ms,411 ms,394 ms,389 ms
2022-04-19 16:43:30,527 ms,429 ms,388 ms,765 ms
2022-04-19 16:43:32,538 ms,464 ms,388 ms,763 ms
2022-04-19 16:43:34,493 ms,302 ms,437 ms,738 ms
2022-04-19 16:43:36,564 ms,304 ms,580 ms,807 ms
2022-04-19 16:43:38,494 ms,265 ms,560 ms,658 ms
2022-04-19 16:43:40,371 ms,265 ms,560 ms,288 ms
2022-04-19 16:43:42,356 ms,267 ms,509 ms,292 ms
2022-04-19 16:43:44,295 ms,269 ms,324 ms,293 ms
2022-04-19 16:43:46,296 ms,263 ms,301 ms,325 ms
2022-04-19 16:43:48,383 ms,329 ms,303 ms,517 ms
2022-04-19 16:43:50,403 ms,353 ms,337 ms,521 ms
2022-04-19 16:43:52,436 ms,464 ms,343 ms,500 ms
2022-04-19 16:43:54,456 ms,501 ms,369 ms,497 ms
2022-04-19 16:43:56,406 ms,457 ms,369 ms,391 ms
2022-04-19 16:43:58,534 ms,493 ms,718 ms,392 ms
2022-04-19 16:44:00,662 ms,469 ms,1.08 s,435 ms
2022-04-19 16:44:02,748 ms,367 ms,1.16 s,712 ms
2022-04-19 16:44:04,749 ms,485 ms,994 ms,768 ms
2022-04-19 16:44:06,756 ms,535 ms,837 ms,895 ms
2022-04-19 16:44:08,755 ms,584 ms,692 ms,987 ms
2022-04-19 16:44:10,555 ms,564 ms,482 ms,619 ms
2022-04-19 16:44:12,564 ms,635 ms,519 ms,538 ms
2022-04-19 16:44:14,528 ms,502 ms,593 ms,488 ms
2022-04-19 16:44:16,492 ms,726 ms,456 ms,295 ms
2022-04-19 16:44:18,471 ms,660 ms,444 ms,309 ms
2022-04-19 16:44:20,501 ms,599 ms,451 ms,453 ms
2022-04-19 16:44:22,509 ms,654 ms,395 ms,478 ms
2022-04-19 16:44:24,519 ms,690 ms,386 ms,481 ms
2022-04-19 16:44:26,481 ms,590 ms,393 ms,461 ms
2022-04-19 16:44:28,423 ms,569 ms,321 ms,377 ms
2022-04-19 16:44:30,405 ms,527 ms,331 ms,356 ms
2022-04-19 16:44:32,356 ms,324 ms,389 ms,355 ms
2022-04-19 16:44:34,409 ms,329 ms,391 ms,506 ms
2022-04-19 16:44:36,509 ms,366 ms,539 ms,623 ms
2022-04-19 16:44:38,596 ms,633 ms,500 ms,653 ms
2022-04-19 16:44:40,591 ms,695 ms,464 ms,614 ms
2022-04-19 16:44:42,529 ms,575 ms,395 ms,617 ms
2022-04-19 16:44:44,445 ms,598 ms,288 ms,450 ms
2022-04-19 16:44:46,324 ms,379 ms,322 ms,271 ms
2022-04-19 16:44:48,376 ms,494 ms,364 ms,268 ms
2022-04-19 16:44:50,539 ms,661 ms,374 ms,581 ms
2022-04-19 16:44:52,579 ms,748 ms,385 ms,602 ms
2022-04-19 16:44:54,568 ms,730 ms,361 ms,614 ms
2022-04-19 16:44:56,543 ms,694 ms,360 ms,575 ms
2022-04-19 16:44:58,490 ms,436 ms,334 ms,699 ms
2022-04-19 16:45:00,523 ms,457 ms,369 ms,741 ms
2022-04-19 16:45:02,543 ms,470 ms,391 ms,767 ms
2022-04-19 16:45:04,563 ms,416 ms,344 ms,930 ms
2022-04-19 16:45:06,423 ms,420 ms,329 ms,521 ms
2022-04-19 16:45:08,347 ms,389 ms,357 ms,294 ms
2022-04-19 16:45:10,335 ms,404 ms,291 ms,310 ms
2022-04-19 16:45:12,396 ms,393 ms,345 ms,451 ms
2022-04-19 16:45:14,424 ms,432 ms,356 ms,483 ms
2022-04-19 16:45:16,426 ms,388 ms,399 ms,490 ms
2022-04-19 16:45:18,574 ms,382 ms,794 ms,544 ms
2022-04-19 16:45:20,563 ms,355 ms,793 ms,540 ms
2022-04-19 16:45:22,494 ms,386 ms,763 ms,335 ms
2022-04-19 16:45:24,475 ms,358 ms,742 ms,325 ms
2022-04-19 16:45:26,393 ms,402 ms,476 ms,301 ms
2022-04-19 16:45:28,370 ms,407 ms,432 ms,269 ms
2022-04-19 16:45:30,375 ms,377 ms,448 ms,299 ms
2022-04-19 16:45:32,399 ms,421 ms,454 ms,321 ms
2022-04-19 16:45:34,413 ms,547 ms,367 ms,327 ms
2022-04-19 16:45:36,544 ms,910 ms,327 ms,394 ms
2022-04-19 16:45:38,625 ms,1.11 s,334 ms,426 ms
2022-04-19 16:45:40,599 ms,994 ms,325 ms,479 ms
2022-04-19 16:45:42,890 ms,890 ms,387 ms,1.39 s
2022-04-19 16:45:44,735 ms,560 ms,387 ms,1.26 s
2022-04-19 16:45:46,659 ms,350 ms,386 ms,1.24 s
2022-04-19 16:45:48,727 ms,515 ms,423 ms,1.24 s
2022-04-19 16:45:50,517 ms,541 ms,508 ms,500 ms
2022-04-19 16:45:52,561 ms,600 ms,599 ms,484 ms
2022-04-19 16:45:54,655 ms,561 ms,871 ms,533 ms
2022-04-19 16:45:56,563 ms,370 ms,821 ms,499 ms
2022-04-19 16:45:58,550 ms,342 ms,826 ms,484 ms
2022-04-19 16:46:00,554 ms,360 ms,816 ms,484 ms
2022-04-19 16:46:02,500 ms,330 ms,670 ms,500 ms
2022-04-19 16:46:04,528 ms,494 ms,516 ms,574 ms
2022-04-19 16:46:06,524 ms,490 ms,486 ms,597 ms
2022-04-19 16:46:08,535 ms,458 ms,466 ms,680 ms
2022-04-19 16:46:10,539 ms,455 ms,443 ms,717 ms
2022-04-19 16:46:12,475 ms,517 ms,339 ms,570 ms
2022-04-19 16:46:14,450 ms,567 ms,253 ms,530 ms
2022-04-19 16:46:16,507 ms,565 ms,424 ms,530 ms
2022-04-19 16:46:18,510 ms,614 ms,520 ms,398 ms
2022-04-19 16:46:20,529 ms,620 ms,545 ms,423 ms
2022-04-19 16:46:22,506 ms,452 ms,674 ms,392 ms
2022-04-19 16:46:24,526 ms,475 ms,643 ms,459 ms
2022-04-19 16:46:26,485 ms,461 ms,579 ms,415 ms
2022-04-19 16:46:28,511 ms,673 ms,494 ms,367 ms
2022-04-19 16:46:30,533 ms,743 ms,491 ms,366 ms
2022-04-19 16:46:32,459 ms,745 ms,356 ms,278 ms
2022-04-19 16:46:34,451 ms,693 ms,355 ms,305 ms
2022-04-19 16:46:36,454 ms,704 ms,347 ms,310 ms
2022-04-19 16:46:38,401 ms,572 ms,326 ms,305 ms
2022-04-19 16:46:40,370 ms,489 ms,310 ms,312 ms
2022-04-19 16:46:42,489 ms,611 ms,374 ms,481 ms
2022-04-19 16:46:44,582 ms,968 ms,371 ms,406 ms
2022-04-19 16:46:46,626 ms,1.08 s,382 ms,419 ms
2022-04-19 16:46:48,681 ms,1.22 s,441 ms,381 ms
2022-04-19 16:46:50,910 ms,1.08 s,1.28 s,371 ms
2022-04-19 16:46:52,1.09 s,1.05 s,1.89 s,330 ms
2022-04-19 16:46:54,1.02 s,823 ms,1.88 s,356 ms
2022-04-19 16:46:56,1.08 s,732 ms,2.10 s,396 ms
