"Time","Total Memory Usage","Average Memory Usage","edge-server-cv-78d887c496-f2l75 Memory Usage","edge-server-cv-78d887c496-wrh5q Memory Usage","edge-server-cv-78d887c496-fczhb Memory Usage"
2022-04-19 18:35:00,3475599360,1158533120,1250377728,1204920320,1020301312
2022-04-19 18:35:15,4013076480,1337692160,1503051776,1370959872,1139064832
2022-04-19 18:35:30,4013076480,1337692160,1503051776,1370959872,1139064832
2022-04-19 18:35:45,3108806656,1036268885,1024106496,818765824,1265934336
2022-04-19 18:36:00,3108806656,1036268885,1024106496,818765824,1265934336
2022-04-19 18:36:15,3759730688,1253243563,1025081344,1534767104,1199882240
2022-04-19 18:36:30,3759730688,1253243563,1025081344,1534767104,1199882240
2022-04-19 18:36:45,3345424384,1115141461,991293440,1356918784,997212160
2022-04-19 18:37:00,3345424384,1115141461,991293440,1356918784,997212160
2022-04-19 18:37:15,3699253248,1233084416,1430409216,1331941376,936902656
2022-04-19 18:37:30,3699253248,1233084416,1430409216,1331941376,936902656
2022-04-19 18:37:45,3000897536,1000299179,1025986560,1163411456,811499520
2022-04-19 18:38:00,3000897536,1000299179,1025986560,1163411456,811499520
2022-04-19 18:38:15,2933719040,977906347,1204654080,824504320,904560640
2022-04-19 18:38:30,2933719040,977906347,1204654080,824504320,904560640
2022-04-19 18:38:45,3912617984,1304205995,1234833408,1386446848,1291337728
2022-04-19 18:39:00,3912617984,1304205995,1234833408,1386446848,1291337728
2022-04-19 18:39:15,3744772096,1248257365,1443782656,1367240704,933748736
2022-04-19 18:39:30,3744772096,1248257365,1443782656,1367240704,933748736
2022-04-19 18:39:45,3077246976,1025748992,1100197888,1225576448,751472640
2022-04-19 18:40:00,3077246976,1025748992,1100197888,1225576448,751472640
2022-04-19 18:40:15,3796422656,1265474219,1483264000,1303986176,1009172480
2022-04-19 18:40:30,3796422656,1265474219,1483264000,1303986176,1009172480
2022-04-19 18:40:45,3789357056,1263119019,1260392448,1039859712,1489104896
2022-04-19 18:41:00,3789357056,1263119019,1260392448,1039859712,1489104896
2022-04-19 18:41:15,3625971712,1208657237,727711744,1401991168,1496268800
2022-04-19 18:41:30,3625971712,1208657237,727711744,1401991168,1496268800
2022-04-19 18:41:45,3640176640,1213392213,1366745088,1368813568,904617984
2022-04-19 18:42:00,3640176640,1213392213,1366745088,1368813568,904617984
2022-04-19 18:42:15,3975766016,1325255339,1202528256,1520406528,1252831232
2022-04-19 18:42:30,3975766016,1325255339,1202528256,1520406528,1252831232
2022-04-19 18:42:45,3530489856,1176829952,1186955264,1247313920,1096220672
2022-04-19 18:43:00,3530489856,1176829952,1186955264,1247313920,1096220672
2022-04-19 18:43:15,3849994240,1283331413,1259532288,1367781376,1222680576
2022-04-19 18:43:30,3849994240,1283331413,1259532288,1367781376,1222680576
2022-04-19 18:43:45,3868495872,1289498624,1351430144,1341767680,1175298048
2022-04-19 18:44:00,3868495872,1289498624,1351430144,1341767680,1175298048
2022-04-19 18:44:15,4150304768,1383434923,1140322304,1390764032,1619218432
2022-04-19 18:44:30,4150304768,1383434923,1140322304,1390764032,1619218432
2022-04-19 18:44:45,3398459392,1132819797,1202810880,1191378944,1004269568
2022-04-19 18:45:00,3398459392,1132819797,1202810880,1191378944,1004269568
2022-04-19 18:45:15,3986477056,1328825685,1333018624,1232936960,1420521472
2022-04-19 18:45:30,3986477056,1328825685,1333018624,1232936960,1420521472
2022-04-19 18:45:45,4419125248,1473041749,1260281856,1709436928,1449406464
2022-04-19 18:46:00,4419125248,1473041749,1260281856,1709436928,1449406464
2022-04-19 18:46:15,3837337600,1279112533,1060737024,1448206336,1328394240
2022-04-19 18:46:30,3837337600,1279112533,1060737024,1448206336,1328394240
2022-04-19 18:46:45,3333402624,1111134208,1183428608,1100197888,1049776128
2022-04-19 18:47:00,3333402624,1111134208,1183428608,1100197888,1049776128
2022-04-19 18:47:15,3480420352,1160140117,1359085568,1152307200,969027584
2022-04-19 18:47:30,3480420352,1160140117,1359085568,1152307200,969027584
2022-04-19 18:47:45,3691712512,1230570837,1382297600,1201061888,1108353024
2022-04-19 18:48:00,3691712512,1230570837,1382297600,1201061888,1108353024
2022-04-19 18:48:15,3438608384,1146202795,1030897664,1424166912,983543808
2022-04-19 18:48:30,3438608384,1146202795,1030897664,1424166912,983543808
2022-04-19 18:48:45,4059525120,1353175040,1241796608,1813999616,1003728896
2022-04-19 18:49:00,4059525120,1353175040,1241796608,1813999616,1003728896
2022-04-19 18:49:15,4041785344,1347261781,1513021440,1151320064,1377443840
2022-04-19 18:49:30,4041785344,1347261781,1513021440,1151320064,1377443840
2022-04-19 18:49:45,3682054144,1227351381,1064161280,1281261568,1336631296
2022-04-19 18:50:00,3682054144,1227351381,1064161280,1281261568,1336631296
2022-04-19 18:50:15,4133916672,1377972224,1421606912,1373839360,1338470400
2022-04-19 18:50:30,4133916672,1377972224,1421606912,1373839360,1338470400
2022-04-19 18:50:45,4009668608,1336556203,1414103040,1382424576,1213140992
2022-04-19 18:51:00,4009668608,1336556203,1414103040,1382424576,1213140992
2022-04-19 18:51:15,3610845184,1203615061,1404874752,1022541824,1183428608
2022-04-19 18:51:30,3610845184,1203615061,1404874752,1022541824,1183428608
2022-04-19 18:51:45,3276394496,1092131499,1218891776,881045504,1176457216
2022-04-19 18:52:00,3276394496,1092131499,1218891776,881045504,1176457216
2022-04-19 18:52:15,3050512384,1016837461,1096028160,1276633088,677851136
2022-04-19 18:52:30,3050512384,1016837461,1096028160,1276633088,677851136
2022-04-19 18:52:45,3999158272,1333052757,1305022464,1085829120,1608306688
2022-04-19 18:53:00,3999158272,1333052757,1305022464,1085829120,1608306688
2022-04-19 18:53:15,3945611264,1315203755,1172439040,1375387648,1397784576
2022-04-19 18:53:30,3945611264,1315203755,1172439040,1375387648,1397784576
2022-04-19 18:53:45,3870515200,1290171733,1354846208,1319616512,1196052480

