"Time","Average Response Rate","edge-server-cv-78d887c496-f2l75 Response","edge-server-cv-78d887c496-fczhb Response","edge-server-cv-78d887c496-wrh5q Response"
2022-04-19 18:38:24,343 ms,297 ms,365 ms,367 ms
2022-04-19 18:38:26,327 ms,318 ms,369 ms,292 ms
2022-04-19 18:38:28,326 ms,330 ms,332 ms,314 ms
2022-04-19 18:38:30,415 ms,372 ms,295 ms,580 ms
2022-04-19 18:38:32,406 ms,380 ms,292 ms,545 ms
2022-04-19 18:38:34,412 ms,374 ms,290 ms,572 ms
2022-04-19 18:38:36,400 ms,337 ms,300 ms,565 ms
2022-04-19 18:38:38,323 ms,329 ms,304 ms,337 ms
2022-04-19 18:38:40,301 ms,281 ms,295 ms,326 ms
2022-04-19 18:38:42,324 ms,290 ms,363 ms,319 ms
2022-04-19 18:38:44,414 ms,506 ms,362 ms,373 ms
2022-04-19 18:38:46,410 ms,508 ms,361 ms,361 ms
2022-04-19 18:38:48,404 ms,472 ms,367 ms,371 ms
2022-04-19 18:38:50,420 ms,480 ms,417 ms,362 ms
2022-04-19 18:38:52,366 ms,369 ms,384 ms,345 ms
2022-04-19 18:38:54,326 ms,305 ms,358 ms,315 ms
2022-04-19 18:38:56,363 ms,327 ms,402 ms,361 ms
2022-04-19 18:38:58,377 ms,335 ms,397 ms,399 ms
2022-04-19 18:39:00,421 ms,360 ms,359 ms,545 ms
2022-04-19 18:39:02,516 ms,333 ms,507 ms,710 ms
2022-04-19 18:39:04,639 ms,367 ms,785 ms,764 ms
2022-04-19 18:39:06,730 ms,591 ms,807 ms,793 ms
2022-04-19 18:39:08,747 ms,552 ms,868 ms,820 ms
2022-04-19 18:39:10,725 ms,705 ms,874 ms,596 ms
2022-04-19 18:39:12,556 ms,706 ms,568 ms,395 ms
2022-04-19 18:39:14,484 ms,619 ms,544 ms,288 ms
2022-04-19 18:39:16,455 ms,579 ms,501 ms,286 ms
2022-04-19 18:39:18,367 ms,412 ms,406 ms,282 ms
2022-04-19 18:39:20,291 ms,319 ms,286 ms,268 ms
2022-04-19 18:39:22,322 ms,330 ms,277 ms,359 ms
2022-04-19 18:39:24,363 ms,310 ms,273 ms,506 ms
2022-04-19 18:39:26,376 ms,317 ms,280 ms,531 ms
2022-04-19 18:39:28,476 ms,347 ms,441 ms,640 ms
2022-04-19 18:39:30,531 ms,355 ms,574 ms,663 ms
2022-04-19 18:39:32,466 ms,360 ms,589 ms,447 ms
2022-04-19 18:39:34,478 ms,375 ms,593 ms,465 ms
2022-04-19 18:39:36,460 ms,363 ms,600 ms,418 ms
2022-04-19 18:39:38,384 ms,321 ms,471 ms,362 ms
2022-04-19 18:39:40,383 ms,327 ms,356 ms,465 ms
2022-04-19 18:39:42,390 ms,300 ms,377 ms,494 ms
2022-04-19 18:39:44,489 ms,637 ms,371 ms,458 ms
2022-04-19 18:39:46,530 ms,779 ms,378 ms,434 ms
2022-04-19 18:39:48,587 ms,899 ms,494 ms,368 ms
2022-04-19 18:39:50,572 ms,879 ms,514 ms,322 ms
2022-04-19 18:39:52,535 ms,715 ms,557 ms,332 ms
2022-04-19 18:39:54,477 ms,544 ms,564 ms,322 ms
2022-04-19 18:39:56,473 ms,407 ms,556 ms,457 ms
2022-04-19 18:39:58,457 ms,401 ms,502 ms,467 ms
2022-04-19 18:40:00,499 ms,393 ms,630 ms,476 ms
2022-04-19 18:40:02,512 ms,381 ms,705 ms,450 ms
2022-04-19 18:40:04,427 ms,290 ms,688 ms,302 ms
2022-04-19 18:40:06,459 ms,270 ms,672 ms,435 ms
2022-04-19 18:40:08,390 ms,263 ms,472 ms,434 ms
2022-04-19 18:40:10,418 ms,446 ms,364 ms,443 ms
2022-04-19 18:40:12,460 ms,657 ms,290 ms,434 ms
2022-04-19 18:40:14,481 ms,748 ms,290 ms,407 ms
2022-04-19 18:40:16,582 ms,735 ms,682 ms,329 ms
2022-04-19 18:40:18,619 ms,713 ms,808 ms,335 ms
2022-04-19 18:40:20,579 ms,692 ms,719 ms,325 ms
2022-04-19 18:40:22,506 ms,508 ms,688 ms,323 ms
2022-04-19 18:40:24,479 ms,498 ms,590 ms,348 ms
2022-04-19 18:40:26,389 ms,485 ms,311 ms,371 ms
2022-04-19 18:40:28,391 ms,349 ms,412 ms,413 ms
2022-04-19 18:40:30,428 ms,343 ms,469 ms,470 ms
2022-04-19 18:40:32,414 ms,338 ms,456 ms,447 ms
2022-04-19 18:40:34,416 ms,353 ms,481 ms,413 ms
2022-04-19 18:40:36,411 ms,391 ms,437 ms,404 ms
2022-04-19 18:40:38,374 ms,405 ms,384 ms,333 ms
2022-04-19 18:40:40,341 ms,385 ms,342 ms,297 ms
2022-04-19 18:40:42,476 ms,403 ms,335 ms,690 ms
2022-04-19 18:40:44,483 ms,388 ms,374 ms,687 ms
2022-04-19 18:40:46,588 ms,445 ms,635 ms,684 ms
2022-04-19 18:40:48,696 ms,429 ms,873 ms,786 ms
2022-04-19 18:40:50,659 ms,417 ms,1.02 s,545 ms
2022-04-19 18:40:52,751 ms,542 ms,1.25 s,461 ms
2022-04-19 18:40:54,740 ms,525 ms,1.24 s,458 ms
2022-04-19 18:40:56,641 ms,504 ms,1.01 s,407 ms
2022-04-19 18:40:58,564 ms,522 ms,766 ms,404 ms
2022-04-19 18:41:00,607 ms,699 ms,545 ms,578 ms
2022-04-19 18:41:02,630 ms,801 ms,345 ms,745 ms
2022-04-19 18:41:04,711 ms,827 ms,353 ms,954 ms
2022-04-19 18:41:06,690 ms,833 ms,319 ms,919 ms
2022-04-19 18:41:08,556 ms,549 ms,307 ms,812 ms
2022-04-19 18:41:10,492 ms,496 ms,298 ms,683 ms
2022-04-19 18:41:12,376 ms,269 ms,340 ms,520 ms
2022-04-19 18:41:14,305 ms,272 ms,317 ms,325 ms
2022-04-19 18:41:16,342 ms,393 ms,339 ms,294 ms
2022-04-19 18:41:18,382 ms,470 ms,352 ms,325 ms
2022-04-19 18:41:20,392 ms,470 ms,361 ms,343 ms
2022-04-19 18:41:22,374 ms,472 ms,301 ms,350 ms
2022-04-19 18:41:24,358 ms,459 ms,264 ms,349 ms
2022-04-19 18:41:26,319 ms,339 ms,259 ms,361 ms
2022-04-19 18:41:28,342 ms,337 ms,309 ms,380 ms
2022-04-19 18:41:30,339 ms,302 ms,330 ms,386 ms
2022-04-19 18:41:32,346 ms,295 ms,330 ms,414 ms
2022-04-19 18:41:34,343 ms,278 ms,338 ms,414 ms
2022-04-19 18:41:36,386 ms,273 ms,351 ms,535 ms
2022-04-19 18:41:38,352 ms,259 ms,313 ms,484 ms
2022-04-19 18:41:40,357 ms,262 ms,326 ms,484 ms
2022-04-19 18:41:42,403 ms,438 ms,319 ms,452 ms
2022-04-19 18:41:44,392 ms,454 ms,325 ms,397 ms
2022-04-19 18:41:46,371 ms,450 ms,314 ms,349 ms
2022-04-19 18:41:48,418 ms,556 ms,293 ms,407 ms
2022-04-19 18:41:50,440 ms,610 ms,285 ms,426 ms
2022-04-19 18:41:52,484 ms,749 ms,322 ms,380 ms
2022-04-19 18:41:54,510 ms,752 ms,392 ms,386 ms
2022-04-19 18:41:56,494 ms,748 ms,399 ms,333 ms
2022-04-19 18:41:58,454 ms,657 ms,380 ms,324 ms
2022-04-19 18:42:00,447 ms,614 ms,400 ms,328 ms
2022-04-19 18:42:02,541 ms,848 ms,451 ms,324 ms
2022-04-19 18:42:04,627 ms,909 ms,646 ms,327 ms
2022-04-19 18:42:06,608 ms,830 ms,662 ms,331 ms
2022-04-19 18:42:08,594 ms,767 ms,703 ms,313 ms
2022-04-19 18:42:10,494 ms,552 ms,623 ms,307 ms
2022-04-19 18:42:12,357 ms,318 ms,461 ms,291 ms
2022-04-19 18:42:14,390 ms,440 ms,448 ms,283 ms
2022-04-19 18:42:16,366 ms,426 ms,373 ms,298 ms
2022-04-19 18:42:18,376 ms,434 ms,394 ms,301 ms
2022-04-19 18:42:20,405 ms,443 ms,381 ms,390 ms
2022-04-19 18:42:22,482 ms,532 ms,413 ms,501 ms
2022-04-19 18:42:24,490 ms,471 ms,455 ms,543 ms
2022-04-19 18:42:26,486 ms,453 ms,440 ms,566 ms
2022-04-19 18:42:28,466 ms,449 ms,406 ms,541 ms
2022-04-19 18:42:30,401 ms,384 ms,421 ms,399 ms
2022-04-19 18:42:32,380 ms,487 ms,339 ms,315 ms
2022-04-19 18:42:34,430 ms,592 ms,351 ms,347 ms
2022-04-19 18:42:36,466 ms,660 ms,392 ms,346 ms
2022-04-19 18:42:38,495 ms,692 ms,439 ms,355 ms
2022-04-19 18:42:40,499 ms,689 ms,477 ms,332 ms
2022-04-19 18:42:42,472 ms,453 ms,499 ms,462 ms
2022-04-19 18:42:44,483 ms,415 ms,476 ms,559 ms
2022-04-19 18:42:46,550 ms,561 ms,477 ms,612 ms
2022-04-19 18:42:48,564 ms,708 ms,333 ms,650 ms
2022-04-19 18:42:50,553 ms,703 ms,336 ms,620 ms
2022-04-19 18:42:52,552 ms,711 ms,461 ms,486 ms
2022-04-19 18:42:54,572 ms,659 ms,574 ms,484 ms
2022-04-19 18:42:56,508 ms,503 ms,601 ms,420 ms
2022-04-19 18:42:58,453 ms,326 ms,586 ms,446 ms
2022-04-19 18:43:00,465 ms,360 ms,574 ms,463 ms
2022-04-19 18:43:02,399 ms,344 ms,369 ms,484 ms
2022-04-19 18:43:04,353 ms,322 ms,296 ms,443 ms
2022-04-19 18:43:06,386 ms,419 ms,300 ms,438 ms
2022-04-19 18:43:08,372 ms,410 ms,297 ms,409 ms
2022-04-19 18:43:10,369 ms,408 ms,357 ms,341 ms
2022-04-19 18:43:12,391 ms,415 ms,381 ms,377 ms
2022-04-19 18:43:14,389 ms,404 ms,373 ms,390 ms
2022-04-19 18:43:16,413 ms,412 ms,370 ms,455 ms
2022-04-19 18:43:18,465 ms,514 ms,382 ms,500 ms
2022-04-19 18:43:20,491 ms,667 ms,341 ms,465 ms
2022-04-19 18:43:22,522 ms,754 ms,362 ms,450 ms
2022-04-19 18:43:24,518 ms,742 ms,352 ms,462 ms
2022-04-19 18:43:26,477 ms,703 ms,340 ms,389 ms
2022-04-19 18:43:28,434 ms,587 ms,319 ms,395 ms
2022-04-19 18:43:30,371 ms,466 ms,284 ms,363 ms
2022-04-19 18:43:32,330 ms,366 ms,280 ms,344 ms
2022-04-19 18:43:34,331 ms,370 ms,315 ms,307 ms
2022-04-19 18:43:36,321 ms,320 ms,311 ms,332 ms
2022-04-19 18:43:38,356 ms,320 ms,318 ms,430 ms
2022-04-19 18:43:40,417 ms,324 ms,351 ms,576 ms
2022-04-19 18:43:42,427 ms,321 ms,342 ms,618 ms
2022-04-19 18:43:44,409 ms,312 ms,326 ms,590 ms
2022-04-19 18:43:46,397 ms,311 ms,328 ms,552 ms
2022-04-19 18:43:48,351 ms,340 ms,286 ms,425 ms
2022-04-19 18:43:50,350 ms,339 ms,328 ms,384 ms
2022-04-19 18:43:52,465 ms,367 ms,572 ms,455 ms
2022-04-19 18:43:54,543 ms,369 ms,744 ms,515 ms
2022-04-19 18:43:56,591 ms,359 ms,888 ms,527 ms
2022-04-19 18:43:58,604 ms,355 ms,917 ms,542 ms
2022-04-19 18:44:00,539 ms,385 ms,812 ms,420 ms
2022-04-19 18:44:02,470 ms,391 ms,665 ms,355 ms
2022-04-19 18:44:04,431 ms,405 ms,565 ms,323 ms
2022-04-19 18:44:06,384 ms,439 ms,387 ms,324 ms
2022-04-19 18:44:08,438 ms,391 ms,343 ms,579 ms
2022-04-19 18:44:10,420 ms,327 ms,338 ms,594 ms
2022-04-19 18:44:12,405 ms,338 ms,304 ms,574 ms
2022-04-19 18:44:14,399 ms,310 ms,333 ms,554 ms
2022-04-19 18:44:16,424 ms,325 ms,460 ms,488 ms
2022-04-19 18:44:18,439 ms,338 ms,480 ms,500 ms
2022-04-19 18:44:20,549 ms,691 ms,451 ms,505 ms
2022-04-19 18:44:22,571 ms,690 ms,495 ms,526 ms
2022-04-19 18:44:24,627 ms,751 ms,683 ms,447 ms
2022-04-19 18:44:26,610 ms,683 ms,846 ms,301 ms
2022-04-19 18:44:28,548 ms,498 ms,876 ms,270 ms
2022-04-19 18:44:30,475 ms,291 ms,865 ms,267 ms
2022-04-19 18:44:32,451 ms,305 ms,763 ms,284 ms
2022-04-19 18:44:34,400 ms,337 ms,563 ms,301 ms
2022-04-19 18:44:36,312 ms,313 ms,313 ms,310 ms
2022-04-19 18:44:38,337 ms,308 ms,338 ms,365 ms
2022-04-19 18:44:40,347 ms,300 ms,309 ms,433 ms
2022-04-19 18:44:42,345 ms,290 ms,311 ms,433 ms
2022-04-19 18:44:44,381 ms,398 ms,316 ms,429 ms
2022-04-19 18:44:46,536 ms,630 ms,363 ms,614 ms
2022-04-19 18:44:48,593 ms,665 ms,429 ms,686 ms
2022-04-19 18:44:50,639 ms,670 ms,549 ms,696 ms
2022-04-19 18:44:52,669 ms,722 ms,592 ms,694 ms
2022-04-19 18:44:54,670 ms,628 ms,678 ms,704 ms
2022-04-19 18:44:56,570 ms,565 ms,671 ms,473 ms
2022-04-19 18:44:58,451 ms,521 ms,538 ms,294 ms
2022-04-19 18:45:00,441 ms,493 ms,534 ms,297 ms
2022-04-19 18:45:02,397 ms,513 ms,378 ms,302 ms
2022-04-19 18:45:04,345 ms,417 ms,317 ms,302 ms
2022-04-19 18:45:06,353 ms,403 ms,325 ms,332 ms
2022-04-19 18:45:08,410 ms,397 ms,376 ms,456 ms
2022-04-19 18:45:10,398 ms,367 ms,384 ms,443 ms
2022-04-19 18:45:12,416 ms,347 ms,443 ms,457 ms
2022-04-19 18:45:14,394 ms,320 ms,418 ms,446 ms
2022-04-19 18:45:16,369 ms,314 ms,360 ms,432 ms
2022-04-19 18:45:18,425 ms,400 ms,408 ms,466 ms
2022-04-19 18:45:20,411 ms,431 ms,338 ms,463 ms
2022-04-19 18:45:22,486 ms,448 ms,454 ms,555 ms
2022-04-19 18:45:24,606 ms,517 ms,627 ms,672 ms
2022-04-19 18:45:26,642 ms,578 ms,658 ms,689 ms
2022-04-19 18:45:28,618 ms,540 ms,625 ms,689 ms
2022-04-19 18:45:30,641 ms,549 ms,689 ms,684 ms
2022-04-19 18:45:32,611 ms,501 ms,615 ms,718 ms
2022-04-19 18:45:34,477 ms,330 ms,434 ms,667 ms
2022-04-19 18:45:36,405 ms,315 ms,387 ms,512 ms
2022-04-19 18:45:38,418 ms,364 ms,365 ms,524 ms
2022-04-19 18:45:40,406 ms,354 ms,285 ms,581 ms
2022-04-19 18:45:42,413 ms,365 ms,273 ms,601 ms
2022-04-19 18:45:44,445 ms,350 ms,298 ms,686 ms
2022-04-19 18:45:46,491 ms,339 ms,339 ms,796 ms
2022-04-19 18:45:48,722 ms,311 ms,506 ms,1.35 s
2022-04-19 18:45:50,688 ms,378 ms,524 ms,1.16 s
2022-04-19 18:45:52,496 ms,390 ms,542 ms,557 ms
2022-04-19 18:45:54,559 ms,383 ms,553 ms,741 ms
2022-04-19 18:45:56,586 ms,407 ms,527 ms,826 ms
2022-04-19 18:45:58,584 ms,490 ms,502 ms,760 ms
2022-04-19 18:46:00,616 ms,571 ms,484 ms,792 ms
2022-04-19 18:46:02,613 ms,609 ms,484 ms,747 ms
2022-04-19 18:46:04,545 ms,621 ms,381 ms,635 ms
2022-04-19 18:46:06,536 ms,499 ms,365 ms,745 ms
2022-04-19 18:46:08,463 ms,344 ms,336 ms,708 ms
2022-04-19 18:46:10,435 ms,288 ms,375 ms,642 ms
2022-04-19 18:46:12,401 ms,282 ms,384 ms,536 ms
2022-04-19 18:46:14,375 ms,467 ms,352 ms,304 ms
2022-04-19 18:46:16,386 ms,497 ms,354 ms,308 ms
2022-04-19 18:46:18,405 ms,483 ms,379 ms,353 ms
2022-04-19 18:46:20,505 ms,526 ms,531 ms,458 ms
2022-04-19 18:46:22,551 ms,674 ms,543 ms,436 ms
2022-04-19 18:46:24,507 ms,560 ms,525 ms,436 ms
2022-04-19 18:46:26,540 ms,560 ms,523 ms,538 ms
2022-04-19 18:46:28,521 ms,590 ms,542 ms,432 ms
2022-04-19 18:46:30,529 ms,435 ms,631 ms,521 ms
2022-04-19 18:46:32,553 ms,360 ms,684 ms,615 ms
2022-04-19 18:46:34,638 ms,471 ms,712 ms,732 ms
2022-04-19 18:46:36,657 ms,480 ms,755 ms,735 ms
2022-04-19 18:46:38,615 ms,459 ms,713 ms,671 ms
2022-04-19 18:46:40,571 ms,465 ms,620 ms,627 ms
2022-04-19 18:46:42,559 ms,456 ms,630 ms,590 ms
2022-04-19 18:46:44,493 ms,277 ms,592 ms,609 ms
2022-04-19 18:46:46,444 ms,304 ms,433 ms,596 ms
2022-04-19 18:46:48,409 ms,308 ms,333 ms,587 ms
2022-04-19 18:46:50,397 ms,302 ms,357 ms,531 ms
2022-04-19 18:46:52,369 ms,315 ms,371 ms,423 ms
2022-04-19 18:46:54,381 ms,311 ms,355 ms,476 ms
2022-04-19 18:46:56,599 ms,505 ms,442 ms,850 ms
2022-04-19 18:46:58,612 ms,559 ms,408 ms,869 ms
2022-04-19 18:47:00,598 ms,597 ms,463 ms,734 ms
2022-04-19 18:47:02,582 ms,570 ms,496 ms,680 ms
2022-04-19 18:47:04,505 ms,514 ms,486 ms,514 ms
2022-04-19 18:47:06,427 ms,374 ms,552 ms,356 ms
2022-04-19 18:47:08,447 ms,371 ms,604 ms,365 ms
2022-04-19 18:47:10,465 ms,402 ms,636 ms,356 ms
2022-04-19 18:47:12,461 ms,421 ms,660 ms,304 ms
2022-04-19 18:47:14,444 ms,386 ms,617 ms,328 ms
2022-04-19 18:47:16,491 ms,380 ms,751 ms,341 ms
2022-04-19 18:47:18,534 ms,381 ms,856 ms,366 ms
2022-04-19 18:47:20,546 ms,302 ms,959 ms,378 ms
2022-04-19 18:47:22,622 ms,305 ms,1.18 s,385 ms
2022-04-19 18:47:24,652 ms,345 ms,1.25 s,365 ms
2022-04-19 18:47:26,623 ms,367 ms,1.06 s,445 ms
2022-04-19 18:47:28,568 ms,374 ms,862 ms,468 ms
2022-04-19 18:47:30,534 ms,378 ms,767 ms,458 ms
2022-04-19 18:47:32,457 ms,384 ms,526 ms,461 ms
2022-04-19 18:47:34,433 ms,357 ms,423 ms,518 ms
2022-04-19 18:47:36,475 ms,321 ms,543 ms,561 ms
2022-04-19 18:47:38,475 ms,302 ms,487 ms,635 ms
2022-04-19 18:47:40,487 ms,311 ms,477 ms,674 ms
2022-04-19 18:47:42,476 ms,365 ms,449 ms,614 ms
2022-04-19 18:47:44,368 ms,347 ms,305 ms,450 ms
2022-04-19 18:47:46,404 ms,492 ms,431 ms,288 ms
2022-04-19 18:47:48,444 ms,541 ms,460 ms,332 ms
2022-04-19 18:47:50,570 ms,792 ms,577 ms,341 ms
2022-04-19 18:47:52,680 ms,1.11 s,584 ms,345 ms
2022-04-19 18:47:54,732 ms,1.26 s,581 ms,351 ms
2022-04-19 18:47:56,768 ms,1.46 s,489 ms,349 ms
2022-04-19 18:47:58,677 ms,1.24 s,495 ms,295 ms
2022-04-19 18:48:00,621 ms,1.11 s,355 ms,403 ms
2022-04-19 18:48:02,543 ms,901 ms,338 ms,389 ms
2022-04-19 18:48:04,471 ms,499 ms,509 ms,404 ms
2022-04-19 18:48:06,473 ms,378 ms,606 ms,437 ms
2022-04-19 18:48:08,440 ms,318 ms,620 ms,381 ms
2022-04-19 18:48:10,443 ms,316 ms,642 ms,370 ms
2022-04-19 18:48:12,470 ms,314 ms,641 ms,455 ms
2022-04-19 18:48:14,434 ms,333 ms,439 ms,530 ms
2022-04-19 18:48:16,459 ms,405 ms,446 ms,527 ms
2022-04-19 18:48:18,496 ms,399 ms,531 ms,558 ms
2022-04-19 18:48:20,612 ms,504 ms,802 ms,532 ms
2022-04-19 18:48:22,605 ms,523 ms,869 ms,424 ms
2022-04-19 18:48:24,635 ms,466 ms,913 ms,527 ms
2022-04-19 18:48:26,669 ms,483 ms,831 ms,694 ms
2022-04-19 18:48:28,632 ms,421 ms,742 ms,732 ms
2022-04-19 18:48:30,589 ms,375 ms,628 ms,764 ms
2022-04-19 18:48:32,530 ms,344 ms,607 ms,638 ms
2022-04-19 18:48:34,479 ms,332 ms,624 ms,481 ms
2022-04-19 18:48:36,459 ms,367 ms,541 ms,469 ms
2022-04-19 18:48:38,459 ms,356 ms,398 ms,623 ms
2022-04-19 18:48:40,435 ms,354 ms,273 ms,678 ms
2022-04-19 18:48:42,470 ms,387 ms,284 ms,738 ms
2022-04-19 18:48:44,535 ms,371 ms,407 ms,826 ms
2022-04-19 18:48:46,587 ms,390 ms,517 ms,855 ms
2022-04-19 18:48:48,562 ms,395 ms,555 ms,738 ms
2022-04-19 18:48:50,564 ms,386 ms,540 ms,767 ms
2022-04-19 18:48:52,568 ms,481 ms,493 ms,729 ms
2022-04-19 18:48:54,442 ms,472 ms,410 ms,443 ms
2022-04-19 18:48:56,412 ms,468 ms,368 ms,399 ms
2022-04-19 18:48:58,381 ms,449 ms,365 ms,328 ms
2022-04-19 18:49:00,394 ms,301 ms,557 ms,325 ms
2022-04-19 18:49:02,458 ms,285 ms,693 ms,396 ms
2022-04-19 18:49:04,539 ms,307 ms,782 ms,529 ms
2022-04-19 18:49:06,533 ms,319 ms,787 ms,492 ms
2022-04-19 18:49:08,502 ms,313 ms,690 ms,503 ms
2022-04-19 18:49:10,486 ms,336 ms,590 ms,533 ms
2022-04-19 18:49:12,389 ms,304 ms,426 ms,437 ms
2022-04-19 18:49:14,341 ms,311 ms,339 ms,374 ms
2022-04-19 18:49:16,377 ms,425 ms,324 ms,381 ms
2022-04-19 18:49:18,381 ms,433 ms,310 ms,401 ms
2022-04-19 18:49:20,379 ms,474 ms,312 ms,350 ms
2022-04-19 18:49:22,368 ms,483 ms,303 ms,319 ms
2022-04-19 18:49:24,374 ms,483 ms,307 ms,331 ms
2022-04-19 18:49:26,367 ms,501 ms,314 ms,286 ms
2022-04-19 18:49:28,480 ms,519 ms,632 ms,288 ms
2022-04-19 18:49:30,587 ms,581 ms,891 ms,288 ms
2022-04-19 18:49:32,566 ms,567 ms,759 ms,371 ms
2022-04-19 18:49:34,565 ms,493 ms,731 ms,470 ms
2022-04-19 18:49:36,594 ms,501 ms,740 ms,541 ms
2022-04-19 18:49:38,463 ms,400 ms,434 ms,555 ms
2022-04-19 18:49:40,544 ms,421 ms,599 ms,611 ms
2022-04-19 18:49:42,592 ms,492 ms,744 ms,541 ms
2022-04-19 18:49:44,620 ms,625 ms,789 ms,445 ms
2022-04-19 18:49:46,664 ms,614 ms,715 ms,662 ms
2022-04-19 18:49:48,656 ms,550 ms,624 ms,793 ms
2022-04-19 18:49:50,600 ms,562 ms,401 ms,835 ms
2022-04-19 18:49:52,563 ms,414 ms,338 ms,937 ms
2022-04-19 18:49:54,585 ms,389 ms,348 ms,1.02 s
2022-04-19 18:49:56,559 ms,403 ms,373 ms,901 ms
2022-04-19 18:49:58,590 ms,493 ms,479 ms,796 ms
2022-04-19 18:50:00,632 ms,552 ms,660 ms,683 ms
2022-04-19 18:50:02,624 ms,554 ms,755 ms,563 ms
2022-04-19 18:50:04,573 ms,498 ms,803 ms,418 ms
2022-04-19 18:50:06,555 ms,451 ms,805 ms,408 ms
2022-04-19 18:50:08,460 ms,356 ms,651 ms,372 ms
2022-04-19 18:50:10,369 ms,336 ms,454 ms,318 ms
2022-04-19 18:50:12,361 ms,394 ms,347 ms,342 ms
2022-04-19 18:50:14,381 ms,484 ms,318 ms,342 ms
2022-04-19 18:50:16,447 ms,689 ms,314 ms,338 ms
2022-04-19 18:50:18,494 ms,766 ms,330 ms,384 ms
2022-04-19 18:50:20,500 ms,732 ms,326 ms,442 ms
2022-04-19 18:50:22,521 ms,658 ms,406 ms,500 ms
2022-04-19 18:50:24,465 ms,494 ms,409 ms,494 ms
2022-04-19 18:50:26,483 ms,404 ms,480 ms,566 ms
2022-04-19 18:50:28,466 ms,334 ms,518 ms,546 ms
2022-04-19 18:50:30,412 ms,308 ms,470 ms,458 ms
2022-04-19 18:50:32,401 ms,313 ms,448 ms,443 ms
2022-04-19 18:50:34,404 ms,401 ms,398 ms,413 ms
2022-04-19 18:50:36,497 ms,428 ms,313 ms,748 ms
2022-04-19 18:50:38,555 ms,457 ms,356 ms,852 ms
2022-04-19 18:50:40,603 ms,496 ms,366 ms,948 ms
2022-04-19 18:50:42,622 ms,475 ms,366 ms,1.03 s
2022-04-19 18:50:44,610 ms,446 ms,355 ms,1.03 s
2022-04-19 18:50:46,658 ms,427 ms,330 ms,1.22 s
2022-04-19 18:50:48,651 ms,404 ms,359 ms,1.19 s
2022-04-19 18:50:50,573 ms,277 ms,360 ms,1.08 s
2022-04-19 18:50:52,572 ms,353 ms,357 ms,1.01 s
2022-04-19 18:50:54,527 ms,499 ms,361 ms,720 ms
2022-04-19 18:50:56,440 ms,486 ms,297 ms,538 ms
2022-04-19 18:50:58,521 ms,512 ms,543 ms,509 ms
2022-04-19 18:51:00,486 ms,497 ms,569 ms,393 ms
2022-04-19 18:51:02,453 ms,383 ms,647 ms,331 ms
2022-04-19 18:51:04,465 ms,383 ms,669 ms,342 ms
2022-04-19 18:51:06,488 ms,447 ms,554 ms,464 ms
2022-04-19 18:51:08,425 ms,449 ms,344 ms,482 ms
2022-04-19 18:51:10,416 ms,434 ms,346 ms,467 ms
2022-04-19 18:51:12,422 ms,434 ms,358 ms,475 ms
2022-04-19 18:51:14,406 ms,373 ms,354 ms,492 ms
2022-04-19 18:51:16,392 ms,424 ms,296 ms,456 ms
2022-04-19 18:51:18,399 ms,403 ms,331 ms,463 ms
2022-04-19 18:51:20,399 ms,382 ms,335 ms,481 ms
2022-04-19 18:51:22,408 ms,392 ms,408 ms,424 ms
2022-04-19 18:51:24,418 ms,387 ms,458 ms,407 ms
2022-04-19 18:51:26,422 ms,362 ms,478 ms,426 ms
2022-04-19 18:51:28,428 ms,430 ms,475 ms,378 ms
2022-04-19 18:51:30,433 ms,423 ms,517 ms,357 ms
2022-04-19 18:51:32,489 ms,404 ms,696 ms,367 ms
2022-04-19 18:51:34,567 ms,410 ms,913 ms,377 ms
2022-04-19 18:51:36,544 ms,353 ms,891 ms,388 ms
2022-04-19 18:51:38,588 ms,331 ms,876 ms,557 ms
2022-04-19 18:51:40,573 ms,337 ms,788 ms,594 ms
2022-04-19 18:51:42,595 ms,519 ms,665 ms,602 ms
2022-04-19 18:51:44,626 ms,570 ms,683 ms,625 ms
2022-04-19 18:51:46,641 ms,568 ms,888 ms,465 ms
2022-04-19 18:51:48,660 ms,660 ms,968 ms,351 ms
2022-04-19 18:51:50,697 ms,631 ms,1.02 s,444 ms
2022-04-19 18:51:52,688 ms,543 ms,990 ms,530 ms
2022-04-19 18:51:54,630 ms,568 ms,788 ms,533 ms
2022-04-19 18:51:56,578 ms,553 ms,573 ms,609 ms
2022-04-19 18:51:58,537 ms,556 ms,350 ms,704 ms
2022-04-19 18:52:00,636 ms,690 ms,516 ms,702 ms
2022-04-19 18:52:02,663 ms,753 ms,562 ms,675 ms
2022-04-19 18:52:04,738 ms,744 ms,624 ms,845 ms
2022-04-19 18:52:06,709 ms,770 ms,649 ms,710 ms
2022-04-19 18:52:08,585 ms,640 ms,563 ms,552 ms
2022-04-19 18:52:10,474 ms,536 ms,347 ms,539 ms
2022-04-19 18:52:12,400 ms,450 ms,325 ms,426 ms
2022-04-19 18:52:14,363 ms,376 ms,274 ms,438 ms
2022-04-19 18:52:16,363 ms,376 ms,276 ms,436 ms
2022-04-19 18:52:18,374 ms,412 ms,265 ms,446 ms
2022-04-19 18:52:20,372 ms,402 ms,280 ms,434 ms
2022-04-19 18:52:22,377 ms,395 ms,308 ms,427 ms
2022-04-19 18:52:24,382 ms,387 ms,340 ms,418 ms
