"Time","Average Response Rate","edge-server-cv-78d887c496-f2l75 Response","edge-server-cv-78d887c496-fczhb Response","edge-server-cv-78d887c496-wrh5q Response"
2022-04-19 18:29:34,364 ms,355 ms,451 ms,285 ms
2022-04-19 18:29:36,372 ms,305 ms,453 ms,358 ms
2022-04-19 18:29:38,384 ms,312 ms,454 ms,387 ms
2022-04-19 18:29:40,385 ms,322 ms,419 ms,412 ms
2022-04-19 18:29:42,420 ms,410 ms,372 ms,478 ms
2022-04-19 18:29:44,433 ms,452 ms,367 ms,479 ms
2022-04-19 18:29:46,424 ms,435 ms,351 ms,487 ms
2022-04-19 18:29:48,401 ms,411 ms,344 ms,446 ms
2022-04-19 18:29:50,381 ms,421 ms,289 ms,434 ms
2022-04-19 18:29:52,331 ms,352 ms,328 ms,314 ms
2022-04-19 18:29:54,298 ms,268 ms,359 ms,267 ms
2022-04-19 18:29:56,298 ms,285 ms,353 ms,256 ms
2022-04-19 18:29:58,325 ms,371 ms,342 ms,263 ms
2022-04-19 18:30:00,331 ms,366 ms,303 ms,325 ms
2022-04-19 18:30:02,383 ms,401 ms,322 ms,426 ms
2022-04-19 18:30:04,413 ms,399 ms,367 ms,473 ms
2022-04-19 18:30:06,428 ms,370 ms,473 ms,441 ms
2022-04-19 18:30:08,422 ms,329 ms,478 ms,460 ms
2022-04-19 18:30:10,373 ms,272 ms,465 ms,382 ms
2022-04-19 18:30:12,349 ms,268 ms,451 ms,328 ms
2022-04-19 18:30:14,301 ms,282 ms,295 ms,327 ms
2022-04-19 18:30:16,328 ms,273 ms,345 ms,366 ms
2022-04-19 18:30:18,340 ms,273 ms,354 ms,395 ms
2022-04-19 18:30:20,361 ms,304 ms,388 ms,391 ms
2022-04-19 18:30:22,405 ms,345 ms,458 ms,411 ms
2022-04-19 18:30:24,461 ms,361 ms,500 ms,520 ms
2022-04-19 18:30:26,436 ms,368 ms,454 ms,486 ms
2022-04-19 18:30:28,486 ms,480 ms,488 ms,490 ms
2022-04-19 18:30:30,529 ms,655 ms,418 ms,513 ms
2022-04-19 18:30:32,493 ms,601 ms,463 ms,414 ms
2022-04-19 18:30:34,446 ms,610 ms,454 ms,273 ms
2022-04-19 18:30:36,431 ms,555 ms,464 ms,274 ms
2022-04-19 18:30:38,403 ms,352 ms,444 ms,414 ms
2022-04-19 18:30:40,369 ms,362 ms,315 ms,431 ms
2022-04-19 18:30:42,433 ms,476 ms,307 ms,516 ms
2022-04-19 18:30:44,478 ms,602 ms,337 ms,496 ms
2022-04-19 18:30:46,496 ms,649 ms,335 ms,503 ms
2022-04-19 18:30:48,482 ms,669 ms,360 ms,417 ms
2022-04-19 18:30:50,489 ms,629 ms,458 ms,379 ms
2022-04-19 18:30:52,434 ms,569 ms,443 ms,289 ms
2022-04-19 18:30:54,402 ms,446 ms,432 ms,327 ms
2022-04-19 18:30:56,411 ms,428 ms,418 ms,386 ms
