"Time","Average Response Rate","edge-server-cv-78d887c496-kcrxl Response","edge-server-cv-78d887c496-pr2rl Response","edge-server-cv-78d887c496-r2wgp Response"
2022-04-19 18:18:20,283 ms,293 ms,287 ms,269 ms
2022-04-19 18:18:22,275 ms,292 ms,273 ms,261 ms
2022-04-19 18:18:24,277 ms,298 ms,286 ms,247 ms
2022-04-19 18:18:26,273 ms,281 ms,286 ms,252 ms
2022-04-19 18:18:28,284 ms,323 ms,280 ms,249 ms
2022-04-19 18:18:30,288 ms,307 ms,297 ms,259 ms
2022-04-19 18:18:32,282 ms,297 ms,290 ms,258 ms
2022-04-19 18:18:34,303 ms,300 ms,304 ms,304 ms
2022-04-19 18:18:36,308 ms,322 ms,307 ms,295 ms
2022-04-19 18:18:38,296 ms,279 ms,312 ms,297 ms
2022-04-19 18:18:40,286 ms,285 ms,290 ms,283 ms
2022-04-19 18:18:42,287 ms,294 ms,288 ms,280 ms
2022-04-19 18:18:44,261 ms,248 ms,282 ms,254 ms
2022-04-19 18:18:46,260 ms,248 ms,290 ms,241 ms
2022-04-19 18:18:48,271 ms,259 ms,297 ms,257 ms
2022-04-19 18:18:50,268 ms,256 ms,296 ms,251 ms
2022-04-19 18:18:52,272 ms,267 ms,297 ms,253 ms
2022-04-19 18:18:54,276 ms,262 ms,301 ms,264 ms
2022-04-19 18:18:56,270 ms,285 ms,268 ms,259 ms
2022-04-19 18:18:58,270 ms,270 ms,268 ms,271 ms
2022-04-19 18:19:00,268 ms,263 ms,268 ms,272 ms
2022-04-19 18:19:02,271 ms,267 ms,277 ms,268 ms
2022-04-19 18:19:04,265 ms,264 ms,268 ms,264 ms
2022-04-19 18:19:06,260 ms,257 ms,262 ms,261 ms
2022-04-19 18:19:08,265 ms,260 ms,269 ms,265 ms
2022-04-19 18:19:10,259 ms,253 ms,260 ms,265 ms
2022-04-19 18:19:12,263 ms,253 ms,265 ms,269 ms
2022-04-19 18:19:14,268 ms,264 ms,267 ms,273 ms
2022-04-19 18:19:16,270 ms,253 ms,269 ms,288 ms
2022-04-19 18:19:18,274 ms,250 ms,289 ms,283 ms
2022-04-19 18:19:20,272 ms,239 ms,293 ms,282 ms
2022-04-19 18:19:22,284 ms,235 ms,330 ms,286 ms
2022-04-19 18:19:24,293 ms,223 ms,351 ms,305 ms
2022-04-19 18:19:26,292 ms,229 ms,350 ms,297 ms
2022-04-19 18:19:28,298 ms,226 ms,362 ms,306 ms
2022-04-19 18:19:30,314 ms,235 ms,387 ms,321 ms

