"Time","Average Response Rate","edge-server-cv-78d887c496-kcrxl Response","edge-server-cv-78d887c496-pr2rl Response","edge-server-cv-78d887c496-r2wgp Response"
2022-04-19 17:56:38,300 ms,345 ms,268 ms,287 ms
2022-04-19 17:56:40,301 ms,333 ms,270 ms,300 ms
2022-04-19 17:56:42,294 ms,323 ms,266 ms,294 ms
2022-04-19 17:56:44,276 ms,255 ms,278 ms,294 ms
2022-04-19 17:56:46,266 ms,255 ms,283 ms,259 ms
2022-04-19 17:56:48,266 ms,250 ms,286 ms,263 ms
2022-04-19 17:56:50,270 ms,254 ms,275 ms,282 ms
2022-04-19 17:56:52,268 ms,246 ms,274 ms,283 ms
2022-04-19 17:56:54,263 ms,257 ms,254 ms,279 ms
2022-04-19 17:56:56,273 ms,282 ms,254 ms,283 ms
2022-04-19 17:56:58,277 ms,284 ms,263 ms,285 ms
2022-04-19 17:57:00,276 ms,288 ms,258 ms,283 ms
2022-04-19 17:57:02,293 ms,281 ms,286 ms,311 ms
2022-04-19 17:57:04,291 ms,261 ms,276 ms,338 ms
2022-04-19 17:57:06,278 ms,252 ms,272 ms,309 ms
2022-04-19 17:57:08,286 ms,271 ms,266 ms,323 ms
2022-04-19 17:57:10,284 ms,265 ms,264 ms,323 ms
2022-04-19 17:57:12,269 ms,273 ms,255 ms,280 ms
2022-04-19 17:57:14,270 ms,275 ms,254 ms,281 ms
2022-04-19 17:57:16,262 ms,257 ms,252 ms,276 ms
2022-04-19 17:57:18,267 ms,265 ms,263 ms,272 ms
2022-04-19 17:57:20,279 ms,299 ms,265 ms,272 ms
2022-04-19 17:57:22,271 ms,289 ms,262 ms,262 ms
2022-04-19 17:57:24,266 ms,291 ms,254 ms,253 ms
2022-04-19 17:57:26,273 ms,298 ms,243 ms,277 ms
2022-04-19 17:57:28,271 ms,289 ms,247 ms,278 ms
2022-04-19 17:57:30,260 ms,253 ms,253 ms,273 ms
2022-04-19 17:57:32,276 ms,259 ms,259 ms,309 ms
2022-04-19 17:57:34,272 ms,259 ms,265 ms,292 ms
2022-04-19 17:57:36,283 ms,260 ms,296 ms,291 ms
2022-04-19 17:57:38,284 ms,267 ms,282 ms,301 ms
2022-04-19 17:57:40,279 ms,270 ms,274 ms,293 ms
2022-04-19 17:57:42,271 ms,268 ms,274 ms,271 ms
2022-04-19 17:57:44,259 ms,264 ms,241 ms,272 ms
2022-04-19 17:57:46,254 ms,268 ms,238 ms,257 ms
2022-04-19 17:57:48,261 ms,298 ms,236 ms,250 ms
2022-04-19 17:57:50,271 ms,311 ms,237 ms,265 ms
2022-04-19 17:57:52,277 ms,339 ms,231 ms,260 ms
2022-04-19 17:57:54,277 ms,339 ms,233 ms,259 ms
2022-04-19 17:57:56,285 ms,333 ms,261 ms,259 ms
2022-04-19 17:57:58,272 ms,298 ms,260 ms,257 ms
2022-04-19 17:58:00,271 ms,271 ms,264 ms,277 ms
2022-04-19 17:58:02,272 ms,264 ms,272 ms,280 ms
2022-04-19 17:58:04,262 ms,254 ms,258 ms,273 ms
2022-04-19 17:58:06,258 ms,246 ms,255 ms,271 ms
2022-04-19 17:58:08,244 ms,231 ms,267 ms,235 ms
2022-04-19 17:58:10,276 ms,307 ms,273 ms,247 ms
2022-04-19 17:58:12,285 ms,302 ms,287 ms,265 ms
2022-04-19 17:58:14,287 ms,310 ms,282 ms,269 ms
2022-04-19 17:58:16,280 ms,301 ms,274 ms,265 ms
2022-04-19 17:58:18,275 ms,279 ms,270 ms,277 ms
2022-04-19 17:58:20,272 ms,258 ms,265 ms,294 ms
2022-04-19 17:58:22,257 ms,249 ms,245 ms,276 ms
2022-04-19 17:58:24,267 ms,253 ms,274 ms,273 ms
2022-04-19 17:58:26,276 ms,269 ms,280 ms,280 ms
2022-04-19 17:58:28,266 ms,271 ms,279 ms,247 ms
2022-04-19 17:58:30,263 ms,269 ms,271 ms,247 ms
2022-04-19 17:58:32,296 ms,298 ms,261 ms,330 ms
2022-04-19 17:58:34,303 ms,315 ms,268 ms,325 ms
2022-04-19 17:58:36,301 ms,310 ms,258 ms,335 ms
2022-04-19 17:58:38,310 ms,314 ms,259 ms,359 ms
