"Time","Average Response Rate","edge-server-cv-78d887c496-cqvkm Response","edge-server-cv-78d887c496-s6h4q Response","edge-server-cv-78d887c496-wf72b Response"
2022-04-19 17:43:20,299 ms,277 ms,312 ms,307 ms
2022-04-19 17:43:22,302 ms,276 ms,323 ms,307 ms
2022-04-19 17:43:24,333 ms,405 ms,314 ms,280 ms
2022-04-19 17:43:26,324 ms,383 ms,325 ms,263 ms
2022-04-19 17:43:28,317 ms,400 ms,282 ms,270 ms
2022-04-19 17:43:30,313 ms,399 ms,273 ms,267 ms
2022-04-19 17:43:32,292 ms,314 ms,293 ms,267 ms
2022-04-19 17:43:34,284 ms,297 ms,300 ms,254 ms
2022-04-19 17:43:36,311 ms,308 ms,298 ms,327 ms
2022-04-19 17:43:38,307 ms,308 ms,286 ms,327 ms
2022-04-19 17:43:40,309 ms,302 ms,284 ms,342 ms
2022-04-19 17:43:42,308 ms,289 ms,292 ms,344 ms
2022-04-19 17:43:44,330 ms,289 ms,294 ms,406 ms
2022-04-19 17:43:46,319 ms,285 ms,297 ms,375 ms
2022-04-19 17:43:48,315 ms,288 ms,297 ms,360 ms
2022-04-19 17:43:50,300 ms,268 ms,275 ms,358 ms
2022-04-19 17:43:52,301 ms,313 ms,309 ms,280 ms
2022-04-19 17:43:54,326 ms,303 ms,394 ms,281 ms
2022-04-19 17:43:56,341 ms,353 ms,384 ms,286 ms
2022-04-19 17:43:58,360 ms,411 ms,391 ms,277 ms
2022-04-19 17:44:00,347 ms,406 ms,367 ms,268 ms
2022-04-19 17:44:02,322 ms,425 ms,271 ms,271 ms
2022-04-19 17:44:04,339 ms,419 ms,321 ms,276 ms
2022-04-19 17:44:06,333 ms,361 ms,361 ms,276 ms
2022-04-19 17:44:08,332 ms,328 ms,369 ms,298 ms
2022-04-19 17:44:10,329 ms,310 ms,361 ms,317 ms
2022-04-19 17:44:12,321 ms,290 ms,359 ms,315 ms
2022-04-19 17:44:14,303 ms,248 ms,354 ms,306 ms
2022-04-19 17:44:16,288 ms,243 ms,317 ms,305 ms
2022-04-19 17:44:18,273 ms,241 ms,320 ms,257 ms
2022-04-19 17:44:20,271 ms,245 ms,321 ms,249 ms
2022-04-19 17:44:22,268 ms,244 ms,309 ms,253 ms
2022-04-19 17:44:24,267 ms,275 ms,269 ms,257 ms
2022-04-19 17:44:26,301 ms,355 ms,259 ms,290 ms
2022-04-19 17:44:28,309 ms,351 ms,262 ms,313 ms
2022-04-19 17:44:30,309 ms,355 ms,249 ms,322 ms

