"Time","Average Response Rate","edge-server-cv-78d887c496-cqvkm Response","edge-server-cv-78d887c496-s6h4q Response","edge-server-cv-78d887c496-wf72b Response"
2022-04-19 17:22:34,310 ms,349 ms,291 ms,290 ms
2022-04-19 17:22:36,325 ms,377 ms,287 ms,310 ms
2022-04-19 17:22:38,285 ms,295 ms,276 ms,284 ms
2022-04-19 17:22:40,283 ms,293 ms,276 ms,281 ms
2022-04-19 17:22:42,304 ms,285 ms,300 ms,328 ms
2022-04-19 17:22:44,306 ms,280 ms,306 ms,332 ms
2022-04-19 17:22:46,299 ms,260 ms,317 ms,320 ms
2022-04-19 17:22:48,311 ms,256 ms,331 ms,346 ms
2022-04-19 17:22:50,267 ms,251 ms,274 ms,275 ms
2022-04-19 17:22:52,270 ms,289 ms,254 ms,267 ms
2022-04-19 17:22:54,279 ms,287 ms,276 ms,274 ms
2022-04-19 17:22:56,293 ms,337 ms,274 ms,269 ms
2022-04-19 17:22:58,308 ms,363 ms,281 ms,281 ms
2022-04-19 17:23:00,314 ms,359 ms,293 ms,289 ms
2022-04-19 17:23:02,299 ms,337 ms,282 ms,278 ms
2022-04-19 17:23:04,302 ms,343 ms,281 ms,281 ms
2022-04-19 17:23:06,288 ms,306 ms,274 ms,284 ms
2022-04-19 17:23:08,273 ms,297 ms,249 ms,273 ms
2022-04-19 17:23:10,277 ms,306 ms,247 ms,277 ms
2022-04-19 17:23:12,275 ms,308 ms,246 ms,271 ms
2022-04-19 17:23:14,272 ms,282 ms,280 ms,255 ms
2022-04-19 17:23:16,272 ms,281 ms,280 ms,255 ms
2022-04-19 17:23:18,273 ms,266 ms,293 ms,261 ms
2022-04-19 17:23:20,273 ms,259 ms,301 ms,260 ms
2022-04-19 17:23:22,267 ms,249 ms,293 ms,259 ms
2022-04-19 17:23:24,281 ms,256 ms,271 ms,317 ms
2022-04-19 17:23:26,297 ms,264 ms,261 ms,365 ms
2022-04-19 17:23:28,305 ms,268 ms,292 ms,354 ms
2022-04-19 17:23:30,303 ms,268 ms,288 ms,352 ms
2022-04-19 17:23:32,306 ms,264 ms,282 ms,373 ms
2022-04-19 17:23:34,284 ms,265 ms,280 ms,306 ms
2022-04-19 17:23:36,279 ms,272 ms,248 ms,318 ms
2022-04-19 17:23:38,326 ms,286 ms,257 ms,435 ms
2022-04-19 17:23:40,357 ms,282 ms,332 ms,457 ms
2022-04-19 17:23:42,369 ms,277 ms,386 ms,443 ms
2022-04-19 17:23:44,362 ms,279 ms,399 ms,410 ms
2022-04-19 17:23:46,309 ms,275 ms,388 ms,265 ms
2022-04-19 17:23:48,304 ms,263 ms,370 ms,278 ms
2022-04-19 17:23:50,271 ms,257 ms,279 ms,278 ms
2022-04-19 17:23:52,269 ms,246 ms,277 ms,283 ms
2022-04-19 17:23:54,284 ms,246 ms,278 ms,329 ms
2022-04-19 17:23:56,279 ms,245 ms,265 ms,326 ms
2022-04-19 17:23:58,284 ms,255 ms,269 ms,327 ms
2022-04-19 17:24:00,283 ms,262 ms,266 ms,320 ms
2022-04-19 17:24:02,273 ms,272 ms,272 ms,275 ms
2022-04-19 17:24:04,276 ms,275 ms,279 ms,275 ms
2022-04-19 17:24:06,280 ms,303 ms,264 ms,272 ms
2022-04-19 17:24:08,356 ms,290 ms,266 ms,513 ms
2022-04-19 17:24:10,339 ms,290 ms,254 ms,473 ms
2022-04-19 17:24:12,339 ms,292 ms,243 ms,482 ms
2022-04-19 17:24:14,355 ms,320 ms,250 ms,494 ms
2022-04-19 17:24:16,351 ms,299 ms,289 ms,467 ms
2022-04-19 17:24:18,290 ms,297 ms,299 ms,273 ms
2022-04-19 17:24:20,291 ms,309 ms,289 ms,275 ms
2022-04-19 17:24:22,284 ms,303 ms,296 ms,252 ms
2022-04-19 17:24:24,287 ms,258 ms,300 ms,304 ms
2022-04-19 17:24:26,287 ms,267 ms,291 ms,302 ms
2022-04-19 17:24:28,298 ms,260 ms,283 ms,350 ms
2022-04-19 17:24:30,322 ms,261 ms,323 ms,383 ms
2022-04-19 17:24:32,385 ms,322 ms,390 ms,442 ms
2022-04-19 17:24:34,393 ms,324 ms,402 ms,453 ms
2022-04-19 17:24:36,386 ms,322 ms,390 ms,445 ms
2022-04-19 17:24:38,369 ms,313 ms,379 ms,414 ms
2022-04-19 17:24:40,307 ms,302 ms,247 ms,372 ms
2022-04-19 17:24:42,256 ms,282 ms,239 ms,248 ms
2022-04-19 17:24:44,269 ms,315 ms,240 ms,251 ms
2022-04-19 17:24:46,276 ms,327 ms,245 ms,254 ms
2022-04-19 17:24:48,285 ms,324 ms,278 ms,255 ms
2022-04-19 17:24:50,282 ms,300 ms,277 ms,269 ms
2022-04-19 17:24:52,265 ms,257 ms,270 ms,269 ms
2022-04-19 17:24:54,263 ms,244 ms,274 ms,272 ms
2022-04-19 17:24:56,252 ms,238 ms,257 ms,259 ms
2022-04-19 17:24:58,250 ms,227 ms,257 ms,268 ms
2022-04-19 17:25:00,254 ms,237 ms,263 ms,264 ms
2022-04-19 17:25:02,266 ms,275 ms,252 ms,271 ms
2022-04-19 17:25:04,267 ms,277 ms,245 ms,277 ms
2022-04-19 17:25:06,296 ms,332 ms,266 ms,289 ms
2022-04-19 17:25:08,292 ms,332 ms,261 ms,284 ms
2022-04-19 17:25:10,311 ms,329 ms,296 ms,308 ms
2022-04-19 17:25:12,308 ms,315 ms,292 ms,317 ms
2022-04-19 17:25:14,295 ms,282 ms,280 ms,323 ms
2022-04-19 17:25:16,295 ms,273 ms,286 ms,327 ms
2022-04-19 17:25:18,303 ms,266 ms,302 ms,343 ms
2022-04-19 17:25:20,322 ms,361 ms,276 ms,328 ms
2022-04-19 17:25:22,314 ms,360 ms,269 ms,312 ms
2022-04-19 17:25:24,355 ms,394 ms,341 ms,330 ms
2022-04-19 17:25:26,342 ms,414 ms,328 ms,282 ms
2022-04-19 17:25:28,352 ms,394 ms,384 ms,278 ms
2022-04-19 17:25:30,324 ms,303 ms,384 ms,286 ms
2022-04-19 17:25:32,321 ms,312 ms,371 ms,279 ms
2022-04-19 17:25:34,313 ms,280 ms,374 ms,286 ms
2022-04-19 17:25:36,319 ms,281 ms,369 ms,306 ms
2022-04-19 17:25:38,307 ms,282 ms,335 ms,304 ms
2022-04-19 17:25:40,310 ms,297 ms,343 ms,289 ms
2022-04-19 17:25:42,297 ms,291 ms,282 ms,318 ms
2022-04-19 17:25:44,305 ms,307 ms,281 ms,326 ms
2022-04-19 17:25:46,297 ms,291 ms,288 ms,313 ms
2022-04-19 17:25:48,287 ms,297 ms,257 ms,308 ms
2022-04-19 17:25:50,272 ms,304 ms,261 ms,251 ms
2022-04-19 17:25:52,272 ms,308 ms,257 ms,252 ms
2022-04-19 17:25:54,311 ms,412 ms,266 ms,254 ms
2022-04-19 17:25:56,310 ms,415 ms,264 ms,250 ms
2022-04-19 17:25:58,318 ms,405 ms,259 ms,291 ms
2022-04-19 17:26:00,329 ms,409 ms,260 ms,317 ms
2022-04-19 17:26:02,317 ms,357 ms,276 ms,317 ms
2022-04-19 17:26:04,303 ms,297 ms,287 ms,326 ms
2022-04-19 17:26:06,300 ms,309 ms,291 ms,299 ms
2022-04-19 17:26:08,305 ms,334 ms,302 ms,279 ms
2022-04-19 17:26:10,305 ms,353 ms,288 ms,274 ms
2022-04-19 17:26:12,311 ms,306 ms,355 ms,272 ms
2022-04-19 17:26:14,315 ms,316 ms,353 ms,276 ms
2022-04-19 17:26:16,311 ms,317 ms,352 ms,264 ms
2022-04-19 17:26:18,323 ms,317 ms,387 ms,264 ms
2022-04-19 17:26:20,303 ms,329 ms,302 ms,278 ms
2022-04-19 17:26:22,302 ms,362 ms,275 ms,270 ms
2022-04-19 17:26:24,296 ms,349 ms,272 ms,267 ms
