"Time","Total Memory Usage","Average Memory Usage","edge-server-cv-78d887c496-s6h4q Memory Usage","edge-server-cv-78d887c496-wf72b Memory Usage","edge-server-cv-78d887c496-cqvkm Memory Usage"
2022-04-19 17:40:45,3601842176,1200614059,1301626880,1086255104,1213960192
2022-04-19 17:41:00,3601842176,1200614059,1301626880,1086255104,1213960192
2022-04-19 17:41:15,3183460352,1061153451,1059074048,1224732672,899653632
2022-04-19 17:41:30,3183460352,1061153451,1059074048,1224732672,899653632
2022-04-19 17:41:45,3408953344,1136317781,1291124736,941531136,1176297472
2022-04-19 17:42:00,3408953344,1136317781,1291124736,941531136,1176297472
2022-04-19 17:42:15,3137830912,1045943637,1035186176,1321209856,781434880
2022-04-19 17:42:30,3137830912,1045943637,1035186176,1321209856,781434880
2022-04-19 17:42:45,3608162304,1202720768,1316986880,1369624576,921550848
2022-04-19 17:43:00,3608162304,1202720768,1316986880,1369624576,921550848
2022-04-19 17:43:15,3455369216,1151789739,1200619520,1049145344,1205604352
2022-04-19 17:43:30,3455369216,1151789739,1200619520,1049145344,1205604352
2022-04-19 17:43:45,4139859968,1379953323,1184288768,1288089600,1667481600
2022-04-19 17:44:00,4139859968,1379953323,1184288768,1288089600,1667481600
2022-04-19 17:44:15,3422023680,1140674560,1204662272,1049391104,1167970304
2022-04-19 17:44:30,3422023680,1140674560,1204662272,1049391104,1167970304

