"Time","Average Response Rate","edge-server-cv-78d887c496-c9b5z Response","edge-server-cv-78d887c496-pgbtd Response"
2022-04-19 14:40:08,393 ms,443 ms,343 ms
2022-04-19 14:40:10,447 ms,571 ms,324 ms
2022-04-19 14:40:12,422 ms,517 ms,326 ms
2022-04-19 14:40:14,404 ms,490 ms,317 ms
2022-04-19 14:40:16,405 ms,464 ms,347 ms
2022-04-19 14:40:18,420 ms,483 ms,358 ms
2022-04-19 14:40:20,325 ms,325 ms,326 ms
2022-04-19 14:40:22,318 ms,344 ms,292 ms
2022-04-19 14:40:24,316 ms,343 ms,289 ms
2022-04-19 14:40:26,305 ms,334 ms,275 ms
2022-04-19 14:40:28,326 ms,343 ms,310 ms
2022-04-19 14:40:30,427 ms,387 ms,468 ms
2022-04-19 14:40:32,487 ms,440 ms,534 ms
2022-04-19 14:40:34,534 ms,462 ms,606 ms
2022-04-19 14:40:36,598 ms,467 ms,729 ms
2022-04-19 14:40:38,540 ms,459 ms,621 ms
2022-04-19 14:40:40,437 ms,362 ms,513 ms
2022-04-19 14:40:42,394 ms,303 ms,484 ms
2022-04-19 14:40:44,311 ms,323 ms,299 ms
2022-04-19 14:40:46,319 ms,356 ms,283 ms
2022-04-19 14:40:48,307 ms,333 ms,281 ms
2022-04-19 14:40:50,315 ms,338 ms,291 ms
2022-04-19 14:40:52,407 ms,337 ms,476 ms
2022-04-19 14:40:54,397 ms,273 ms,522 ms
2022-04-19 14:40:56,383 ms,249 ms,516 ms
2022-04-19 14:40:58,402 ms,248 ms,555 ms
2022-04-19 14:41:00,371 ms,258 ms,484 ms
2022-04-19 14:41:02,373 ms,395 ms,350 ms
2022-04-19 14:41:04,365 ms,406 ms,324 ms
2022-04-19 14:41:06,362 ms,409 ms,314 ms
2022-04-19 14:41:08,348 ms,400 ms,296 ms
2022-04-19 14:41:10,405 ms,406 ms,405 ms
2022-04-19 14:41:12,436 ms,295 ms,577 ms
2022-04-19 14:41:14,453 ms,299 ms,607 ms
2022-04-19 14:41:16,445 ms,310 ms,580 ms
2022-04-19 14:41:18,446 ms,298 ms,594 ms
2022-04-19 14:41:20,436 ms,438 ms,434 ms
2022-04-19 14:41:22,455 ms,522 ms,388 ms
2022-04-19 14:41:24,404 ms,471 ms,337 ms
2022-04-19 14:41:26,402 ms,457 ms,347 ms
2022-04-19 14:41:28,390 ms,428 ms,352 ms
2022-04-19 14:41:30,349 ms,347 ms,351 ms
2022-04-19 14:41:32,345 ms,337 ms,353 ms
2022-04-19 14:41:34,339 ms,345 ms,332 ms
2022-04-19 14:41:36,371 ms,373 ms,369 ms
2022-04-19 14:41:38,383 ms,380 ms,385 ms
2022-04-19 14:41:40,381 ms,378 ms,384 ms
2022-04-19 14:41:42,362 ms,346 ms,379 ms
2022-04-19 14:41:44,346 ms,361 ms,332 ms
2022-04-19 14:41:46,312 ms,342 ms,282 ms
2022-04-19 14:41:48,306 ms,346 ms,267 ms
2022-04-19 14:41:50,337 ms,353 ms,320 ms
2022-04-19 14:41:52,405 ms,402 ms,407 ms
2022-04-19 14:41:54,440 ms,477 ms,403 ms
2022-04-19 14:41:56,439 ms,489 ms,389 ms
2022-04-19 14:41:58,444 ms,518 ms,369 ms
2022-04-19 14:42:00,426 ms,577 ms,275 ms
2022-04-19 14:42:02,462 ms,661 ms,263 ms
2022-04-19 14:42:04,440 ms,589 ms,291 ms
2022-04-19 14:42:06,453 ms,579 ms,327 ms
2022-04-19 14:42:08,554 ms,551 ms,556 ms
2022-04-19 14:42:10,497 ms,456 ms,538 ms
2022-04-19 14:42:12,483 ms,377 ms,589 ms
2022-04-19 14:42:14,440 ms,300 ms,581 ms
2022-04-19 14:42:16,374 ms,337 ms,412 ms
2022-04-19 14:42:18,325 ms,360 ms,291 ms
2022-04-19 14:42:20,380 ms,462 ms,297 ms
2022-04-19 14:42:22,372 ms,446 ms,297 ms
2022-04-19 14:42:24,389 ms,438 ms,339 ms
2022-04-19 14:42:26,484 ms,423 ms,545 ms
2022-04-19 14:42:28,434 ms,320 ms,549 ms
2022-04-19 14:42:30,482 ms,415 ms,549 ms
2022-04-19 14:42:32,522 ms,443 ms,602 ms
2022-04-19 14:42:34,469 ms,453 ms,486 ms
2022-04-19 14:42:36,453 ms,463 ms,443 ms
2022-04-19 14:42:38,444 ms,422 ms,465 ms
2022-04-19 14:42:40,377 ms,334 ms,421 ms
2022-04-19 14:42:42,457 ms,341 ms,573 ms
2022-04-19 14:42:44,465 ms,348 ms,583 ms
2022-04-19 14:42:46,449 ms,343 ms,556 ms
2022-04-19 14:42:48,525 ms,385 ms,664 ms
2022-04-19 14:42:50,522 ms,385 ms,658 ms
2022-04-19 14:42:52,541 ms,483 ms,600 ms
2022-04-19 14:42:54,620 ms,496 ms,745 ms
2022-04-19 14:42:56,737 ms,666 ms,807 ms
2022-04-19 14:42:58,809 ms,745 ms,873 ms
2022-04-19 14:43:00,747 ms,694 ms,801 ms
2022-04-19 14:43:02,748 ms,758 ms,738 ms
2022-04-19 14:43:04,654 ms,665 ms,642 ms
2022-04-19 14:43:06,478 ms,489 ms,467 ms
2022-04-19 14:43:08,498 ms,459 ms,537 ms
2022-04-19 14:43:10,508 ms,414 ms,602 ms
2022-04-19 14:43:12,456 ms,337 ms,575 ms
2022-04-19 14:43:14,431 ms,337 ms,526 ms
2022-04-19 14:43:16,416 ms,329 ms,504 ms
2022-04-19 14:43:18,345 ms,318 ms,372 ms
2022-04-19 14:43:20,367 ms,278 ms,456 ms
2022-04-19 14:43:22,371 ms,271 ms,470 ms
2022-04-19 14:43:24,412 ms,265 ms,559 ms
2022-04-19 14:43:26,503 ms,275 ms,730 ms
2022-04-19 14:43:28,489 ms,342 ms,637 ms
2022-04-19 14:43:30,600 ms,601 ms,599 ms
2022-04-19 14:43:32,742 ms,912 ms,573 ms
2022-04-19 14:43:34,756 ms,1.05 s,461 ms
2022-04-19 14:43:36,691 ms,1.00 s,379 ms
2022-04-19 14:43:38,662 ms,927 ms,397 ms
2022-04-19 14:43:40,604 ms,757 ms,451 ms
2022-04-19 14:43:42,562 ms,573 ms,551 ms
