"Time","Average Response Rate","edge-server-cv-74d975f7cd-8snqw Response","edge-server-cv-74d975f7cd-kf4xg Response","edge-server-cv-74d975f7cd-zpwg8 Response"
2022-04-19 15:34:00,298 ms,302 ms,312 ms,281 ms
2022-04-19 15:34:02,496 ms,623 ms,343 ms,521 ms
2022-04-19 15:34:04,878 ms,1.09 s,355 ms,1.19 s
2022-04-19 15:34:06,1.12 s,1.28 s,355 ms,1.73 s
2022-04-19 15:34:08,1.08 s,1.28 s,339 ms,1.63 s
2022-04-19 15:34:10,1.07 s,1.43 s,294 ms,1.49 s
2022-04-19 15:34:12,919 ms,1.06 s,315 ms,1.38 s
2022-04-19 15:34:14,652 ms,737 ms,294 ms,926 ms
2022-04-19 15:34:16,450 ms,666 ms,294 ms,391 ms
2022-04-19 15:34:18,413 ms,618 ms,263 ms,359 ms
2022-04-19 15:34:20,439 ms,581 ms,407 ms,328 ms
2022-04-19 15:34:22,374 ms,398 ms,418 ms,306 ms
2022-04-19 15:34:24,414 ms,311 ms,559 ms,371 ms
2022-04-19 15:34:26,430 ms,304 ms,667 ms,319 ms
2022-04-19 15:34:28,436 ms,315 ms,684 ms,310 ms
2022-04-19 15:34:30,499 ms,396 ms,713 ms,387 ms
2022-04-19 15:34:32,563 ms,587 ms,684 ms,417 ms
2022-04-19 15:34:34,423 ms,610 ms,250 ms,409 ms
2022-04-19 15:34:36,437 ms,654 ms,269 ms,387 ms
2022-04-19 15:34:38,479 ms,770 ms,260 ms,409 ms
2022-04-19 15:34:40,346 ms,437 ms,261 ms,340 ms
2022-04-19 15:34:42,337 ms,394 ms,267 ms,350 ms
2022-04-19 15:34:44,308 ms,298 ms,278 ms,348 ms
2022-04-19 15:34:46,291 ms,319 ms,266 ms,288 ms
2022-04-19 15:34:48,296 ms,336 ms,277 ms,277 ms
2022-04-19 15:34:50,367 ms,404 ms,376 ms,321 ms
2022-04-19 15:34:52,477 ms,460 ms,358 ms,614 ms
2022-04-19 15:34:54,479 ms,497 ms,358 ms,581 ms
2022-04-19 15:34:56,503 ms,514 ms,354 ms,639 ms
2022-04-19 15:34:58,544 ms,494 ms,519 ms,619 ms
2022-04-19 15:35:00,504 ms,460 ms,512 ms,541 ms
2022-04-19 15:35:02,415 ms,449 ms,516 ms,279 ms
2022-04-19 15:35:04,432 ms,404 ms,519 ms,372 ms
2022-04-19 15:35:06,455 ms,387 ms,532 ms,446 ms
2022-04-19 15:35:08,383 ms,297 ms,387 ms,465 ms
2022-04-19 15:35:10,367 ms,311 ms,364 ms,426 ms
2022-04-19 15:35:12,345 ms,270 ms,357 ms,409 ms
2022-04-19 15:35:14,325 ms,276 ms,347 ms,352 ms
2022-04-19 15:35:16,337 ms,270 ms,408 ms,334 ms
2022-04-19 15:35:18,400 ms,350 ms,569 ms,280 ms
2022-04-19 15:35:20,469 ms,425 ms,658 ms,323 ms
2022-04-19 15:35:22,505 ms,418 ms,780 ms,317 ms
2022-04-19 15:35:24,511 ms,454 ms,767 ms,313 ms
2022-04-19 15:35:26,629 ms,752 ms,811 ms,326 ms
2022-04-19 15:35:28,641 ms,826 ms,813 ms,284 ms
2022-04-19 15:35:30,618 ms,869 ms,596 ms,389 ms
2022-04-19 15:35:32,571 ms,901 ms,378 ms,435 ms
2022-04-19 15:35:34,628 ms,1.06 s,354 ms,466 ms
2022-04-19 15:35:36,379 ms,308 ms,347 ms,483 ms
2022-04-19 15:35:38,399 ms,290 ms,382 ms,524 ms
2022-04-19 15:35:40,420 ms,294 ms,261 ms,706 ms
2022-04-19 15:35:42,390 ms,294 ms,299 ms,576 ms
2022-04-19 15:35:44,407 ms,307 ms,338 ms,576 ms
2022-04-19 15:35:46,457 ms,443 ms,354 ms,575 ms
2022-04-19 15:35:48,460 ms,499 ms,408 ms,472 ms
2022-04-19 15:35:50,351 ms,469 ms,313 ms,272 ms
2022-04-19 15:35:52,317 ms,410 ms,264 ms,278 ms
2022-04-19 15:35:54,294 ms,343 ms,252 ms,287 ms
2022-04-19 15:35:56,290 ms,291 ms,299 ms,280 ms
2022-04-19 15:35:58,354 ms,454 ms,322 ms,287 ms
2022-04-19 15:36:00,372 ms,435 ms,395 ms,285 ms
2022-04-19 15:36:02,439 ms,479 ms,380 ms,459 ms
2022-04-19 15:36:04,688 ms,480 ms,635 ms,949 ms
2022-04-19 15:36:06,1.01 s,480 ms,706 ms,1.83 s
2022-04-19 15:36:08,1.12 s,320 ms,709 ms,2.34 s
2022-04-19 15:36:10,1.06 s,336 ms,690 ms,2.17 s
2022-04-19 15:36:12,1.04 s,266 ms,590 ms,2.27 s
2022-04-19 15:36:14,789 ms,285 ms,375 ms,1.71 s
2022-04-19 15:36:16,495 ms,334 ms,331 ms,819 ms
2022-04-19 15:36:18,380 ms,355 ms,336 ms,448 ms
2022-04-19 15:36:20,415 ms,519 ms,297 ms,429 ms
2022-04-19 15:36:22,417 ms,519 ms,321 ms,411 ms
2022-04-19 15:36:24,398 ms,547 ms,307 ms,339 ms
2022-04-19 15:36:26,382 ms,542 ms,306 ms,299 ms
2022-04-19 15:36:28,375 ms,507 ms,312 ms,305 ms
2022-04-19 15:36:30,346 ms,346 ms,378 ms,313 ms
2022-04-19 15:36:32,362 ms,436 ms,355 ms,296 ms
2022-04-19 15:36:34,365 ms,436 ms,356 ms,304 ms
2022-04-19 15:36:36,373 ms,394 ms,342 ms,382 ms
2022-04-19 15:36:38,422 ms,408 ms,452 ms,405 ms
2022-04-19 15:36:40,455 ms,566 ms,409 ms,390 ms
2022-04-19 15:36:42,427 ms,510 ms,404 ms,366 ms
2022-04-19 15:36:44,453 ms,542 ms,459 ms,359 ms
2022-04-19 15:36:46,380 ms,505 ms,331 ms,305 ms
2022-04-19 15:36:48,423 ms,452 ms,508 ms,309 ms
2022-04-19 15:36:50,387 ms,302 ms,550 ms,310 ms
2022-04-19 15:36:52,390 ms,277 ms,572 ms,322 ms
2022-04-19 15:36:54,396 ms,288 ms,624 ms,277 ms
2022-04-19 15:36:56,393 ms,302 ms,534 ms,341 ms
2022-04-19 15:36:58,347 ms,308 ms,390 ms,342 ms
2022-04-19 15:37:00,310 ms,298 ms,291 ms,343 ms
2022-04-19 15:37:02,347 ms,403 ms,296 ms,341 ms
2022-04-19 15:37:04,368 ms,403 ms,358 ms,344 ms
2022-04-19 15:37:06,463 ms,479 ms,380 ms,532 ms
2022-04-19 15:37:08,622 ms,415 ms,459 ms,993 ms
2022-04-19 15:37:10,671 ms,360 ms,461 ms,1.19 s
2022-04-19 15:37:12,706 ms,308 ms,450 ms,1.36 s
2022-04-19 15:37:14,667 ms,315 ms,464 ms,1.22 s
2022-04-19 15:37:16,433 ms,310 ms,453 ms,535 ms
2022-04-19 15:37:18,319 ms,281 ms,362 ms,313 ms
2022-04-19 15:37:20,346 ms,280 ms,376 ms,381 ms
2022-04-19 15:37:22,348 ms,275 ms,329 ms,439 ms
2022-04-19 15:37:24,414 ms,316 ms,477 ms,447 ms
2022-04-19 15:37:26,437 ms,327 ms,531 ms,454 ms
2022-04-19 15:37:28,434 ms,340 ms,545 ms,416 ms
2022-04-19 15:37:30,419 ms,365 ms,490 ms,403 ms
2022-04-19 15:37:32,403 ms,356 ms,457 ms,397 ms
2022-04-19 15:37:34,382 ms,344 ms,391 ms,412 ms
2022-04-19 15:37:36,378 ms,325 ms,342 ms,467 ms
2022-04-19 15:37:38,305 ms,295 ms,314 ms,305 ms
2022-04-19 15:37:40,279 ms,274 ms,315 ms,248 ms
2022-04-19 15:37:42,351 ms,265 ms,565 ms,222 ms
2022-04-19 15:37:44,357 ms,278 ms,572 ms,222 ms
2022-04-19 15:37:46,352 ms,328 ms,535 ms,194 ms
2022-04-19 15:37:48,365 ms,303 ms,568 ms,225 ms
2022-04-19 15:37:50,345 ms,309 ms,398 ms,326 ms
2022-04-19 15:37:52,351 ms,323 ms,374 ms,357 ms
2022-04-19 15:37:54,384 ms,395 ms,416 ms,341 ms
2022-04-19 15:37:56,435 ms,400 ms,387 ms,519 ms
2022-04-19 15:37:58,536 ms,409 ms,377 ms,822 ms
2022-04-19 15:38:00,546 ms,444 ms,361 ms,834 ms
2022-04-19 15:38:02,498 ms,432 ms,306 ms,755 ms
2022-04-19 15:38:04,403 ms,264 ms,248 ms,697 ms
2022-04-19 15:38:06,263 ms,281 ms,225 ms,284 ms
2022-04-19 15:38:08,264 ms,283 ms,218 ms,291 ms
2022-04-19 15:38:10,295 ms,379 ms,218 ms,287 ms
2022-04-19 15:38:12,362 ms,534 ms,229 ms,324 ms
2022-04-19 15:38:14,408 ms,565 ms,278 ms,382 ms
2022-04-19 15:38:16,468 ms,692 ms,312 ms,400 ms
2022-04-19 15:38:18,487 ms,723 ms,312 ms,425 ms
2022-04-19 15:38:20,457 ms,621 ms,322 ms,429 ms
2022-04-19 15:38:22,417 ms,649 ms,324 ms,278 ms
2022-04-19 15:38:24,346 ms,481 ms,302 ms,254 ms
2022-04-19 15:38:26,334 ms,459 ms,295 ms,250 ms
2022-04-19 15:38:28,340 ms,482 ms,283 ms,256 ms
2022-04-19 15:38:30,336 ms,472 ms,273 ms,262 ms
2022-04-19 15:38:32,313 ms,398 ms,280 ms,261 ms
2022-04-19 15:38:34,325 ms,436 ms,273 ms,267 ms
2022-04-19 15:38:36,338 ms,458 ms,291 ms,265 ms
2022-04-19 15:38:38,382 ms,437 ms,305 ms,404 ms
2022-04-19 15:38:40,429 ms,475 ms,305 ms,508 ms
2022-04-19 15:38:42,541 ms,444 ms,292 ms,888 ms
2022-04-19 15:38:44,595 ms,305 ms,535 ms,945 ms
2022-04-19 15:38:46,528 ms,296 ms,525 ms,764 ms
2022-04-19 15:38:48,540 ms,286 ms,566 ms,766 ms
2022-04-19 15:38:50,466 ms,281 ms,517 ms,600 ms
2022-04-19 15:38:52,314 ms,268 ms,385 ms,289 ms
2022-04-19 15:38:54,328 ms,337 ms,305 ms,341 ms
2022-04-19 15:38:56,343 ms,389 ms,294 ms,347 ms
2022-04-19 15:38:58,342 ms,403 ms,268 ms,357 ms
2022-04-19 15:39:00,352 ms,401 ms,268 ms,388 ms
2022-04-19 15:39:02,340 ms,383 ms,272 ms,366 ms
2022-04-19 15:39:04,367 ms,313 ms,284 ms,503 ms
2022-04-19 15:39:06,347 ms,439 ms,303 ms,299 ms
2022-04-19 15:39:08,351 ms,474 ms,303 ms,275 ms
2022-04-19 15:39:10,320 ms,382 ms,303 ms,275 ms
2022-04-19 15:39:12,305 ms,358 ms,283 ms,274 ms
2022-04-19 15:39:14,332 ms,361 ms,313 ms,321 ms
2022-04-19 15:39:16,295 ms,277 ms,281 ms,327 ms
2022-04-19 15:39:18,291 ms,276 ms,279 ms,319 ms
2022-04-19 15:39:20,303 ms,279 ms,292 ms,338 ms
2022-04-19 15:39:22,300 ms,281 ms,262 ms,355 ms
2022-04-19 15:39:24,428 ms,672 ms,262 ms,350 ms
2022-04-19 15:39:26,460 ms,606 ms,287 ms,486 ms
2022-04-19 15:39:28,542 ms,765 ms,286 ms,576 ms
2022-04-19 15:39:30,478 ms,566 ms,331 ms,536 ms
2022-04-19 15:39:32,414 ms,294 ms,376 ms,572 ms
2022-04-19 15:39:34,364 ms,285 ms,363 ms,444 ms
2022-04-19 15:39:36,359 ms,288 ms,350 ms,440 ms
2022-04-19 15:39:38,295 ms,293 ms,352 ms,240 ms
2022-04-19 15:39:40,265 ms,276 ms,300 ms,220 ms
2022-04-19 15:39:42,314 ms,284 ms,322 ms,336 ms
2022-04-19 15:39:44,378 ms,260 ms,344 ms,531 ms
2022-04-19 15:39:46,478 ms,528 ms,365 ms,540 ms
2022-04-19 15:39:48,481 ms,525 ms,330 ms,588 ms
2022-04-19 15:39:50,493 ms,463 ms,341 ms,674 ms
2022-04-19 15:39:52,414 ms,531 ms,357 ms,353 ms
2022-04-19 15:39:54,,510 ms,293 ms,
2022-04-19 15:39:56,318 ms,388 ms,295 ms,271 ms
2022-04-19 15:39:58,336 ms,434 ms,295 ms,278 ms
2022-04-19 15:40:00,348 ms,410 ms,288 ms,347 ms
2022-04-19 15:40:02,345 ms,421 ms,291 ms,323 ms
2022-04-19 15:40:04,405 ms,422 ms,302 ms,489 ms
2022-04-19 15:40:06,376 ms,315 ms,289 ms,524 ms
2022-04-19 15:40:08,366 ms,261 ms,289 ms,547 ms
2022-04-19 15:40:10,468 ms,513 ms,267 ms,624 ms
2022-04-19 15:40:12,476 ms,469 ms,314 ms,644 ms
2022-04-19 15:40:14,466 ms,545 ms,311 ms,542 ms
2022-04-19 15:40:16,575 ms,536 ms,694 ms,494 ms
2022-04-19 15:40:18,597 ms,510 ms,837 ms,443 ms
2022-04-19 15:40:20,532 ms,406 ms,882 ms,307 ms
2022-04-19 15:40:22,522 ms,411 ms,908 ms,247 ms
2022-04-19 15:40:24,525 ms,379 ms,949 ms,247 ms
2022-04-19 15:40:26,298 ms,347 ms,275 ms,272 ms
2022-04-19 15:40:28,334 ms,476 ms,265 ms,259 ms
2022-04-19 15:40:30,342 ms,500 ms,251 ms,275 ms
2022-04-19 15:40:32,348 ms,487 ms,243 ms,313 ms
2022-04-19 15:40:34,421 ms,426 ms,418 ms,420 ms
2022-04-19 15:40:36,411 ms,365 ms,424 ms,444 ms
2022-04-19 15:40:38,412 ms,368 ms,422 ms,444 ms
2022-04-19 15:40:40,420 ms,374 ms,443 ms,444 ms
2022-04-19 15:40:42,361 ms,366 ms,334 ms,383 ms
2022-04-19 15:40:44,325 ms,370 ms,275 ms,329 ms
2022-04-19 15:40:46,350 ms,394 ms,341 ms,314 ms
2022-04-19 15:40:48,373 ms,427 ms,410 ms,283 ms
2022-04-19 15:40:50,488 ms,403 ms,774 ms,287 ms
2022-04-19 15:40:52,488 ms,442 ms,751 ms,272 ms
2022-04-19 15:40:54,459 ms,384 ms,722 ms,272 ms
2022-04-19 15:40:56,433 ms,308 ms,634 ms,356 ms
2022-04-19 15:40:58,394 ms,327 ms,490 ms,364 ms
2022-04-19 15:41:00,335 ms,325 ms,302 ms,378 ms
2022-04-19 15:41:02,330 ms,276 ms,267 ms,448 ms
2022-04-19 15:41:04,327 ms,278 ms,279 ms,423 ms
2022-04-19 15:41:06,320 ms,275 ms,330 ms,355 ms
2022-04-19 15:41:08,357 ms,282 ms,449 ms,340 ms
2022-04-19 15:41:10,392 ms,350 ms,486 ms,340 ms
2022-04-19 15:41:12,388 ms,330 ms,557 ms,278 ms
2022-04-19 15:41:14,428 ms,334 ms,548 ms,402 ms
2022-04-19 15:41:16,577 ms,811 ms,534 ms,387 ms
2022-04-19 15:41:18,620 ms,942 ms,504 ms,415 ms
2022-04-19 15:41:20,611 ms,1.03 s,394 ms,408 ms
2022-04-19 15:41:22,645 ms,952 ms,643 ms,340 ms
2022-04-19 15:41:24,673 ms,884 ms,612 ms,524 ms
2022-04-19 15:41:26,479 ms,277 ms,645 ms,515 ms
2022-04-19 15:41:28,480 ms,368 ms,545 ms,527 ms
2022-04-19 15:41:30,470 ms,378 ms,394 ms,638 ms
2022-04-19 15:41:32,454 ms,391 ms,340 ms,631 ms
2022-04-19 15:41:34,476 ms,535 ms,328 ms,564 ms
2022-04-19 15:41:36,479 ms,535 ms,337 ms,565 ms
2022-04-19 15:41:38,493 ms,536 ms,340 ms,603 ms
2022-04-19 15:41:40,530 ms,824 ms,344 ms,423 ms
2022-04-19 15:41:42,490 ms,771 ms,298 ms,401 ms
2022-04-19 15:41:44,409 ms,642 ms,299 ms,287 ms
2022-04-19 15:41:46,376 ms,501 ms,277 ms,349 ms
2022-04-19 15:41:48,378 ms,506 ms,284 ms,344 ms
2022-04-19 15:41:50,349 ms,406 ms,284 ms,355 ms
2022-04-19 15:41:52,360 ms,406 ms,328 ms,345 ms
2022-04-19 15:41:54,384 ms,487 ms,325 ms,340 ms
2022-04-19 15:41:56,382 ms,432 ms,388 ms,326 ms
2022-04-19 15:41:58,333 ms,260 ms,412 ms,327 ms
2022-04-19 15:42:00,349 ms,260 ms,431 ms,355 ms
2022-04-19 15:42:02,363 ms,265 ms,421 ms,401 ms
2022-04-19 15:42:04,345 ms,266 ms,379 ms,389 ms
2022-04-19 15:42:06,344 ms,321 ms,335 ms,377 ms
2022-04-19 15:42:08,318 ms,336 ms,269 ms,348 ms
2022-04-19 15:42:10,333 ms,333 ms,260 ms,406 ms
2022-04-19 15:42:12,331 ms,342 ms,262 ms,388 ms
2022-04-19 15:42:14,333 ms,342 ms,268 ms,390 ms
2022-04-19 15:42:16,550 ms,567 ms,390 ms,692 ms
2022-04-19 15:42:18,551 ms,567 ms,419 ms,667 ms
2022-04-19 15:42:20,557 ms,654 ms,452 ms,565 ms
2022-04-19 15:42:22,551 ms,493 ms,478 ms,681 ms
2022-04-19 15:42:24,378 ms,381 ms,452 ms,299 ms
2022-04-19 15:42:26,492 ms,262 ms,913 ms,299 ms
2022-04-19 15:42:28,453 ms,263 ms,765 ms,331 ms
2022-04-19 15:42:30,489 ms,295 ms,725 ms,448 ms
2022-04-19 15:42:32,539 ms,516 ms,678 ms,423 ms
2022-04-19 15:42:34,543 ms,623 ms,559 ms,446 ms
2022-04-19 15:42:36,418 ms,520 ms,265 ms,470 ms
2022-04-19 15:42:38,415 ms,513 ms,320 ms,412 ms
2022-04-19 15:42:40,452 ms,458 ms,341 ms,556 ms
2022-04-19 15:42:42,410 ms,355 ms,365 ms,508 ms
2022-04-19 15:42:44,418 ms,346 ms,397 ms,510 ms
2022-04-19 15:42:46,393 ms,350 ms,392 ms,438 ms
2022-04-19 15:42:48,340 ms,360 ms,379 ms,282 ms
2022-04-19 15:42:50,359 ms,418 ms,375 ms,285 ms
2022-04-19 15:42:52,365 ms,421 ms,375 ms,298 ms
2022-04-19 15:42:54,335 ms,421 ms,323 ms,260 ms
2022-04-19 15:42:56,323 ms,328 ms,350 ms,292 ms
2022-04-19 15:42:58,292 ms,232 ms,356 ms,290 ms
2022-04-19 15:43:00,355 ms,326 ms,349 ms,390 ms
2022-04-19 15:43:02,350 ms,336 ms,313 ms,401 ms
2022-04-19 15:43:04,371 ms,461 ms,280 ms,371 ms
2022-04-19 15:43:06,401 ms,507 ms,299 ms,397 ms
2022-04-19 15:43:08,498 ms,433 ms,689 ms,372 ms
2022-04-19 15:43:10,471 ms,419 ms,724 ms,270 ms
2022-04-19 15:43:12,456 ms,440 ms,649 ms,280 ms
2022-04-19 15:43:14,447 ms,366 ms,673 ms,301 ms
2022-04-19 15:43:16,486 ms,349 ms,605 ms,504 ms
2022-04-19 15:43:18,698 ms,410 ms,1.19 s,498 ms
2022-04-19 15:43:20,798 ms,403 ms,1.25 s,741 ms
2022-04-19 15:43:22,751 ms,388 ms,1.17 s,698 ms
2022-04-19 15:43:24,772 ms,391 ms,1.25 s,673 ms
2022-04-19 15:43:26,644 ms,293 ms,1.08 s,563 ms
2022-04-19 15:43:28,461 ms,268 ms,536 ms,578 ms
2022-04-19 15:43:30,380 ms,298 ms,609 ms,234 ms
2022-04-19 15:43:32,429 ms,395 ms,560 ms,333 ms
2022-04-19 15:43:34,789 ms,411 ms,563 ms,1.39 s
2022-04-19 15:43:36,756 ms,432 ms,444 ms,1.39 s
2022-04-19 15:43:38,722 ms,428 ms,458 ms,1.28 s
2022-04-19 15:43:40,748 ms,442 ms,410 ms,1.39 s
2022-04-19 15:43:42,662 ms,480 ms,428 ms,1.08 s
2022-04-19 15:43:44,422 ms,419 ms,392 ms,456 ms
2022-04-19 15:43:46,429 ms,465 ms,340 ms,484 ms
2022-04-19 15:43:48,456 ms,465 ms,447 ms,456 ms
2022-04-19 15:43:50,469 ms,334 ms,775 ms,300 ms
2022-04-19 15:43:52,454 ms,339 ms,749 ms,275 ms
2022-04-19 15:43:54,470 ms,355 ms,749 ms,304 ms
2022-04-19 15:43:56,564 ms,417 ms,664 ms,610 ms
2022-04-19 15:43:58,470 ms,459 ms,352 ms,599 ms
2022-04-19 15:44:00,492 ms,473 ms,281 ms,722 ms
2022-04-19 15:44:02,518 ms,457 ms,312 ms,786 ms
2022-04-19 15:44:04,466 ms,471 ms,321 ms,607 ms
2022-04-19 15:44:06,558 ms,403 ms,503 ms,767 ms
2022-04-19 15:44:08,693 ms,438 ms,590 ms,1.05 s
2022-04-19 15:44:10,612 ms,357 ms,595 ms,886 ms
2022-04-19 15:44:12,645 ms,294 ms,595 ms,1.05 s
2022-04-19 15:44:14,602 ms,364 ms,600 ms,841 ms
2022-04-19 15:44:16,451 ms,371 ms,430 ms,554 ms
2022-04-19 15:44:18,387 ms,423 ms,421 ms,316 ms
2022-04-19 15:44:20,380 ms,450 ms,392 ms,299 ms
2022-04-19 15:44:22,414 ms,450 ms,398 ms,395 ms
2022-04-19 15:44:24,401 ms,457 ms,332 ms,413 ms
2022-04-19 15:44:26,443 ms,633 ms,283 ms,413 ms
2022-04-19 15:44:28,661 ms,1.13 s,298 ms,555 ms
2022-04-19 15:44:30,567 ms,897 ms,276 ms,526 ms
2022-04-19 15:44:32,521 ms,844 ms,270 ms,448 ms
2022-04-19 15:44:34,499 ms,769 ms,308 ms,418 ms
2022-04-19 15:44:36,333 ms,289 ms,308 ms,403 ms
2022-04-19 15:44:38,304 ms,302 ms,343 ms,267 ms
2022-04-19 15:44:40,337 ms,326 ms,396 ms,289 ms
2022-04-19 15:44:42,362 ms,285 ms,485 ms,316 ms
2022-04-19 15:44:44,339 ms,252 ms,451 ms,314 ms
2022-04-19 15:44:46,356 ms,252 ms,467 ms,348 ms
2022-04-19 15:44:48,360 ms,252 ms,446 ms,383 ms
2022-04-19 15:44:50,322 ms,341 ms,263 ms,361 ms
2022-04-19 15:44:52,323 ms,334 ms,264 ms,372 ms
2022-04-19 15:44:54,324 ms,361 ms,248 ms,362 ms
2022-04-19 15:44:56,315 ms,365 ms,261 ms,319 ms
2022-04-19 15:44:58,339 ms,319 ms,339 ms,360 ms
2022-04-19 15:45:00,341 ms,306 ms,357 ms,360 ms
2022-04-19 15:45:02,378 ms,301 ms,487 ms,346 ms
2022-04-19 15:45:04,369 ms,285 ms,490 ms,332 ms
2022-04-19 15:45:06,343 ms,253 ms,494 ms,283 ms
2022-04-19 15:45:08,343 ms,252 ms,473 ms,302 ms
2022-04-19 15:45:10,332 ms,244 ms,451 ms,301 ms
2022-04-19 15:45:12,266 ms,260 ms,246 ms,292 ms
2022-04-19 15:45:14,451 ms,764 ms,251 ms,338 ms
2022-04-19 15:45:16,587 ms,1.17 s,247 ms,345 ms
2022-04-19 15:45:18,558 ms,1.07 s,258 ms,343 ms
2022-04-19 15:45:20,761 ms,1.46 s,488 ms,338 ms
2022-04-19 15:45:22,842 ms,1.61 s,538 ms,381 ms
2022-04-19 15:45:24,737 ms,1.30 s,554 ms,354 ms
2022-04-19 15:45:26,716 ms,1.32 s,499 ms,332 ms
2022-04-19 15:45:28,682 ms,1.32 s,417 ms,314 ms
2022-04-19 15:45:30,296 ms,278 ms,355 ms,255 ms
2022-04-19 15:45:32,300 ms,289 ms,349 ms,261 ms
2022-04-19 15:45:34,383 ms,493 ms,327 ms,329 ms
2022-04-19 15:45:36,374 ms,473 ms,320 ms,329 ms
2022-04-19 15:45:38,386 ms,425 ms,284 ms,449 ms
2022-04-19 15:45:40,404 ms,406 ms,305 ms,501 ms
2022-04-19 15:45:42,334 ms,275 ms,308 ms,420 ms
2022-04-19 15:45:44,479 ms,303 ms,585 ms,550 ms
2022-04-19 15:45:46,465 ms,335 ms,560 ms,500 ms
2022-04-19 15:45:48,453 ms,351 ms,581 ms,427 ms
2022-04-19 15:45:50,538 ms,381 ms,794 ms,437 ms
2022-04-19 15:45:52,580 ms,496 ms,762 ms,483 ms
2022-04-19 15:45:54,512 ms,480 ms,686 ms,371 ms
2022-04-19 15:45:56,525 ms,462 ms,709 ms,403 ms
2022-04-19 15:45:58,533 ms,419 ms,681 ms,500 ms
2022-04-19 15:46:00,506 ms,342 ms,506 ms,670 ms
2022-04-19 15:46:02,851 ms,254 ms,482 ms,1.82 s
2022-04-19 15:46:04,967 ms,268 ms,522 ms,2.11 s
2022-04-19 15:46:06,968 ms,245 ms,568 ms,2.09 s
2022-04-19 15:46:08,854 ms,326 ms,272 ms,1.96 s
2022-04-19 15:46:10,820 ms,347 ms,267 ms,1.85 s
2022-04-19 15:46:12,561 ms,370 ms,279 ms,1.03 s
2022-04-19 15:46:14,401 ms,395 ms,289 ms,518 ms
2022-04-19 15:46:16,318 ms,288 ms,273 ms,393 ms
2022-04-19 15:46:18,340 ms,356 ms,271 ms,393 ms
2022-04-19 15:46:20,332 ms,356 ms,281 ms,359 ms
2022-04-19 15:46:22,463 ms,704 ms,276 ms,408 ms
2022-04-19 15:46:24,464 ms,735 ms,287 ms,371 ms
2022-04-19 15:46:26,514 ms,809 ms,337 ms,395 ms
2022-04-19 15:46:28,544 ms,815 ms,363 ms,453 ms
2022-04-19 15:46:30,478 ms,603 ms,377 ms,453 ms
2022-04-19 15:46:32,359 ms,270 ms,389 ms,417 ms
2022-04-19 15:46:34,382 ms,295 ms,355 ms,497 ms
2022-04-19 15:46:36,391 ms,347 ms,328 ms,497 ms
2022-04-19 15:46:38,,408 ms,320 ms,
2022-04-19 15:46:40,,433 ms,279 ms,
2022-04-19 15:46:42,426 ms,438 ms,345 ms,494 ms
2022-04-19 15:46:44,391 ms,446 ms,330 ms,396 ms
2022-04-19 15:46:46,469 ms,724 ms,344 ms,340 ms
2022-04-19 15:46:48,437 ms,645 ms,338 ms,329 ms
2022-04-19 15:46:50,606 ms,648 ms,257 ms,912 ms
2022-04-19 15:46:52,728 ms,628 ms,650 ms,907 ms
2022-04-19 15:46:54,751 ms,652 ms,748 ms,854 ms
2022-04-19 15:46:56,743 ms,786 ms,582 ms,860 ms
2022-04-19 15:46:58,692 ms,861 ms,580 ms,635 ms
2022-04-19 15:47:00,530 ms,927 ms,331 ms,334 ms
2022-04-19 15:47:02,512 ms,915 ms,303 ms,320 ms
2022-04-19 15:47:04,499 ms,984 ms,256 ms,256 ms
2022-04-19 15:47:06,254 ms,258 ms,260 ms,244 ms
2022-04-19 15:47:08,261 ms,256 ms,269 ms,259 ms
2022-04-19 15:47:10,301 ms,301 ms,358 ms,245 ms
2022-04-19 15:47:12,319 ms,296 ms,369 ms,292 ms
2022-04-19 15:47:14,447 ms,300 ms,537 ms,504 ms
2022-04-19 15:47:16,457 ms,326 ms,505 ms,541 ms
2022-04-19 15:47:18,596 ms,313 ms,453 ms,1.02 s
2022-04-19 15:47:20,638 ms,336 ms,470 ms,1.11 s
2022-04-19 15:47:22,578 ms,384 ms,463 ms,887 ms
2022-04-19 15:47:24,502 ms,334 ms,409 ms,764 ms
2022-04-19 15:47:26,442 ms,343 ms,414 ms,568 ms
2022-04-19 15:47:28,366 ms,296 ms,438 ms,364 ms
2022-04-19 15:47:30,379 ms,361 ms,378 ms,398 ms
2022-04-19 15:47:32,374 ms,368 ms,326 ms,428 ms
2022-04-19 15:47:34,352 ms,431 ms,298 ms,329 ms
2022-04-19 15:47:36,343 ms,431 ms,300 ms,299 ms
2022-04-19 15:47:38,344 ms,483 ms,270 ms,280 ms
2022-04-19 15:47:40,358 ms,538 ms,308 ms,227 ms
2022-04-19 15:47:42,374 ms,563 ms,325 ms,236 ms
2022-04-19 15:47:44,399 ms,595 ms,348 ms,253 ms
2022-04-19 15:47:46,392 ms,579 ms,337 ms,260 ms
2022-04-19 15:47:48,534 ms,466 ms,354 ms,780 ms
2022-04-19 15:47:50,517 ms,441 ms,275 ms,835 ms
2022-04-19 15:47:52,674 ms,336 ms,729 ms,958 ms
2022-04-19 15:47:54,899 ms,324 ms,1.08 s,1.30 s
2022-04-19 15:47:56,832 ms,313 ms,1.09 s,1.10 s
2022-04-19 15:47:58,562 ms,378 ms,938 ms,369 ms
