"Time","Average Response Rate","edge-server-cv-78d887c496-hwv29 Response","edge-server-cv-78d887c496-rpl2c Response"
2022-04-19 14:05:46,284 ms,318 ms,251 ms
2022-04-19 14:05:48,302 ms,349 ms,254 ms
2022-04-19 14:05:50,391 ms,483 ms,298 ms
2022-04-19 14:05:52,406 ms,477 ms,335 ms
2022-04-19 14:05:54,400 ms,464 ms,336 ms
2022-04-19 14:05:56,399 ms,452 ms,347 ms
2022-04-19 14:05:58,406 ms,446 ms,366 ms
2022-04-19 14:06:00,263 ms,270 ms,256 ms
2022-04-19 14:06:02,267 ms,283 ms,250 ms
2022-04-19 14:06:04,263 ms,286 ms,241 ms
2022-04-19 14:06:06,264 ms,284 ms,245 ms
2022-04-19 14:06:08,267 ms,284 ms,250 ms
2022-04-19 14:06:10,261 ms,270 ms,253 ms
2022-04-19 14:06:12,256 ms,271 ms,242 ms
2022-04-19 14:06:14,268 ms,281 ms,254 ms
2022-04-19 14:06:16,295 ms,304 ms,286 ms
2022-04-19 14:06:18,295 ms,309 ms,281 ms
2022-04-19 14:06:20,292 ms,289 ms,295 ms
2022-04-19 14:06:22,297 ms,282 ms,312 ms
2022-04-19 14:06:24,282 ms,266 ms,297 ms
2022-04-19 14:06:26,342 ms,262 ms,422 ms
2022-04-19 14:06:28,346 ms,260 ms,432 ms
2022-04-19 14:06:30,349 ms,265 ms,433 ms
2022-04-19 14:06:32,342 ms,264 ms,421 ms
2022-04-19 14:06:34,295 ms,260 ms,330 ms
2022-04-19 14:06:36,276 ms,246 ms,307 ms
2022-04-19 14:06:38,252 ms,258 ms,245 ms
2022-04-19 14:06:40,260 ms,254 ms,265 ms
2022-04-19 14:06:42,269 ms,256 ms,283 ms
2022-04-19 14:06:44,272 ms,259 ms,285 ms
2022-04-19 14:06:46,288 ms,252 ms,323 ms
2022-04-19 14:06:48,297 ms,254 ms,340 ms
2022-04-19 14:06:50,298 ms,261 ms,334 ms
2022-04-19 14:06:52,321 ms,258 ms,384 ms
2022-04-19 14:06:54,312 ms,268 ms,357 ms
2022-04-19 14:06:56,299 ms,255 ms,342 ms
2022-04-19 14:06:58,298 ms,258 ms,339 ms
2022-04-19 14:07:00,335 ms,345 ms,325 ms
2022-04-19 14:07:02,363 ms,402 ms,324 ms
2022-04-19 14:07:04,374 ms,412 ms,336 ms
2022-04-19 14:07:06,380 ms,430 ms,331 ms
2022-04-19 14:07:08,347 ms,382 ms,312 ms
2022-04-19 14:07:10,270 ms,276 ms,264 ms
2022-04-19 14:07:12,263 ms,266 ms,260 ms
2022-04-19 14:07:14,298 ms,266 ms,330 ms
2022-04-19 14:07:16,292 ms,252 ms,333 ms
2022-04-19 14:07:18,299 ms,257 ms,340 ms
2022-04-19 14:07:20,306 ms,277 ms,334 ms
2022-04-19 14:07:22,355 ms,387 ms,322 ms
2022-04-19 14:07:24,384 ms,391 ms,378 ms
2022-04-19 14:07:26,374 ms,376 ms,372 ms
2022-04-19 14:07:28,422 ms,390 ms,454 ms
2022-04-19 14:07:30,437 ms,362 ms,512 ms
2022-04-19 14:07:32,588 ms,656 ms,519 ms
2022-04-19 14:07:34,564 ms,670 ms,457 ms
2022-04-19 14:07:36,565 ms,660 ms,471 ms
2022-04-19 14:07:38,456 ms,637 ms,276 ms
2022-04-19 14:07:40,374 ms,478 ms,269 ms
2022-04-19 14:07:42,296 ms,331 ms,260 ms
2022-04-19 14:07:44,296 ms,317 ms,275 ms
2022-04-19 14:07:46,324 ms,279 ms,369 ms
2022-04-19 14:07:48,327 ms,290 ms,364 ms
2022-04-19 14:07:50,334 ms,299 ms,369 ms
2022-04-19 14:07:52,345 ms,304 ms,386 ms
2022-04-19 14:07:54,394 ms,484 ms,305 ms
2022-04-19 14:07:56,388 ms,503 ms,272 ms
2022-04-19 14:07:58,386 ms,503 ms,269 ms
2022-04-19 14:08:00,376 ms,494 ms,259 ms
2022-04-19 14:08:02,359 ms,460 ms,259 ms
2022-04-19 14:08:04,271 ms,293 ms,249 ms
2022-04-19 14:08:06,255 ms,260 ms,249 ms
2022-04-19 14:08:08,256 ms,263 ms,248 ms
2022-04-19 14:08:10,264 ms,276 ms,252 ms
2022-04-19 14:08:12,331 ms,406 ms,255 ms
2022-04-19 14:08:14,356 ms,456 ms,256 ms
2022-04-19 14:08:16,368 ms,455 ms,281 ms
2022-04-19 14:08:18,372 ms,461 ms,283 ms
2022-04-19 14:08:20,377 ms,477 ms,278 ms
2022-04-19 14:08:22,291 ms,269 ms,314 ms
2022-04-19 14:08:24,360 ms,271 ms,448 ms
2022-04-19 14:08:26,415 ms,350 ms,479 ms
