"Time","edge-server-cv-78d887c496-njhtr Response"
2022-04-18 15:15:42,258 ms
2022-04-18 15:15:44,262 ms
2022-04-18 15:15:46,263 ms
2022-04-18 15:15:48,262 ms
2022-04-18 15:15:50,262 ms
2022-04-18 15:15:52,260 ms
2022-04-18 15:15:54,252 ms
2022-04-18 15:15:56,253 ms
2022-04-18 15:15:58,260 ms
2022-04-18 15:16:00,247 ms
2022-04-18 15:16:02,246 ms
2022-04-18 15:16:04,258 ms
2022-04-18 15:16:06,252 ms
2022-04-18 15:16:08,244 ms
2022-04-18 15:16:10,251 ms
2022-04-18 15:16:12,247 ms
2022-04-18 15:16:14,252 ms
2022-04-18 15:16:16,255 ms
2022-04-18 15:16:18,257 ms
2022-04-18 15:16:20,260 ms
2022-04-18 15:16:22,261 ms
2022-04-18 15:16:24,261 ms
2022-04-18 15:16:26,260 ms
2022-04-18 15:16:28,251 ms
2022-04-18 15:16:30,254 ms
2022-04-18 15:16:32,250 ms
2022-04-18 15:16:34,250 ms
2022-04-18 15:16:36,255 ms
2022-04-18 15:16:38,258 ms
2022-04-18 15:16:40,261 ms
2022-04-18 15:16:42,265 ms
2022-04-18 15:16:44,263 ms
2022-04-18 15:16:46,255 ms
2022-04-18 15:16:48,257 ms
2022-04-18 15:16:50,260 ms
2022-04-18 15:16:52,312 ms
2022-04-18 15:16:54,307 ms
2022-04-18 15:16:56,301 ms
2022-04-18 15:16:58,296 ms
2022-04-18 15:17:00,302 ms
2022-04-18 15:17:02,262 ms
2022-04-18 15:17:04,263 ms
2022-04-18 15:17:06,255 ms
2022-04-18 15:17:08,266 ms
2022-04-18 15:17:10,267 ms
2022-04-18 15:17:12,264 ms
2022-04-18 15:17:14,258 ms
2022-04-18 15:17:16,264 ms
2022-04-18 15:17:18,268 ms
2022-04-18 15:17:20,268 ms
2022-04-18 15:17:22,262 ms
2022-04-18 15:17:24,260 ms
2022-04-18 15:17:26,248 ms
2022-04-18 15:17:28,255 ms
2022-04-18 15:17:30,263 ms
2022-04-18 15:17:32,257 ms
2022-04-18 15:17:34,268 ms
2022-04-18 15:17:36,255 ms
2022-04-18 15:17:38,243 ms
2022-04-18 15:17:40,245 ms
2022-04-18 15:17:42,251 ms
2022-04-18 15:17:44,252 ms
2022-04-18 15:17:46,248 ms
2022-04-18 15:17:48,249 ms
2022-04-18 15:17:50,245 ms
2022-04-18 15:17:52,252 ms
2022-04-18 15:17:54,254 ms
2022-04-18 15:17:56,257 ms
2022-04-18 15:17:58,262 ms
2022-04-18 15:18:00,282 ms
2022-04-18 15:18:02,284 ms
2022-04-18 15:18:04,278 ms
2022-04-18 15:18:06,281 ms
2022-04-18 15:18:08,281 ms
2022-04-18 15:18:10,264 ms
2022-04-18 15:18:12,265 ms
2022-04-18 15:18:14,330 ms
2022-04-18 15:18:16,316 ms
2022-04-18 15:18:18,310 ms
2022-04-18 15:18:20,315 ms
2022-04-18 15:18:22,316 ms
2022-04-18 15:18:24,257 ms
2022-04-18 15:18:26,238 ms
2022-04-18 15:18:28,249 ms
2022-04-18 15:18:30,258 ms
2022-04-18 15:18:32,256 ms
2022-04-18 15:18:34,264 ms
2022-04-18 15:18:36,267 ms
2022-04-18 15:18:38,277 ms
2022-04-18 15:18:40,288 ms
2022-04-18 15:18:42,296 ms
2022-04-18 15:18:44,292 ms
2022-04-18 15:18:46,293 ms
2022-04-18 15:18:48,271 ms
2022-04-18 15:18:50,275 ms
2022-04-18 15:18:52,278 ms
2022-04-18 15:18:54,297 ms
2022-04-18 15:18:56,290 ms
2022-04-18 15:18:58,283 ms
2022-04-18 15:19:00,290 ms
2022-04-18 15:19:02,274 ms
2022-04-18 15:19:04,273 ms
2022-04-18 15:19:06,271 ms
2022-04-18 15:19:08,237 ms
2022-04-18 15:19:10,229 ms
2022-04-18 15:19:12,226 ms
2022-04-18 15:19:14,223 ms
2022-04-18 15:19:16,242 ms
2022-04-18 15:19:18,256 ms
2022-04-18 15:19:20,334 ms
2022-04-18 15:19:22,308 ms
2022-04-18 15:19:24,302 ms
2022-04-18 15:19:26,292 ms
2022-04-18 15:19:28,248 ms
2022-04-18 15:19:30,262 ms
2022-04-18 15:19:32,261 ms
2022-04-18 15:19:34,261 ms
2022-04-18 15:19:36,262 ms
2022-04-18 15:19:38,240 ms
2022-04-18 15:19:40,242 ms
2022-04-18 15:19:42,245 ms
2022-04-18 15:19:44,251 ms
2022-04-18 15:19:46,255 ms
2022-04-18 15:19:48,255 ms
2022-04-18 15:19:50,258 ms
2022-04-18 15:19:52,256 ms
2022-04-18 15:19:54,264 ms
2022-04-18 15:19:56,266 ms
2022-04-18 15:19:58,272 ms
2022-04-18 15:20:00,267 ms
2022-04-18 15:20:02,262 ms
2022-04-18 15:20:04,262 ms
2022-04-18 15:20:06,254 ms
2022-04-18 15:20:08,274 ms
2022-04-18 15:20:10,279 ms
2022-04-18 15:20:12,272 ms
2022-04-18 15:20:14,273 ms
2022-04-18 15:20:16,289 ms
2022-04-18 15:20:18,240 ms
2022-04-18 15:20:20,246 ms
2022-04-18 15:20:22,239 ms
2022-04-18 15:20:24,245 ms
2022-04-18 15:20:26,247 ms
2022-04-18 15:20:28,254 ms
2022-04-18 15:20:30,260 ms
2022-04-18 15:20:32,269 ms
2022-04-18 15:20:34,265 ms
2022-04-18 15:20:36,260 ms
2022-04-18 15:20:38,250 ms
2022-04-18 15:20:40,252 ms
2022-04-18 15:20:42,241 ms
2022-04-18 15:20:44,242 ms
2022-04-18 15:20:46,238 ms
2022-04-18 15:20:48,244 ms
2022-04-18 15:20:50,241 ms
2022-04-18 15:20:52,246 ms
2022-04-18 15:20:54,251 ms
2022-04-18 15:20:56,254 ms
2022-04-18 15:20:58,275 ms
2022-04-18 15:21:00,286 ms
2022-04-18 15:21:02,293 ms
2022-04-18 15:21:04,290 ms
2022-04-18 15:21:06,287 ms
2022-04-18 15:21:08,254 ms
2022-04-18 15:21:10,252 ms
2022-04-18 15:21:12,259 ms
2022-04-18 15:21:14,257 ms
2022-04-18 15:21:16,260 ms
2022-04-18 15:21:18,275 ms
2022-04-18 15:21:20,263 ms
2022-04-18 15:21:22,256 ms
2022-04-18 15:21:24,252 ms
2022-04-18 15:21:26,251 ms
2022-04-18 15:21:28,238 ms
2022-04-18 15:21:30,257 ms
2022-04-18 15:21:32,258 ms
2022-04-18 15:21:34,259 ms
2022-04-18 15:21:36,295 ms
2022-04-18 15:21:38,295 ms
2022-04-18 15:21:40,272 ms
2022-04-18 15:21:42,275 ms
2022-04-18 15:21:44,279 ms
2022-04-18 15:21:46,286 ms
2022-04-18 15:21:48,274 ms
2022-04-18 15:21:50,262 ms
2022-04-18 15:21:52,243 ms
2022-04-18 15:21:54,246 ms
2022-04-18 15:21:56,254 ms
2022-04-18 15:21:58,261 ms
2022-04-18 15:22:00,278 ms
2022-04-18 15:22:02,280 ms
2022-04-18 15:22:04,258 ms
2022-04-18 15:22:06,247 ms
2022-04-18 15:22:08,249 ms
2022-04-18 15:22:10,240 ms
