"Time","Average Response Rate","edge-server-cv-74d975f7cd-64tvg Response","edge-server-cv-74d975f7cd-xj7sb Response"
2022-04-18 16:52:40,618 ms,354 ms,882 ms
2022-04-18 16:52:42,632 ms,415 ms,850 ms
2022-04-18 16:52:44,617 ms,653 ms,581 ms
2022-04-18 16:52:46,746 ms,700 ms,792 ms
2022-04-18 16:52:48,767 ms,761 ms,773 ms
2022-04-18 16:52:50,1.09 s,1.47 s,711 ms
2022-04-18 16:52:52,1.14 s,1.51 s,768 ms
2022-04-18 16:52:54,1.02 s,1.33 s,707 ms
2022-04-18 16:52:56,827 ms,1.34 s,314 ms
2022-04-18 16:52:58,719 ms,1.05 s,391 ms
2022-04-18 16:53:00,576 ms,761 ms,391 ms
2022-04-18 16:53:02,498 ms,502 ms,493 ms
2022-04-18 16:53:04,731 ms,544 ms,918 ms
2022-04-18 16:53:06,1.00 s,526 ms,1.48 s
2022-04-18 16:53:08,1.03 s,491 ms,1.56 s
2022-04-18 16:53:10,992 ms,518 ms,1.47 s
2022-04-18 16:53:12,881 ms,428 ms,1.33 s
2022-04-18 16:53:14,445 ms,396 ms,494 ms
2022-04-18 16:53:16,442 ms,425 ms,460 ms
2022-04-18 16:53:18,471 ms,462 ms,480 ms
2022-04-18 16:53:20,528 ms,564 ms,492 ms
2022-04-18 16:53:22,606 ms,679 ms,532 ms
2022-04-18 16:53:24,643 ms,755 ms,531 ms
2022-04-18 16:53:26,674 ms,827 ms,522 ms
2022-04-18 16:53:28,610 ms,713 ms,507 ms
2022-04-18 16:53:30,521 ms,622 ms,421 ms
2022-04-18 16:53:32,470 ms,574 ms,367 ms
2022-04-18 16:53:34,617 ms,546 ms,688 ms
2022-04-18 16:53:36,661 ms,573 ms,749 ms
2022-04-18 16:53:38,656 ms,560 ms,752 ms
2022-04-18 16:53:40,723 ms,559 ms,888 ms
2022-04-18 16:53:42,547 ms,416 ms,677 ms
2022-04-18 16:53:44,527 ms,360 ms,695 ms
2022-04-18 16:53:46,748 ms,377 ms,1.12 s
2022-04-18 16:53:48,915 ms,525 ms,1.30 s
2022-04-18 16:53:50,896 ms,502 ms,1.29 s
2022-04-18 16:53:52,881 ms,477 ms,1.29 s
2022-04-18 16:53:54,762 ms,511 ms,1.01 s
2022-04-18 16:53:56,524 ms,517 ms,531 ms
2022-04-18 16:53:58,440 ms,472 ms,407 ms
2022-04-18 16:54:00,407 ms,446 ms,368 ms
2022-04-18 16:54:02,425 ms,481 ms,368 ms
2022-04-18 16:54:04,821 ms,1.17 s,472 ms
2022-04-18 16:54:06,829 ms,1.19 s,469 ms
2022-04-18 16:54:08,855 ms,1.26 s,454 ms
2022-04-18 16:54:10,913 ms,1.25 s,573 ms
2022-04-18 16:54:12,916 ms,1.04 s,795 ms
2022-04-18 16:54:14,644 ms,503 ms,784 ms
2022-04-18 16:54:16,604 ms,498 ms,711 ms
2022-04-18 16:54:18,617 ms,553 ms,682 ms
2022-04-18 16:54:20,544 ms,538 ms,550 ms
2022-04-18 16:54:22,453 ms,558 ms,348 ms
2022-04-18 16:54:24,626 ms,606 ms,645 ms
2022-04-18 16:54:26,862 ms,679 ms,1.05 s
2022-04-18 16:54:28,1.07 s,1.03 s,1.12 s
2022-04-18 16:54:30,1.07 s,1.04 s,1.10 s
2022-04-18 16:54:32,1.00 s,1.03 s,978 ms
2022-04-18 16:54:34,753 ms,906 ms,600 ms
2022-04-18 16:54:36,612 ms,831 ms,392 ms
2022-04-18 16:54:38,433 ms,487 ms,378 ms
2022-04-18 16:54:40,550 ms,703 ms,398 ms
2022-04-18 16:54:42,541 ms,719 ms,364 ms
2022-04-18 16:54:44,549 ms,729 ms,369 ms
2022-04-18 16:54:46,621 ms,762 ms,479 ms
2022-04-18 16:54:48,453 ms,415 ms,491 ms
2022-04-18 16:54:50,508 ms,470 ms,545 ms
2022-04-18 16:54:52,529 ms,488 ms,570 ms
2022-04-18 16:54:54,498 ms,459 ms,537 ms
2022-04-18 16:54:56,565 ms,514 ms,616 ms
2022-04-18 16:54:58,547 ms,487 ms,608 ms
2022-04-18 16:55:00,538 ms,505 ms,570 ms
2022-04-18 16:55:02,665 ms,507 ms,823 ms
2022-04-18 16:55:04,705 ms,490 ms,920 ms
2022-04-18 16:55:06,714 ms,503 ms,926 ms
2022-04-18 16:55:08,709 ms,469 ms,948 ms
2022-04-18 16:55:10,675 ms,411 ms,939 ms
2022-04-18 16:55:12,836 ms,471 ms,1.20 s
2022-04-18 16:55:14,981 ms,442 ms,1.52 s
2022-04-18 16:55:16,1.06 s,495 ms,1.63 s
2022-04-18 16:55:18,1.26 s,590 ms,1.93 s
2022-04-18 16:55:20,1.27 s,583 ms,1.96 s
2022-04-18 16:55:22,1.06 s,557 ms,1.55 s
2022-04-18 16:55:24,993 ms,509 ms,1.48 s
2022-04-18 16:55:26,868 ms,532 ms,1.20 s
2022-04-18 16:55:28,757 ms,409 ms,1.11 s
2022-04-18 16:55:30,681 ms,394 ms,969 ms
2022-04-18 16:55:32,751 ms,439 ms,1.06 s
2022-04-18 16:55:34,767 ms,424 ms,1.11 s
2022-04-18 16:55:36,622 ms,409 ms,836 ms
2022-04-18 16:55:38,535 ms,401 ms,669 ms
2022-04-18 16:55:40,540 ms,374 ms,706 ms
2022-04-18 16:55:42,700 ms,384 ms,1.02 s
2022-04-18 16:55:44,836 ms,642 ms,1.03 s
2022-04-18 16:55:46,811 ms,636 ms,985 ms
2022-04-18 16:55:48,878 ms,736 ms,1.02 s
2022-04-18 16:55:50,859 ms,859 ms,859 ms
2022-04-18 16:55:52,705 ms,725 ms,685 ms
2022-04-18 16:55:54,630 ms,682 ms,577 ms
2022-04-18 16:55:56,568 ms,640 ms,497 ms
2022-04-18 16:55:58,543 ms,565 ms,522 ms
2022-04-18 16:56:00,378 ms,377 ms,378 ms
2022-04-18 16:56:02,412 ms,389 ms,435 ms
2022-04-18 16:56:04,427 ms,352 ms,501 ms
2022-04-18 16:56:06,458 ms,399 ms,516 ms
2022-04-18 16:56:08,454 ms,408 ms,499 ms
2022-04-18 16:56:10,485 ms,426 ms,545 ms
2022-04-18 16:56:12,491 ms,448 ms,534 ms
2022-04-18 16:56:14,557 ms,586 ms,529 ms
2022-04-18 16:56:16,679 ms,702 ms,656 ms
2022-04-18 16:56:18,713 ms,749 ms,676 ms
2022-04-18 16:56:20,720 ms,815 ms,625 ms
2022-04-18 16:56:22,747 ms,777 ms,716 ms
2022-04-18 16:56:24,751 ms,847 ms,654 ms
2022-04-18 16:56:26,701 ms,610 ms,793 ms
2022-04-18 16:56:28,719 ms,697 ms,741 ms
2022-04-18 16:56:30,663 ms,709 ms,618 ms
2022-04-18 16:56:32,573 ms,510 ms,636 ms
2022-04-18 16:56:34,512 ms,532 ms,492 ms
2022-04-18 16:56:36,679 ms,889 ms,470 ms
2022-04-18 16:56:38,655 ms,845 ms,465 ms
2022-04-18 16:56:40,698 ms,865 ms,530 ms
2022-04-18 16:56:42,752 ms,1.03 s,477 ms
2022-04-18 16:56:44,765 ms,1.03 s,504 ms
2022-04-18 16:56:46,693 ms,834 ms,553 ms
2022-04-18 16:56:48,738 ms,910 ms,565 ms
2022-04-18 16:56:50,776 ms,801 ms,751 ms
2022-04-18 16:56:52,761 ms,481 ms,1.04 s
2022-04-18 16:56:54,979 ms,491 ms,1.47 s
2022-04-18 16:56:56,1.13 s,520 ms,1.73 s
2022-04-18 16:56:58,1.23 s,536 ms,1.92 s
2022-04-18 16:57:00,1.35 s,527 ms,2.17 s
2022-04-18 16:57:02,1.29 s,557 ms,2.03 s
2022-04-18 16:57:04,1.26 s,464 ms,2.05 s
2022-04-18 16:57:06,1.45 s,441 ms,2.45 s
2022-04-18 16:57:08,1.46 s,437 ms,2.49 s
2022-04-18 16:57:10,1.63 s,467 ms,2.80 s
2022-04-18 16:57:12,1.74 s,454 ms,3.03 s
2022-04-18 16:57:14,1.79 s,497 ms,3.09 s
2022-04-18 16:57:16,1.72 s,526 ms,2.91 s
2022-04-18 16:57:18,1.63 s,493 ms,2.76 s
2022-04-18 16:57:20,1.63 s,525 ms,2.73 s
2022-04-18 16:57:22,1.57 s,527 ms,2.61 s
2022-04-18 16:57:24,1.51 s,503 ms,2.51 s
2022-04-18 16:57:26,1.59 s,444 ms,2.73 s
2022-04-18 16:57:28,1.51 s,503 ms,2.52 s
2022-04-18 16:57:30,1.42 s,789 ms,2.05 s
2022-04-18 16:57:32,1.52 s,1.38 s,1.66 s
2022-04-18 16:57:34,1.37 s,1.67 s,1.06 s
2022-04-18 16:57:36,1.28 s,1.83 s,719 ms
2022-04-18 16:57:38,1.06 s,1.60 s,518 ms
2022-04-18 16:57:40,874 ms,1.15 s,601 ms
2022-04-18 16:57:42,700 ms,804 ms,596 ms
2022-04-18 16:57:44,539 ms,484 ms,595 ms
2022-04-18 16:57:46,765 ms,944 ms,586 ms
2022-04-18 16:57:48,656 ms,882 ms,429 ms
2022-04-18 16:57:50,639 ms,838 ms,440 ms
2022-04-18 16:57:52,642 ms,819 ms,465 ms
2022-04-18 16:57:54,589 ms,775 ms,404 ms
2022-04-18 16:57:56,535 ms,622 ms,447 ms
2022-04-18 16:57:58,582 ms,692 ms,473 ms
2022-04-18 16:58:00,852 ms,702 ms,1.00 s
2022-04-18 16:58:02,1.10 s,709 ms,1.49 s
2022-04-18 16:58:04,1.02 s,640 ms,1.39 s
2022-04-18 16:58:06,915 ms,574 ms,1.26 s
2022-04-18 16:58:08,786 ms,478 ms,1.09 s
2022-04-18 16:58:10,570 ms,416 ms,724 ms
2022-04-18 16:58:12,449 ms,421 ms,477 ms
2022-04-18 16:58:14,445 ms,396 ms,493 ms
2022-04-18 16:58:16,674 ms,901 ms,448 ms
2022-04-18 16:58:18,855 ms,1.28 s,432 ms
2022-04-18 16:58:20,1.04 s,1.74 s,337 ms
2022-04-18 16:58:22,1.26 s,2.19 s,333 ms
2022-04-18 16:58:24,1.16 s,1.98 s,335 ms
2022-04-18 16:58:26,1.08 s,1.80 s,369 ms
2022-04-18 16:58:28,907 ms,1.45 s,369 ms
2022-04-18 16:58:30,685 ms,934 ms,436 ms
2022-04-18 16:58:32,580 ms,624 ms,536 ms
2022-04-18 16:58:34,589 ms,645 ms,532 ms
2022-04-18 16:58:36,701 ms,668 ms,733 ms
2022-04-18 16:58:38,679 ms,662 ms,697 ms
2022-04-18 16:58:40,618 ms,549 ms,687 ms
2022-04-18 16:58:42,663 ms,689 ms,638 ms
2022-04-18 16:58:44,710 ms,813 ms,608 ms
2022-04-18 16:58:46,592 ms,790 ms,393 ms
2022-04-18 16:58:48,573 ms,736 ms,409 ms
2022-04-18 16:58:50,594 ms,627 ms,561 ms
2022-04-18 16:58:52,559 ms,527 ms,591 ms
2022-04-18 16:58:54,564 ms,499 ms,628 ms
2022-04-18 16:58:56,619 ms,485 ms,753 ms
2022-04-18 16:58:58,796 ms,802 ms,789 ms
2022-04-18 16:59:00,977 ms,802 ms,1.15 s
2022-04-18 16:59:02,1.05 s,858 ms,1.23 s
2022-04-18 16:59:04,1.10 s,941 ms,1.26 s
2022-04-18 16:59:06,1.00 s,748 ms,1.26 s
2022-04-18 16:59:08,933 ms,723 ms,1.14 s
2022-04-18 16:59:10,801 ms,720 ms,882 ms
2022-04-18 16:59:12,694 ms,559 ms,828 ms
2022-04-18 16:59:14,587 ms,588 ms,585 ms
2022-04-18 16:59:16,492 ms,551 ms,432 ms
2022-04-18 16:59:18,420 ms,503 ms,338 ms
2022-04-18 16:59:20,423 ms,343 ms,502 ms
2022-04-18 16:59:22,550 ms,545 ms,556 ms
2022-04-18 16:59:24,535 ms,534 ms,536 ms
2022-04-18 16:59:26,664 ms,658 ms,669 ms
2022-04-18 16:59:28,873 ms,859 ms,888 ms
2022-04-18 16:59:30,876 ms,925 ms,827 ms
2022-04-18 16:59:32,1.25 s,1.57 s,936 ms
2022-04-18 16:59:34,1.38 s,1.82 s,948 ms
2022-04-18 16:59:36,1.45 s,2.09 s,808 ms
2022-04-18 16:59:38,1.33 s,1.96 s,699 ms
2022-04-18 16:59:40,1.13 s,1.71 s,549 ms
2022-04-18 16:59:42,986 ms,1.38 s,593 ms
2022-04-18 16:59:44,817 ms,1.08 s,559 ms
2022-04-18 16:59:46,452 ms,416 ms,488 ms
2022-04-18 16:59:48,525 ms,548 ms,502 ms
2022-04-18 16:59:50,570 ms,546 ms,595 ms
2022-04-18 16:59:52,573 ms,529 ms,616 ms
2022-04-18 16:59:54,546 ms,467 ms,624 ms
2022-04-18 16:59:56,555 ms,445 ms,665 ms
2022-04-18 16:59:58,515 ms,417 ms,613 ms
2022-04-18 17:00:00,478 ms,441 ms,516 ms
2022-04-18 17:00:02,457 ms,418 ms,496 ms
2022-04-18 17:00:04,420 ms,348 ms,492 ms
2022-04-18 17:00:06,400 ms,350 ms,451 ms
2022-04-18 17:00:08,383 ms,329 ms,438 ms
2022-04-18 17:00:10,486 ms,478 ms,494 ms
2022-04-18 17:00:12,515 ms,513 ms,517 ms
2022-04-18 17:00:14,537 ms,570 ms,504 ms
2022-04-18 17:00:16,545 ms,566 ms,525 ms
2022-04-18 17:00:18,460 ms,505 ms,415 ms
2022-04-18 17:00:20,556 ms,442 ms,670 ms
2022-04-18 17:00:22,557 ms,428 ms,686 ms
2022-04-18 17:00:24,575 ms,376 ms,773 ms
2022-04-18 17:00:26,758 ms,419 ms,1.10 s
2022-04-18 17:00:28,769 ms,565 ms,974 ms
2022-04-18 17:00:30,851 ms,725 ms,977 ms
2022-04-18 17:00:32,827 ms,756 ms,898 ms
2022-04-18 17:00:34,839 ms,914 ms,763 ms
2022-04-18 17:00:36,805 ms,921 ms,689 ms
2022-04-18 17:00:38,757 ms,811 ms,704 ms
2022-04-18 17:00:40,767 ms,746 ms,789 ms
2022-04-18 17:00:42,729 ms,608 ms,851 ms
2022-04-18 17:00:44,593 ms,471 ms,715 ms
2022-04-18 17:00:46,563 ms,509 ms,616 ms
2022-04-18 17:00:48,536 ms,508 ms,564 ms
2022-04-18 17:00:50,485 ms,540 ms,431 ms
2022-04-18 17:00:52,509 ms,477 ms,540 ms
2022-04-18 17:00:54,557 ms,483 ms,630 ms
2022-04-18 17:00:56,665 ms,719 ms,611 ms
2022-04-18 17:00:58,949 ms,1.21 s,686 ms
2022-04-18 17:01:00,966 ms,1.07 s,862 ms
2022-04-18 17:01:02,839 ms,988 ms,690 ms
2022-04-18 17:01:04,867 ms,938 ms,796 ms
2022-04-18 17:01:06,689 ms,755 ms,623 ms
2022-04-18 17:01:08,591 ms,787 ms,395 ms
2022-04-18 17:01:10,592 ms,819 ms,365 ms
2022-04-18 17:01:12,579 ms,748 ms,409 ms
2022-04-18 17:01:14,569 ms,706 ms,433 ms
2022-04-18 17:01:16,565 ms,648 ms,482 ms
2022-04-18 17:01:18,815 ms,581 ms,1.05 s
2022-04-18 17:01:20,915 ms,647 ms,1.18 s
2022-04-18 17:01:22,999 ms,695 ms,1.30 s
2022-04-18 17:01:24,1.07 s,1.00 s,1.14 s
2022-04-18 17:01:26,855 ms,927 ms,784 ms
2022-04-18 17:01:28,674 ms,945 ms,402 ms
2022-04-18 17:01:30,803 ms,990 ms,615 ms
2022-04-18 17:01:32,740 ms,805 ms,674 ms
2022-04-18 17:01:34,594 ms,453 ms,735 ms
2022-04-18 17:01:36,588 ms,453 ms,724 ms
2022-04-18 17:01:38,586 ms,447 ms,726 ms
2022-04-18 17:01:40,503 ms,497 ms,509 ms
2022-04-18 17:01:42,483 ms,470 ms,495 ms
2022-04-18 17:01:44,635 ms,780 ms,489 ms
2022-04-18 17:01:46,640 ms,889 ms,391 ms
2022-04-18 17:01:48,608 ms,860 ms,357 ms
2022-04-18 17:01:50,544 ms,748 ms,340 ms
2022-04-18 17:01:52,487 ms,578 ms,397 ms
2022-04-18 17:01:54,484 ms,583 ms,385 ms
2022-04-18 17:01:56,500 ms,627 ms,373 ms
2022-04-18 17:01:58,492 ms,604 ms,380 ms
2022-04-18 17:02:00,571 ms,648 ms,494 ms
2022-04-18 17:02:02,534 ms,617 ms,451 ms
2022-04-18 17:02:04,454 ms,476 ms,433 ms
2022-04-18 17:02:06,466 ms,481 ms,451 ms
2022-04-18 17:02:08,472 ms,522 ms,422 ms
2022-04-18 17:02:10,412 ms,480 ms,343 ms
2022-04-18 17:02:12,407 ms,426 ms,389 ms
2022-04-18 17:02:14,504 ms,509 ms,499 ms
2022-04-18 17:02:16,771 ms,956 ms,586 ms
2022-04-18 17:02:18,905 ms,1.24 s,574 ms
2022-04-18 17:02:20,928 ms,1.24 s,614 ms
2022-04-18 17:02:22,907 ms,1.16 s,651 ms
2022-04-18 17:02:24,632 ms,870 ms,395 ms
2022-04-18 17:02:26,383 ms,396 ms,370 ms
2022-04-18 17:02:28,569 ms,423 ms,714 ms
2022-04-18 17:02:30,601 ms,438 ms,763 ms
2022-04-18 17:02:32,730 ms,544 ms,915 ms
2022-04-18 17:02:34,775 ms,637 ms,913 ms
2022-04-18 17:02:36,727 ms,693 ms,760 ms
2022-04-18 17:02:38,738 ms,772 ms,704 ms
2022-04-18 17:02:40,582 ms,749 ms,416 ms
2022-04-18 17:02:42,694 ms,934 ms,454 ms
2022-04-18 17:02:44,756 ms,1.01 s,501 ms
2022-04-18 17:02:46,716 ms,927 ms,504 ms
2022-04-18 17:02:48,718 ms,900 ms,535 ms
2022-04-18 17:02:50,786 ms,919 ms,652 ms
2022-04-18 17:02:52,582 ms,578 ms,586 ms
2022-04-18 17:02:54,594 ms,642 ms,546 ms
2022-04-18 17:02:56,625 ms,649 ms,600 ms
2022-04-18 17:02:58,570 ms,591 ms,548 ms
2022-04-18 17:03:00,590 ms,587 ms,593 ms
2022-04-18 17:03:02,836 ms,618 ms,1.05 s
2022-04-18 17:03:04,766 ms,398 ms,1.13 s
2022-04-18 17:03:06,831 ms,375 ms,1.29 s
2022-04-18 17:03:08,1.19 s,641 ms,1.74 s
2022-04-18 17:03:10,1.60 s,1.44 s,1.76 s
2022-04-18 17:03:12,1.59 s,1.46 s,1.72 s
2022-04-18 17:03:14,1.53 s,1.47 s,1.59 s
2022-04-18 17:03:16,1.39 s,1.41 s,1.36 s
2022-04-18 17:03:18,915 ms,1.19 s,638 ms
2022-04-18 17:03:20,682 ms,841 ms,523 ms
2022-04-18 17:03:22,684 ms,778 ms,590 ms
2022-04-18 17:03:24,640 ms,726 ms,553 ms
2022-04-18 17:03:26,684 ms,806 ms,562 ms
2022-04-18 17:03:28,680 ms,806 ms,553 ms
2022-04-18 17:03:30,776 ms,783 ms,769 ms
2022-04-18 17:03:32,755 ms,706 ms,804 ms
2022-04-18 17:03:34,773 ms,710 ms,837 ms
2022-04-18 17:03:36,802 ms,618 ms,986 ms
2022-04-18 17:03:38,830 ms,591 ms,1.07 s
2022-04-18 17:03:40,832 ms,592 ms,1.07 s
2022-04-18 17:03:42,712 ms,421 ms,1.00 s
2022-04-18 17:03:44,683 ms,492 ms,873 ms
2022-04-18 17:03:46,554 ms,454 ms,654 ms
2022-04-18 17:03:48,579 ms,402 ms,755 ms
2022-04-18 17:03:50,617 ms,401 ms,833 ms
2022-04-18 17:03:52,632 ms,308 ms,957 ms
2022-04-18 17:03:54,640 ms,354 ms,926 ms
2022-04-18 17:03:56,587 ms,378 ms,796 ms
2022-04-18 17:03:58,576 ms,388 ms,765 ms
2022-04-18 17:04:00,482 ms,400 ms,564 ms
2022-04-18 17:04:02,576 ms,641 ms,511 ms
2022-04-18 17:04:04,568 ms,645 ms,491 ms
2022-04-18 17:04:06,606 ms,668 ms,543 ms
2022-04-18 17:04:08,617 ms,672 ms,563 ms
2022-04-18 17:04:10,803 ms,920 ms,685 ms
2022-04-18 17:04:12,748 ms,839 ms,656 ms
2022-04-18 17:04:14,717 ms,847 ms,587 ms
2022-04-18 17:04:16,732 ms,800 ms,665 ms
2022-04-18 17:04:18,679 ms,636 ms,723 ms
2022-04-18 17:04:20,485 ms,402 ms,568 ms
2022-04-18 17:04:22,590 ms,496 ms,684 ms
2022-04-18 17:04:24,658 ms,492 ms,823 ms
2022-04-18 17:04:26,1.64 s,614 ms,2.67 s
2022-04-18 17:04:28,1.82 s,614 ms,3.03 s
2022-04-18 17:04:30,1.26 s,590 ms,1.93 s
2022-04-18 17:04:32,1.06 s,544 ms,1.57 s
2022-04-18 17:04:34,920 ms,509 ms,1.33 s
2022-04-18 17:04:36,741 ms,438 ms,1.04 s
2022-04-18 17:04:38,463 ms,451 ms,474 ms
2022-04-18 17:04:40,447 ms,452 ms,443 ms
2022-04-18 17:04:42,806 ms,1.23 s,378 ms
2022-04-18 17:04:44,836 ms,1.28 s,394 ms
2022-04-18 17:04:46,797 ms,1.17 s,423 ms
2022-04-18 17:04:48,533 ms,685 ms,382 ms
2022-04-18 17:04:50,561 ms,649 ms,474 ms
2022-04-18 17:04:52,569 ms,605 ms,533 ms
2022-04-18 17:04:54,556 ms,613 ms,499 ms
2022-04-18 17:04:56,563 ms,636 ms,490 ms
2022-04-18 17:04:58,624 ms,704 ms,544 ms
2022-04-18 17:05:00,570 ms,601 ms,539 ms
2022-04-18 17:05:02,566 ms,620 ms,513 ms
2022-04-18 17:05:04,609 ms,706 ms,512 ms
2022-04-18 17:05:06,518 ms,568 ms,467 ms
2022-04-18 17:05:08,584 ms,743 ms,425 ms
2022-04-18 17:05:10,649 ms,739 ms,560 ms
2022-04-18 17:05:12,702 ms,736 ms,668 ms
2022-04-18 17:05:14,754 ms,805 ms,703 ms
2022-04-18 17:05:16,916 ms,806 ms,1.03 s
2022-04-18 17:05:18,857 ms,722 ms,991 ms
2022-04-18 17:05:20,976 ms,1.13 s,818 ms
2022-04-18 17:05:22,1.03 s,1.28 s,788 ms
2022-04-18 17:05:24,981 ms,1.36 s,606 ms
2022-04-18 17:05:26,863 ms,1.42 s,304 ms
2022-04-18 17:05:28,890 ms,1.46 s,321 ms
2022-04-18 17:05:30,688 ms,1.03 s,345 ms
2022-04-18 17:05:32,,,
2022-04-18 17:05:34,,,

