"Time","Average Response Rate","edge-server-cv-74d975f7cd-64tvg Response","edge-server-cv-74d975f7cd-xj7sb Response"
2022-04-18 16:46:52,601 ms,675 ms,526 ms
2022-04-18 16:46:54,553 ms,521 ms,586 ms
2022-04-18 16:46:56,556 ms,516 ms,596 ms
2022-04-18 16:46:58,562 ms,499 ms,625 ms
2022-04-18 16:47:00,509 ms,458 ms,560 ms
2022-04-18 16:47:02,501 ms,552 ms,450 ms
2022-04-18 16:47:04,526 ms,612 ms,440 ms
2022-04-18 16:47:06,512 ms,614 ms,410 ms
2022-04-18 16:47:08,530 ms,654 ms,406 ms
2022-04-18 16:47:10,527 ms,659 ms,394 ms
2022-04-18 16:47:12,445 ms,551 ms,340 ms
2022-04-18 16:47:14,476 ms,590 ms,361 ms
2022-04-18 16:47:16,468 ms,569 ms,367 ms
2022-04-18 16:47:18,502 ms,580 ms,425 ms
2022-04-18 16:47:20,511 ms,536 ms,485 ms
2022-04-18 16:47:22,477 ms,440 ms,515 ms
2022-04-18 16:47:24,472 ms,471 ms,472 ms
2022-04-18 16:47:26,433 ms,458 ms,408 ms
2022-04-18 16:47:28,422 ms,352 ms,493 ms
2022-04-18 16:47:30,487 ms,415 ms,559 ms
2022-04-18 16:47:32,473 ms,399 ms,547 ms
2022-04-18 16:47:34,505 ms,434 ms,577 ms
2022-04-18 16:47:36,477 ms,422 ms,531 ms
2022-04-18 16:47:38,491 ms,384 ms,599 ms
2022-04-18 16:47:40,569 ms,581 ms,556 ms
2022-04-18 16:47:42,652 ms,708 ms,596 ms
2022-04-18 16:47:44,688 ms,757 ms,619 ms
2022-04-18 16:47:46,740 ms,911 ms,568 ms
2022-04-18 16:47:48,609 ms,653 ms,564 ms
2022-04-18 16:47:50,691 ms,463 ms,919 ms
2022-04-18 16:47:52,652 ms,436 ms,868 ms
2022-04-18 16:47:54,814 ms,708 ms,921 ms
2022-04-18 16:47:56,813 ms,648 ms,978 ms
2022-04-18 16:47:58,805 ms,707 ms,903 ms
2022-04-18 16:48:00,713 ms,707 ms,719 ms
2022-04-18 16:48:02,609 ms,571 ms,646 ms
2022-04-18 16:48:04,639 ms,425 ms,854 ms
2022-04-18 16:48:06,566 ms,539 ms,592 ms
2022-04-18 16:48:08,637 ms,623 ms,650 ms
2022-04-18 16:48:10,640 ms,523 ms,757 ms
2022-04-18 16:48:12,634 ms,526 ms,742 ms
2022-04-18 16:48:14,592 ms,585 ms,599 ms
2022-04-18 16:48:16,505 ms,451 ms,559 ms
2022-04-18 16:48:18,469 ms,490 ms,448 ms
2022-04-18 16:48:20,495 ms,589 ms,400 ms
2022-04-18 16:48:22,490 ms,549 ms,430 ms
2022-04-18 16:48:24,425 ms,426 ms,424 ms
2022-04-18 16:48:26,441 ms,417 ms,466 ms
2022-04-18 16:48:28,415 ms,403 ms,427 ms
2022-04-18 16:48:30,408 ms,397 ms,419 ms
2022-04-18 16:48:32,467 ms,462 ms,473 ms
2022-04-18 16:48:34,477 ms,506 ms,449 ms
2022-04-18 16:48:36,528 ms,572 ms,484 ms
2022-04-18 16:48:38,621 ms,576 ms,666 ms
2022-04-18 16:48:40,731 ms,473 ms,988 ms
2022-04-18 16:48:42,857 ms,678 ms,1.04 s
2022-04-18 16:48:44,861 ms,642 ms,1.08 s
2022-04-18 16:48:46,783 ms,566 ms,1000 ms
2022-04-18 16:48:48,625 ms,590 ms,660 ms
2022-04-18 16:48:50,472 ms,573 ms,370 ms
2022-04-18 16:48:52,445 ms,497 ms,392 ms
2022-04-18 16:48:54,449 ms,478 ms,419 ms
2022-04-18 16:48:56,556 ms,556 ms,555 ms
2022-04-18 16:48:58,542 ms,548 ms,536 ms
2022-04-18 16:49:00,549 ms,555 ms,543 ms
2022-04-18 16:49:02,552 ms,547 ms,558 ms
2022-04-18 16:49:04,692 ms,557 ms,826 ms
2022-04-18 16:49:06,688 ms,617 ms,760 ms
2022-04-18 16:49:08,701 ms,575 ms,828 ms
2022-04-18 16:49:10,661 ms,489 ms,833 ms
2022-04-18 16:49:12,625 ms,521 ms,730 ms
2022-04-18 16:49:14,530 ms,427 ms,633 ms
2022-04-18 16:49:16,600 ms,425 ms,775 ms
2022-04-18 16:49:18,601 ms,512 ms,690 ms
2022-04-18 16:49:20,640 ms,498 ms,782 ms
2022-04-18 16:49:22,614 ms,480 ms,749 ms
2022-04-18 16:49:24,630 ms,625 ms,636 ms
2022-04-18 16:49:26,608 ms,588 ms,628 ms
2022-04-18 16:49:28,555 ms,572 ms,539 ms
2022-04-18 16:49:30,571 ms,703 ms,438 ms
2022-04-18 16:49:32,686 ms,690 ms,682 ms
2022-04-18 16:49:34,859 ms,714 ms,1.00 s
2022-04-18 16:49:36,1.15 s,1.13 s,1.17 s
2022-04-18 16:49:38,1.24 s,1.19 s,1.30 s
2022-04-18 16:49:40,1.13 s,1.07 s,1.19 s
2022-04-18 16:49:42,962 ms,913 ms,1.01 s
2022-04-18 16:49:44,744 ms,799 ms,690 ms
2022-04-18 16:49:46,463 ms,301 ms,625 ms
2022-04-18 16:49:48,345 ms,308 ms,383 ms
2022-04-18 16:49:50,350 ms,314 ms,386 ms
2022-04-18 16:49:52,529 ms,677 ms,380 ms
2022-04-18 16:49:54,576 ms,753 ms,398 ms
2022-04-18 16:49:56,633 ms,797 ms,468 ms
2022-04-18 16:49:58,654 ms,871 ms,438 ms
2022-04-18 16:50:00,580 ms,729 ms,431 ms
2022-04-18 16:50:02,540 ms,647 ms,432 ms
2022-04-18 16:50:04,787 ms,670 ms,903 ms
2022-04-18 16:50:06,644 ms,387 ms,901 ms
2022-04-18 16:50:08,713 ms,480 ms,947 ms
2022-04-18 16:50:10,644 ms,397 ms,892 ms
2022-04-18 16:50:12,581 ms,402 ms,759 ms
2022-04-18 16:50:14,400 ms,424 ms,376 ms
2022-04-18 16:50:16,324 ms,301 ms,348 ms
2022-04-18 16:50:18,776 ms,749 ms,802 ms
2022-04-18 16:50:20,825 ms,717 ms,933 ms
2022-04-18 16:50:22,787 ms,689 ms,885 ms
2022-04-18 16:50:24,797 ms,728 ms,866 ms
2022-04-18 16:50:26,798 ms,728 ms,867 ms
2022-04-18 16:50:28,546 ms,677 ms,415 ms
2022-04-18 16:50:30,469 ms,632 ms,306 ms
2022-04-18 16:50:32,523 ms,759 ms,287 ms
2022-04-18 16:50:34,570 ms,747 ms,392 ms
2022-04-18 16:50:36,660 ms,610 ms,710 ms
2022-04-18 16:50:38,665 ms,603 ms,728 ms
2022-04-18 16:50:40,654 ms,543 ms,766 ms
2022-04-18 16:50:42,652 ms,578 ms,727 ms
