"Time","edge-server-cv-74d975f7cd-ssg2f Requests/2s","requests/30"
2022-04-18 14:08:28,1,0.966
2022-04-18 14:08:30,0,0.828
2022-04-18 14:08:32,1,0.862
2022-04-18 14:08:34,0,0.828
2022-04-18 14:08:36,0,0.828
2022-04-18 14:08:38,2,0.828
2022-04-18 14:08:40,2,0.897
2022-04-18 14:08:42,1,0.931
2022-04-18 14:08:44,1,0.931
2022-04-18 14:08:46,0,0.966
2022-04-18 14:08:48,2,1.07
2022-04-18 14:08:50,0,1.07
2022-04-18 14:08:52,0,1.03
2022-04-18 14:08:54,1,1.00
2022-04-18 14:08:56,0,0.897
2022-04-18 14:08:58,2,0.966
2022-04-18 14:09:00,0,0.897
2022-04-18 14:09:02,0,0.793
2022-04-18 14:09:04,1,0.828
2022-04-18 14:09:06,0,0.897
2022-04-18 14:09:08,0,0.828
2022-04-18 14:09:10,2,0.828
2022-04-18 14:09:12,0,0.724
2022-04-18 14:09:14,1,0.724
2022-04-18 14:09:16,0,0.655
2022-04-18 14:09:18,0,0.552
2022-04-18 14:09:20,0,0.586
2022-04-18 14:09:22,1,0.621
2022-04-18 14:09:24,3,0.793
2022-04-18 14:09:26,2,0.862
2022-04-18 14:09:28,2,0.897
2022-04-18 14:09:30,1,0.966
2022-04-18 14:09:32,1,1
2022-04-18 14:09:34,1,0.931
2022-04-18 14:09:36,3,1.07
2022-04-18 14:09:38,0,1.14
2022-04-18 14:09:40,1,1.10
2022-04-18 14:09:42,0,1.07
2022-04-18 14:09:44,0,1.10
2022-04-18 14:09:46,0,1.14
2022-04-18 14:09:48,0,1.10
2022-04-18 14:09:50,1,1.14
2022-04-18 14:09:52,1,1.03
2022-04-18 14:09:54,0,0.931
2022-04-18 14:09:56,1,0.931
2022-04-18 14:09:58,1,0.828
2022-04-18 14:10:00,3,0.897
2022-04-18 14:10:02,2,0.897
2022-04-18 14:10:04,1,0.897
2022-04-18 14:10:06,0,0.759
2022-04-18 14:10:08,2,0.793
2022-04-18 14:10:10,0,0.828
2022-04-18 14:10:12,2.98,0.862
2022-04-18 14:10:14,3,0.966
2022-04-18 14:10:16,2,1.07
2022-04-18 14:10:18,1,1.14
2022-04-18 14:10:20,0,1.10
2022-04-18 14:10:22,0,1.10
2022-04-18 14:10:24,1,1.17
2022-04-18 14:10:26,0,1.17
2022-04-18 14:10:28,0,1.10
2022-04-18 14:10:30,0,1.07
2022-04-18 14:10:32,1,1.03
2022-04-18 14:10:34,1,1
2022-04-18 14:10:36,2,1.10
2022-04-18 14:10:38,2,1.10
2022-04-18 14:10:40,2,1.17
2022-04-18 14:10:42,4,1.17
2022-04-18 14:10:44,0,1.07
2022-04-18 14:10:46,1,0.966
2022-04-18 14:10:48,0,0.931
2022-04-18 14:10:50,0,0.897
2022-04-18 14:10:52,2,0.931
2022-04-18 14:10:54,1,0.931
2022-04-18 14:10:56,0,0.931
2022-04-18 14:10:58,1,0.931
2022-04-18 14:11:00,2,1.10
2022-04-18 14:11:02,4,1.21
2022-04-18 14:11:04,1,1.21
2022-04-18 14:11:06,3,1.17
2022-04-18 14:11:08,0,1.14
2022-04-18 14:11:10,0,1.10
2022-04-18 14:11:12,1,1
2022-04-18 14:11:14,1,1.07
2022-04-18 14:11:16,2,1.10
2022-04-18 14:11:18,0,1.10
2022-04-18 14:11:20,0,1.03
2022-04-18 14:11:22,0,0.931
2022-04-18 14:11:24,0,0.897
2022-04-18 14:11:26,2,0.966
2022-04-18 14:11:28,1,0.931
2022-04-18 14:11:30,1,0.931
2022-04-18 14:11:32,0,0.793
2022-04-18 14:11:34,0,0.759
2022-04-18 14:11:36,2,0.690
2022-04-18 14:11:38,2,0.724
2022-04-18 14:11:40,2,0.759
2022-04-18 14:11:42,0,0.724
2022-04-18 14:11:44,1,0.724
2022-04-18 14:11:46,1,0.690
2022-04-18 14:11:48,1,0.724
2022-04-18 14:11:50,2,0.897
2022-04-18 14:11:52,2,1
2022-04-18 14:11:54,2,1.03
2022-04-18 14:11:56,0,0.897
2022-04-18 14:11:58,1,0.862
2022-04-18 14:12:00,1,0.897
2022-04-18 14:12:02,0,0.897
2022-04-18 14:12:04,1,0.931
2022-04-18 14:12:06,1,0.931
2022-04-18 14:12:08,1,0.897
2022-04-18 14:12:10,2,0.862
2022-04-18 14:12:12,0,0.931
2022-04-18 14:12:14,0,0.931
2022-04-18 14:12:16,1,0.931
2022-04-18 14:12:18,2,0.862
2022-04-18 14:12:20,0,0.759
2022-04-18 14:12:22,3,0.793
2022-04-18 14:12:24,1,0.724
2022-04-18 14:12:26,1,0.828
2022-04-18 14:12:28,0,0.724
2022-04-18 14:12:30,0,0.690
2022-04-18 14:12:32,0,0.690
2022-04-18 14:12:34,1,0.655
2022-04-18 14:12:36,1,0.759
2022-04-18 14:12:38,0,0.759
2022-04-18 14:12:40,0,0.655
2022-04-18 14:12:42,0,0.621
2022-04-18 14:12:44,3,0.759
2022-04-18 14:12:46,1,0.828
2022-04-18 14:12:48,3,0.931
2022-04-18 14:12:50,0,0.931
2022-04-18 14:12:52,0,0.931
2022-04-18 14:12:54,1,0.931
2022-04-18 14:12:56,3,1.00
2022-04-18 14:12:58,1,1.03
2022-04-18 14:13:00,2,1.10
2022-04-18 14:13:02,0,1.10
2022-04-18 14:13:04,1,1.03
2022-04-18 14:13:06,0,1
2022-04-18 14:13:08,0,1.03
2022-04-18 14:13:10,1,1.03
2022-04-18 14:13:12,2,1.07
2022-04-18 14:13:14,1,0.931
2022-04-18 14:13:16,1,0.931
2022-04-18 14:13:18,2,0.897
2022-04-18 14:13:20,0,0.897
2022-04-18 14:13:22,0,0.828
2022-04-18 14:13:24,0,0.828
2022-04-18 14:13:26,0,0.759
2022-04-18 14:13:28,0,0.724
2022-04-18 14:13:30,0,0.690
2022-04-18 14:13:32,2,0.759
2022-04-18 14:13:34,0,0.724
2022-04-18 14:13:36,1,0.759
2022-04-18 14:13:38,5,0.966
2022-04-18 14:13:40,3,1.07
2022-04-18 14:13:42,1.99,1.07
2022-04-18 14:13:44,0,1.03
2022-04-18 14:13:46,0,1.10
2022-04-18 14:13:48,0,1.07
2022-04-18 14:13:50,0,1.07
2022-04-18 14:13:52,1,1.10
2022-04-18 14:13:54,,1.07
2022-04-18 14:13:56,2.01,1.24
2022-04-18 14:13:58,,1.28
2022-04-18 14:14:00,5.02,1.41
2022-04-18 14:14:02,0,1.34
2022-04-18 14:14:04,0,1.28
2022-04-18 14:14:06,1,1.31
2022-04-18 14:14:08,2,1.17
2022-04-18 14:14:10,0,1.07
2022-04-18 14:14:12,1,1.03
2022-04-18 14:14:14,1,0.966
2022-04-18 14:14:16,0,0.862
2022-04-18 14:14:18,1,0.897
2022-04-18 14:14:20,0,0.897
2022-04-18 14:14:22,1,0.794
2022-04-18 14:14:24,1,0.828
2022-04-18 14:14:26,0,0.724
2022-04-18 14:14:28,2,0.828
2022-04-18 14:14:30,1,0.690
2022-04-18 14:14:32,0,0.724
2022-04-18 14:14:34,1,0.724
2022-04-18 14:14:36,2,0.793
2022-04-18 14:14:38,0,0.724
2022-04-18 14:14:40,2,0.793
2022-04-18 14:14:42,0,0.759
2022-04-18 14:14:44,2.00,0.828
2022-04-18 14:14:46,0,0.897
2022-04-18 14:14:48,1,0.862
2022-04-18 14:14:50,2,1
2022-04-18 14:14:52,0,1.03
2022-04-18 14:14:54,2,1.03
2022-04-18 14:14:56,0,1
2022-04-18 14:14:58,1,0.966
2022-04-18 14:15:00,0,0.931
2022-04-18 14:15:02,0,0.897
2022-04-18 14:15:04,1,0.862
2022-04-18 14:15:06,0,0.862
2022-04-18 14:15:08,1,0.897
2022-04-18 14:15:10,2,0.931
2022-04-18 14:15:12,0,0.862
2022-04-18 14:15:14,0,0.759
2022-04-18 14:15:16,1,0.793
2022-04-18 14:15:18,0,0.759
2022-04-18 14:15:20,1,0.655
2022-04-18 14:15:22,1,0.690
2022-04-18 14:15:24,1,0.655
2022-04-18 14:15:26,1,0.655
2022-04-18 14:15:28,1,0.621
2022-04-18 14:15:30,1,0.690
2022-04-18 14:15:32,1,0.724
2022-04-18 14:15:34,1,0.724
2022-04-18 14:15:36,3,0.793
2022-04-18 14:15:38,1,0.828
2022-04-18 14:15:40,1,0.862
2022-04-18 14:15:42,1,0.862
2022-04-18 14:15:44,2,0.966
2022-04-18 14:15:46,1,0.897
2022-04-18 14:15:48,2,1
2022-04-18 14:15:50,0,0.966
2022-04-18 14:15:52,1,1
2022-04-18 14:15:54,1,1.03
2022-04-18 14:15:56,0,1.03
2022-04-18 14:15:58,2,1.03
2022-04-18 14:16:00,1,1.07
2022-04-18 14:16:02,1,1
2022-04-18 14:16:04,1,0.966
2022-04-18 14:16:06,0,0.828
2022-04-18 14:16:08,1,0.759
2022-04-18 14:16:10,0,0.793
2022-04-18 14:16:12,0,0.759
2022-04-18 14:16:14,1,0.759
2022-04-18 14:16:16,0,0.690
2022-04-18 14:16:18,0,0.655
2022-04-18 14:16:20,0,0.655
2022-04-18 14:16:22,2,0.655
2022-04-18 14:16:24,1,0.655
2022-04-18 14:16:26,0,0.690
2022-04-18 14:16:28,1,0.724
2022-04-18 14:16:30,1,0.828
2022-04-18 14:16:32,1,0.828
2022-04-18 14:16:34,0,0.793
2022-04-18 14:16:36,0.996,0.862
2022-04-18 14:16:38,0,0.759
2022-04-18 14:16:40,1,0.759
2022-04-18 14:16:42,0,0.759
2022-04-18 14:16:44,4,0.897
2022-04-18 14:16:46,2,0.966
2022-04-18 14:16:48,0,0.966
2022-04-18 14:16:50,3,1.10
2022-04-18 14:16:52,1,1.07
2022-04-18 14:16:54,0,1
2022-04-18 14:16:56,2,0.966
2022-04-18 14:16:58,2,0.897
2022-04-18 14:17:00,3,1.03
2022-04-18 14:17:02,0,1
