"Time","edge-server-cv-74d975f7cd-ssg2f Response"
2022-04-18 14:01:08,482 ms
2022-04-18 14:01:10,493 ms
2022-04-18 14:01:12,297 ms
2022-04-18 14:01:14,277 ms
2022-04-18 14:01:16,376 ms
2022-04-18 14:01:18,341 ms
2022-04-18 14:01:20,388 ms
2022-04-18 14:01:22,553 ms
2022-04-18 14:01:24,536 ms
2022-04-18 14:01:26,579 ms
2022-04-18 14:01:28,682 ms
2022-04-18 14:01:30,593 ms
2022-04-18 14:01:32,458 ms
2022-04-18 14:01:34,418 ms
2022-04-18 14:01:36,307 ms
2022-04-18 14:01:38,352 ms
2022-04-18 14:01:40,362 ms
2022-04-18 14:01:42,354 ms
2022-04-18 14:01:44,396 ms
2022-04-18 14:01:46,313 ms
2022-04-18 14:01:48,300 ms
2022-04-18 14:01:50,263 ms
2022-04-18 14:01:52,265 ms
2022-04-18 14:01:54,616 ms
2022-04-18 14:01:56,665 ms
2022-04-18 14:01:58,647 ms
2022-04-18 14:02:00,608 ms
2022-04-18 14:02:02,410 ms
2022-04-18 14:02:04,261 ms
2022-04-18 14:02:06,326 ms
2022-04-18 14:02:08,337 ms
2022-04-18 14:02:10,341 ms
2022-04-18 14:02:12,410 ms
2022-04-18 14:02:14,376 ms
2022-04-18 14:02:16,286 ms
2022-04-18 14:02:18,287 ms
2022-04-18 14:02:20,283 ms
2022-04-18 14:02:22,286 ms
2022-04-18 14:02:24,290 ms
2022-04-18 14:02:26,285 ms
2022-04-18 14:02:28,287 ms
2022-04-18 14:02:30,300 ms
2022-04-18 14:02:32,326 ms
2022-04-18 14:02:34,363 ms
2022-04-18 14:02:36,357 ms
2022-04-18 14:02:38,504 ms
2022-04-18 14:02:40,541 ms
2022-04-18 14:02:42,531 ms
2022-04-18 14:02:44,499 ms
2022-04-18 14:02:46,315 ms
2022-04-18 14:02:48,412 ms
2022-04-18 14:02:50,393 ms
2022-04-18 14:02:52,395 ms
2022-04-18 14:02:54,384 ms
2022-04-18 14:02:56,381 ms
2022-04-18 14:02:58,278 ms
2022-04-18 14:03:00,316 ms
2022-04-18 14:03:02,547 ms
2022-04-18 14:03:04,539 ms
2022-04-18 14:03:06,587 ms
2022-04-18 14:03:08,467 ms
2022-04-18 14:03:10,343 ms
2022-04-18 14:03:12,268 ms
2022-04-18 14:03:14,279 ms
2022-04-18 14:03:16,310 ms
2022-04-18 14:03:18,326 ms
2022-04-18 14:03:20,317 ms
2022-04-18 14:03:22,314 ms
2022-04-18 14:03:24,287 ms
2022-04-18 14:03:26,255 ms
2022-04-18 14:03:28,251 ms
2022-04-18 14:03:30,253 ms
2022-04-18 14:03:32,250 ms
2022-04-18 14:03:34,271 ms
2022-04-18 14:03:36,294 ms
2022-04-18 14:03:38,281 ms
2022-04-18 14:03:40,567 ms
2022-04-18 14:03:42,506 ms
2022-04-18 14:03:44,527 ms
2022-04-18 14:03:46,527 ms
2022-04-18 14:03:48,548 ms
2022-04-18 14:03:50,610 ms
2022-04-18 14:03:52,668 ms
2022-04-18 14:03:54,634 ms
2022-04-18 14:03:56,403 ms
2022-04-18 14:03:58,399 ms
2022-04-18 14:04:00,326 ms
2022-04-18 14:04:02,332 ms
2022-04-18 14:04:04,324 ms
2022-04-18 14:04:06,308 ms
2022-04-18 14:04:08,312 ms
2022-04-18 14:04:10,366 ms
2022-04-18 14:04:12,631 ms
2022-04-18 14:04:14,660 ms
2022-04-18 14:04:16,827 ms
2022-04-18 14:04:18,972 ms
2022-04-18 14:04:20,942 ms
2022-04-18 14:04:22,924 ms
2022-04-18 14:04:24,968 ms
2022-04-18 14:04:26,841 ms
2022-04-18 14:04:28,738 ms
2022-04-18 14:04:30,495 ms
2022-04-18 14:04:32,356 ms
2022-04-18 14:04:34,335 ms
2022-04-18 14:04:36,535 ms
2022-04-18 14:04:38,527 ms
2022-04-18 14:04:40,476 ms
2022-04-18 14:04:42,489 ms
2022-04-18 14:04:44,471 ms
2022-04-18 14:04:46,975 ms
2022-04-18 14:04:48,1.05 s
2022-04-18 14:04:50,1.25 s
2022-04-18 14:04:52,1.04 s
2022-04-18 14:04:54,779 ms
2022-04-18 14:04:56,567 ms
2022-04-18 14:04:58,675 ms
2022-04-18 14:05:00,725 ms
2022-04-18 14:05:02,776 ms
2022-04-18 14:05:04,688 ms
2022-04-18 14:05:06,613 ms
2022-04-18 14:05:08,435 ms
2022-04-18 14:05:10,472 ms
2022-04-18 14:05:12,458 ms
2022-04-18 14:05:14,466 ms
2022-04-18 14:05:16,486 ms
2022-04-18 14:05:18,679 ms
2022-04-18 14:05:20,669 ms
2022-04-18 14:05:22,593 ms
2022-04-18 14:05:24,587 ms
2022-04-18 14:05:26,539 ms
2022-04-18 14:05:28,421 ms
2022-04-18 14:05:30,389 ms
2022-04-18 14:05:32,304 ms
2022-04-18 14:05:34,271 ms
2022-04-18 14:05:36,294 ms
2022-04-18 14:05:38,301 ms
2022-04-18 14:05:40,344 ms
2022-04-18 14:05:42,463 ms
2022-04-18 14:05:44,474 ms
2022-04-18 14:05:46,471 ms
2022-04-18 14:05:48,417 ms
2022-04-18 14:05:50,306 ms
2022-04-18 14:05:52,293 ms
2022-04-18 14:05:54,274 ms
2022-04-18 14:05:56,288 ms
2022-04-18 14:05:58,366 ms
2022-04-18 14:06:00,369 ms
2022-04-18 14:06:02,373 ms
2022-04-18 14:06:04,484 ms
2022-04-18 14:06:06,408 ms
2022-04-18 14:06:08,410 ms
2022-04-18 14:06:10,663 ms
2022-04-18 14:06:12,963 ms
2022-04-18 14:06:14,969 ms
2022-04-18 14:06:16,1.24 s
2022-04-18 14:06:18,1.18 s
2022-04-18 14:06:20,726 ms
2022-04-18 14:06:22,574 ms
2022-04-18 14:06:24,574 ms
2022-04-18 14:06:26,574 ms
2022-04-18 14:06:28,448 ms
2022-04-18 14:06:30,433 ms
2022-04-18 14:06:32,460 ms
2022-04-18 14:06:34,294 ms
2022-04-18 14:06:36,289 ms
2022-04-18 14:06:38,282 ms
2022-04-18 14:06:40,280 ms
2022-04-18 14:06:42,269 ms
2022-04-18 14:06:44,269 ms
2022-04-18 14:06:46,338 ms
2022-04-18 14:06:48,337 ms
2022-04-18 14:06:50,331 ms
2022-04-18 14:06:52,326 ms
2022-04-18 14:06:54,315 ms
2022-04-18 14:06:56,298 ms
2022-04-18 14:06:58,416 ms
2022-04-18 14:07:00,412 ms
2022-04-18 14:07:02,426 ms
2022-04-18 14:07:04,639 ms
2022-04-18 14:07:06,664 ms
2022-04-18 14:07:08,570 ms
2022-04-18 14:07:10,644 ms
2022-04-18 14:07:12,386 ms
2022-04-18 14:07:14,305 ms
2022-04-18 14:07:16,399 ms
2022-04-18 14:07:18,389 ms
2022-04-18 14:07:20,392 ms
2022-04-18 14:07:22,392 ms
2022-04-18 14:07:24,350 ms
2022-04-18 14:07:26,300 ms
2022-04-18 14:07:28,301 ms
2022-04-18 14:07:30,306 ms
2022-04-18 14:07:32,302 ms
2022-04-18 14:07:34,392 ms
2022-04-18 14:07:36,387 ms
2022-04-18 14:07:38,367 ms
2022-04-18 14:07:40,361 ms
2022-04-18 14:07:42,382 ms
2022-04-18 14:07:44,382 ms
2022-04-18 14:07:46,392 ms
2022-04-18 14:07:48,437 ms
2022-04-18 14:07:50,450 ms
2022-04-18 14:07:52,436 ms
2022-04-18 14:07:54,442 ms
2022-04-18 14:07:56,485 ms
2022-04-18 14:07:58,433 ms
2022-04-18 14:08:00,568 ms
2022-04-18 14:08:02,996 ms
2022-04-18 14:08:04,912 ms
2022-04-18 14:08:06,746 ms
2022-04-18 14:08:08,708 ms
2022-04-18 14:08:10,525 ms
2022-04-18 14:08:12,398 ms
2022-04-18 14:08:14,433 ms
2022-04-18 14:08:16,636 ms
2022-04-18 14:08:18,830 ms
2022-04-18 14:08:20,645 ms
2022-04-18 14:08:22,645 ms
2022-04-18 14:08:24,252 ms
2022-04-18 14:08:26,247 ms
2022-04-18 14:08:28,257 ms
2022-04-18 14:08:30,256 ms
2022-04-18 14:08:32,354 ms
2022-04-18 14:08:34,457 ms
2022-04-18 14:08:36,490 ms
2022-04-18 14:08:38,590 ms
2022-04-18 14:08:40,576 ms
2022-04-18 14:08:42,536 ms
2022-04-18 14:08:44,508 ms
2022-04-18 14:08:46,464 ms
2022-04-18 14:08:48,345 ms
2022-04-18 14:08:50,304 ms
2022-04-18 14:08:52,272 ms
2022-04-18 14:08:54,296 ms
2022-04-18 14:08:56,293 ms
2022-04-18 14:08:58,373 ms
2022-04-18 14:09:00,373 ms
